model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16891098658818224	0.13867416805961846	0.20199046966460849	2000	0	0.16199905273735188	0.17278871944664478	0	649304at2759	0.00691193385083036	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.19405113462437498	-0.2508506600785992	-0.14252280228475536	2000	0	-0.20228949398329343	-0.18534110266017617	0	529759at2759	0.008710031964198811	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.07208844321863127	0.023768643995813344	0.12086631784123619	2000	0	0.06360647727402421	0.07935797678383356	0	4970387at2759	0.008481965944607053	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.2415847929528623	-0.3246919726326637	-0.16338160469694907	2000	0	-0.2605365278842614	-0.22554052349956136	0	649304at2759	0.018951734931399095	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	interaction	0.03426030266418854	-0.0732216108117762	0.13753230251981755	2000	0	0.01766281024060326	0.060936556991262804	0	649304at2759	0.026676254327074267	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.07264811244949508	0.024589186299134	0.12102778862479875	2000	0	0.06426130254833642	0.07987514465788066	0	4970387at2759	0.008386809901158657	0.6171019888828265	0.2663357935377736
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.22044269203906397	-0.2797310780951056	-0.16891937178412467	2000	0	-0.2292932489099372	-0.21165139204151803	0	5000452at2759	0.008850556870873216	0.6171019888828265	0.2663357935377736
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16638932607553641	0.13463844838867317	0.20286798963380612	2000	0	0.1581874239880183	0.17063919517067172	0	649304at2759	0.008201902087518115	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.17354643307832368	-0.2446841732927165	-0.10247328361480318	2000	0	-0.19299900185403387	-0.16065119421482202	0	649304at2759	0.019452568775710194	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	interaction	0.022157530990461135	-0.06883824987636131	0.11416951293976516	2000	0	0.005516342707806273	0.04543227663212197	0	649304at2759	0.02327474564166084	0.6171019888828265	0.31139463967197273
