study_role	manifest_lineage_group	minimum_fraction_threshold	original_taxa	taxa_passing_both	taxa_excluded	entire_manifest_group_lost
ingroup	Mucoromycota	0.3	12	12	0	False
ingroup	Mucoromycota	0.5	12	12	0	False
ingroup	Mucoromycota	0.7	12	10	2	False
ingroup	Neocallimastigomycota	0.1	6	6	0	False
ingroup	Neocallimastigomycota	0.3	6	6	0	False
ingroup	Neocallimastigomycota	0.5	6	3	3	False
ingroup	Neocallimastigomycota	0.7	6	2	4	False
ingroup	Olpidiomycota	0.1	1	1	0	False
ingroup	Olpidiomycota	0.3	1	0	1	True
ingroup	Olpidiomycota	0.5	1	0	1	True
ingroup	Olpidiomycota	0.7	1	0	1	True
ingroup	Rozellomycota	0.1	2	2	0	False
ingroup	Rozellomycota	0.3	2	2	0	False
ingroup	Rozellomycota	0.5	2	2	0	False
ingroup	Rozellomycota	0.7	2	2	0	False
ingroup	Sanchytriomycota	0.1	2	2	0	False
ingroup	Sanchytriomycota	0.3	2	2	0	False
ingroup	Sanchytriomycota	0.5	2	2	0	False
ingroup	Sanchytriomycota	0.7	2	0	2	True
ingroup	Zoopagomycota	0.1	6	6	0	False
ingroup	Zoopagomycota	0.3	6	6	0	False
ingroup	Zoopagomycota	0.5	6	5	1	False
ingroup	Zoopagomycota	0.7	6	3	3	False
outgroup	Amoebozoa	0.1	5	5	0	False
outgroup	Amoebozoa	0.3	5	5	0	False
outgroup	Amoebozoa	0.5	5	5	0	False
outgroup	Amoebozoa	0.7	5	5	0	False
outgroup	Apusomonadida	0.1	1	1	0	False
outgroup	Apusomonadida	0.3	1	1	0	False
outgroup	Apusomonadida	0.5	1	1	0	False
outgroup	Apusomonadida	0.7	1	1	0	False
outgroup	Choanoflagellatea	0.1	2	2	0	False
outgroup	Choanoflagellatea	0.3	2	2	0	False
outgroup	Choanoflagellatea	0.5	2	2	0	False
outgroup	Choanoflagellatea	0.7	2	2	0	False
outgroup	Corallochytrea	0.1	1	1	0	False
outgroup	Corallochytrea	0.3	1	1	0	False
outgroup	Corallochytrea	0.5	1	1	0	False
outgroup	Corallochytrea	0.7	1	1	0	False
outgroup	Filasterea	0.1	1	1	0	False
outgroup	Filasterea	0.3	1	1	0	False
outgroup	Filasterea	0.5	1	1	0	False
outgroup	Filasterea	0.7	1	1	0	False
outgroup	Ichthyosporea	0.1	5	3	2	False
outgroup	Ichthyosporea	0.3	5	3	2	False
outgroup	Ichthyosporea	0.5	5	3	2	False
outgroup	Ichthyosporea	0.7	5	2	3	False
outgroup	Metazoa	0.1	9	9	0	False
outgroup	Metazoa	0.3	9	9	0	False
outgroup	Metazoa	0.5	9	9	0	False
outgroup	Metazoa	0.7	9	7	2	False
outgroup	Nucleariida	0.1	1	1	0	False
outgroup	Nucleariida	0.3	1	1	0	False
outgroup	Nucleariida	0.5	1	1	0	False
outgroup	Nucleariida	0.7	1	1	0	False
