source	policy	role	lineage_group	retained_panel_taxa	taxa_with_usable_marker	usable_taxon_marker_cells
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Glomeromycota	11	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Kickxellomycota	12	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Microsporidia	12	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Monoblepharomycota	2	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Mortierellomycota	12	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Mucoromycota	11	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Neocallimastigomycota	4	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Olpidiomycota	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Rozellomycota	2	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Sanchytriomycota	2	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Zoopagomycota	6	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Amoebozoa	5	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Apusomonadida	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Choanoflagellatea	2	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Corallochytrea	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Filasterea	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Ichthyosporea	5	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Metazoa	9	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	outgroup	Nucleariida	1	0	0
