tree_type	tree_id	fungal_entries	outgroup_entries	status	separating_edge_length	marker_sh_alrt_percent	outgroup_taxa_json	fungal_taxa_sha256	tree_sha256
marker	4810093at2759	430	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	df2efc302786e8f08b82a7751fea242e3ef63e0b6b3742a1f761abfbcfd414dc	6b7e2a5689f032caf641a1ef4fdeafa1db8a536067ccaec83e81038f702f0056
marker	4813267at2759	466	19	exact_fungal_outgroup_split	0.2070817442	99.8	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	2ccddb5c989d70b29964f62d9c68967771518934e644813124c3df2747432d25	8e91111dc10c50f8ae02f6681d05084233a50c083309d96a91523a96b877d999
marker	4823929at2759	469	23	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	faff924a30d1c799285de39d3e34c27e5af2f3c483930cb3c8015d97b080d6e4	010f7bedb32d1defd05e2beaf3159dd4b1afe8024504a2a51cf90adccf7047f0
marker	4837017at2759	465	24	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494"", ""OFS5426506""]"	07aa118de891f1709cfb16c30b8218560870f714bb8ab043149f8ffeda4cab55	406825d160c52d68840202189e8278ffdea1b30e291954a8389d428aa39db6b0
marker	4838864at2759	464	22	exact_fungal_outgroup_split	0.0514963636	89.7	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	62f685f02dd915e867a5b16fde008f3fdef9b2b3da07b0e0f9d8083493052cf7	21142be06a56f162649b514f8358f349eb9cd90f9f14a2f1558bff0340606efa
marker	4843240at2759	453	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	f4e3ae67b719c9b8850920575ea51e1a2490f590f8e2f6094759851bdaa16641	032deb94159db99d6fe13a9e3df6de36462e43e6fc29fa912afcc0eebacd9168
marker	4843824at2759	416	16	fungal_outgroup_split_absent			"[""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O45351"", ""O529818"", ""O5786"", ""O6239"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470""]"	1845a962a21568f6c2056877d499edab73765bca8d6710b335cf023f0a2be3ce	3dc9857fc747ff5d577e053e334288115c09a7c0d1c7ead87d2c667663abfe85
marker	4867008at2759	458	18	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O44689"", ""O529818"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS5426470"", ""OFS5426494""]"	603665c2ecfbe30d918774398f3b7941e8b8eb69b0611f56d53bb2f6a06fa684	5769902c690b2e4909dbbd52e223504e50cbbde7cf7f37727b8b0347239c7cfd
marker	4888252at2759	451	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	d56b5a9131bccc6384e6ec6066e6911e8a6bb7b4a1dfdb7465d9132a265bf381	f5a72cb1f4f003836de73a71b5477919fe66be2deb4324689a1f245d46f854f9
marker	4896098at2759	441	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	4cc2b564b8f84a0a58c93922bb669b097f68eacf9108e747ce04748dfe5b09aa	b8b3264ae934d1883614d1bd1e3708149f688c5a481e8ab389fc2e4e0e35dd2c
