split_smaller_side_taxa	smaller_side_taxa	status	profile_branch_length	mafft_branch_length
F1048829;F199306;F63402	3	shared	0.0401368875	0.0465471843
F1048955;F253628;F50376	3	shared	0.04447871	0.048037201
F1052096;F1507870;F705562	3	shared	0.0252496707	0.0254237184
F1080349;F230603;F27292	3	mafft_only		0.013051864
F1081669;F1300064;F174680	3	shared	0.3416819035	0.2988195884
F109876;F4808;F64508	3	shared	0.1254363546	0.1187994028
F109932;F1604274;F1774096	3	shared	0.1335113056	0.1285425156
F1099800;F48691;F5606	3	shared	0.0462313961	0.0519023217
F1117311;F588596;F658196	3	shared	0.1123447368	0.1225611764
F1123529;F2725673;F82268	3	shared	0.1462257685	0.1486643199
F112417;F113071;F150792	3	shared	0.0242252459	0.0262502015
F1125753;F383834;F44089	3	shared	0.1486555333	0.1705228253
F1141098;F1658444;F393283	3	shared	0.0158587099	0.0157382033
F1145299;F1145321;F116982	3	shared	0.0499500475	0.0543476899
F116603;F1912936;F1912939	3	shared	0.0122270471	0.0121500224
F116794;F116821;F3058885	3	shared	0.0581701809	0.064722134
F1174673;F39416;F43433	3	shared	0.1156537672	0.1196551041
F120017;F280036;F84753	3	shared	0.0604456184	0.0623983373
F1209916;F1209934;F145971	3	profile_only	0.0002252765	
F1209916;F145971;F1671311	3	mafft_only		0.0002468982
F1214568;F148313;F5116	3	shared	0.1201860852	0.1169506437
F121624;F236234;F462254	3	shared	0.0957028093	0.0991663595
F1220207;F1810926;F1810928	3	profile_only	0.0086833253	
F1280837;F215250;F63378	3	shared	0.0977036092	0.1035789371
F1314805;F152956;F48021	3	shared	0.0204345404	0.0226940971
F1323573;F3038894;F418498	3	shared	0.0801450293	0.0845967076
F13290;F13291;F157183	3	shared	0.0571903916	0.0616380928
F1331295;F2829486;F5219	3	shared	0.1926920691	0.2048949119
F133377;F133385;F61424	3	shared	0.1176249542	0.1193093356
F1348612;F27376;F4874	3	shared	0.0355820123	0.0400481761
F135589;F208960;F2282107	3	shared	0.0550957308	0.061302652
F136370;F318760;F87287	3	shared	0.0544653396	0.0638030206
F139363;F1750568;F264124	3	shared	0.0338648787	0.0390710463
F1397036;F1590129;F223409	3	shared	0.0177123704	0.0195136949
F1424756;F610337;F89922	3	profile_only	0.0351193969	
F144530;F144679;F50956	3	shared	0.0826855772	0.0987543038
F1453791;F460848;F460854	3	shared	0.0300803014	0.0322270351
F1463510;F1569628;F2878321	3	shared	0.0426373317	0.0419992659
F147570;F2082308;F2601811	3	shared	0.1420947456	0.1477394412
F147573;F1507873;F574656	3	shared	0.0348631033	0.0334750694
F148304;F148305;F36779	3	shared	0.1111869873	0.1158761124
F1520584;F215637;F78921	3	shared	0.239819921	0.2639518211
F1522189;F401625;F58919	3	shared	0.1438423311	0.1435173443
F1542792;F2939400;F91480	3	shared	0.0656405091	0.0613391235
F158046;F2977754;F3060298	3	shared	0.023718604	0.0236187821
F1670608;F265104;F315204	3	shared	0.1490016211	0.1554252011
F1682393;F326681;F326684	3	shared	0.0268005929	0.026754669
F1690604;F2486360;F293227	3	shared	0.0949377336	0.1008942249
F169141;F52883;F669869	3	shared	0.0605892981	0.0704613226
F170000;F181123;F208348	3	shared	0.0494342177	0.0502812872
F1712513;F1851185;F1851187	3	shared	0.1114416725	0.1179438287
F1738374;F2034170;F5544	3	shared	0.004581785	0.0045170672
F174425;F2796175;F318774	3	shared	0.0714129699	0.0719537168
F1754190;F2767002;F3108450	3	shared	0.0554121046	0.0602941941
F1759441;F2748771;F80663	3	shared	0.0609932444	0.0651067522
F177197;F177199;F91930	3	shared	0.0533698775	0.0572755583
F1814901;F2813651;F97331	3	shared	0.2852934698	0.3016254428
F1858805;F29889;F63146	3	shared	0.3086456949	0.3196018469
F1897645;F64525;F979690	3	shared	0.0152017397	0.0166638482
F1938954;F2340872;F994334	3	profile_only	0.0331115076	
F1940652;F209281;F2704026	3	shared	0.0550581773	0.0787205213
F2019550;F2035830;F563466	3	shared	0.0606838097	0.0548349188
F2024903;F2781224;F5580	3	shared	0.0288430656	0.0310824174
F209136;F2732470;F560253	3	shared	0.0466409822	0.05139977
F226899;F29908;F61273	3	shared	0.1608553173	0.1602547618
F2268995;F2606893;F796027	3	shared	0.0896998752	0.0939550279
F241526;F42374;F5476	3	shared	0.0928729712	0.0905137539
F2545709;F4896;F4897	3	shared	0.4010505029	0.3535371438
F2600213;F2600215;F2600216	3	shared	0.1308395031	0.1384830146
F2609844;F5147;F72144	3	shared	0.0551820564	0.0560196946
F263815;F42068;F4754	3	shared	0.4112558076	0.4484521233
F2650707;F4866;F61397	3	mafft_only		0.0390091312
F2656787;F40559;F5101	3	shared	0.0363996443	0.0386877237
F27291;F332112;F4932	3	mafft_only		0.0167424593
F27292;F332112;F4932	3	profile_only	0.0181977563	
F2778381;F29899;F5414	3	shared	0.1569614514	0.1671666479
F28583;F64504;F64505	3	shared	0.2427501033	0.249636799
F288795;F289078;F796604	3	shared	0.0235813341	0.0238701118
F29833;F36035;F56409	3	shared	0.1493509315	0.1355671934
F3039483;F6035;F6039	3	shared	0.1760770581	0.1662599312
F3342545;F342668;F655981	3	shared	0.1482943538	0.1563862181
F34349;F44565;F69979	3	mafft_only		0.0414663812
F34485;F348617;F76012	3	shared	0.1822669742	0.1862695317
F398673;F549676;F63577	3	mafft_only		0.0033817824
F41833;F44442;F64526	3	shared	0.0227844724	0.0243779168
F48095;F5022;F5454	3	shared	0.1860123481	0.1891996874
F4903;F4927;F599730	3	shared	0.1367998899	0.1350571205
F5479;F5482;F5486	3	shared	0.037443377	0.034187831
F5570;F574774;F741139	3	shared	0.0234605738	0.0232589468
F58291;F64632;F708070	3	shared	0.0960881327	0.1001562976
F67723;F71933;F87326	3	shared	0.0182506641	0.0207572227
F76775;F76777;F77020	3	shared	0.0879478408	0.0878979844
O133409;O44689;O5786	3	shared	0.618668255	0.551712963
O225164;O2700040;O283909	3	shared	0.0494611717	0.0608032128
