taxon_id	species_name	study_role	marker_slots	recovered_sequence_links	missing_marker_sequences	both	esmfold_only	alphafold_only	neither_catalog
F90408	Icmadophila ericetorum	ingroup	125	122	3	0	107	0	15
F1174673	Morchella importuna	ingroup	125	124	1	0	111	0	13
F43433	Tricharina praecox	ingroup	125	121	4	0	110	0	11
F39416	Tuber melanosporum	ingroup	125	118	7	65	0	51	2
F158046	Phaeomoniella chlamydospora	ingroup	125	116	9	0	0	113	3
F703511	Trichodelitschia bisporula	ingroup	125	124	1	0	0	122	2
F4927	Hansenula anomala	ingroup	125	116	9	0	0	114	2
F599730	Waltiozyma pijperi	ingroup	125	120	5	0	0	118	2
F4903	Williopsis jadinii	ingroup	125	121	4	0	0	119	2
F1825666	Phyllachora maydis	ingroup	125	109	16	0	0	104	5
F1276059	Polystigma amygdalinum	ingroup	125	116	9	0	105	0	11
F13502	Brettanomyces nanus	ingroup	125	121	4	0	0	119	2
F1005962	Ogataea parapolymorpha	ingroup	125	121	4	0	0	119	2
F4909	Pichia kudriavzevii	ingroup	125	121	4	0	0	119	2
F48095	Alternaria dauci	ingroup	125	124	1	0	112	0	12
F5454	Ascochyta rabiei	ingroup	125	125	0	0	33	85	7
F5022	Plenodomus lingam	ingroup	125	124	1	0	56	61	7
F4754	Pneumocystis carinii	ingroup	125	122	3	0	0	120	2
F42068	Pneumocystis jirovecii	ingroup	125	122	3	0	0	120	2
F263815	Pneumocystis murina	ingroup	125	123	2	0	0	121	2
F2977754	Pyrenula ochraceoflavens	ingroup	125	114	11	0	101	0	13
F3060298	Pyrenula sp. 1 TL-2023	ingroup	125	109	16	0	96	0	13
F1453789	Toensbergia leucococca	ingroup	125	119	6	0	107	0	12
F706196	Saccharomyces arboricola	ingroup	125	104	21	0	0	102	2
F4932	Saccharomyces cerevisiae	ingroup	125	123	2	0	0	123	0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	125	49	76	0	0	42	7
F1080349	Saccharomyces eubayanus	ingroup	125	120	5	0	70	7	43
F114524	Saccharomyces kudriavzevii	ingroup	125	122	3	0	0	119	3
F114525	Saccharomyces mikatae	ingroup	125	122	3	0	0	119	3
F27291	Saccharomyces paradoxus	ingroup	125	122	3	0	108	6	8
F27292	Saccharomyces pastorianus	ingroup	125	14	111	0	0	14	0
F230603	Saccharomyces uvarum	ingroup	125	121	4	0	102	10	9
F29833	Hanseniaspora uvarum	ingroup	125	101	24	0	65	30	6
F56409	Hanseniaspora vineae	ingroup	125	119	6	0	107	0	12
F36035	Saccharomycodes ludwigii	ingroup	125	120	5	0	48	66	6
F1099800	Saitoella coloradoensis	ingroup	125	124	1	0	115	1	8
F5606	Saitoella complicata	ingroup	125	122	3	0	68	47	7
F273283	Sarea resinae	ingroup	125	125	0	0	110	0	15
F400354	Loxospora ochrophaea	ingroup	125	119	6	0	106	0	13
F1042397	Schaereria dolodes	ingroup	125	118	7	0	101	0	17
F4897	Schizosaccharomyces japonicus	ingroup	125	121	4	0	0	119	2
F2545709	Schizosaccharomyces osmophilus	ingroup	125	122	3	0	0	120	2
F4896	Schizosaccharomyces pombe	ingroup	125	121	4	0	0	119	2
F241526	Candida africana	ingroup	125	69	56	0	57	7	5
F5476	Candida albicans	ingroup	125	118	7	0	0	117	1
F42374	Candida dubliniensis	ingroup	125	118	7	0	0	116	2
F5479	Candida maltosa	ingroup	125	113	12	0	57	50	6
F5482	Candida tropicalis	ingroup	125	115	10	0	0	113	2
F5486	Candida viswanathii	ingroup	125	31	94	0	0	29	2
F2609844	Podospora pseudoanserina	ingroup	125	124	1	0	112	0	12
F72144	Remersonia thermophila	ingroup	125	124	1	0	106	1	17
F5147	Sordaria macrospora	ingroup	125	124	1	0	28	88	8
F2754530	Protomyces lactucae-debilis	ingroup	125	122	3	0	0	119	3
F5011	Taphrina deformans	ingroup	125	112	13	0	0	111	1
F1145299	Brigantiaea leucoxantha	ingroup	125	105	20	0	95	0	10
F1145321	Letrouitia subvulpina	ingroup	125	111	14	0	97	0	14
F116982	Xanthoria calcicola	ingroup	125	113	12	0	103	0	10
F3342545	Pseudogymnoascus australis	ingroup	125	121	4	0	107	2	12
F655981	Pseudogymnoascus destructans	ingroup	125	122	3	0	12	108	2
F342668	Pseudogymnoascus verrucosus	ingroup	125	125	0	0	0	123	2
F1116844	Thelocarpon impressellum	ingroup	125	124	1	0	111	0	13
F2939404	Thelocarpon superellum	ingroup	125	121	4	0	109	0	12
F1093900	Thyridium curvatum	ingroup	125	124	1	0	0	120	4
F223192	Phaeoacremonium minimum	ingroup	125	118	7	0	0	116	2
F2918522	Lignoscripta atroalba	ingroup	125	124	1	0	110	0	14
F129515	Trapelia coarctata	ingroup	125	119	6	0	105	0	14
F51930	Tortispora caseinolytica	ingroup	125	118	7	0	0	115	3
F2939406	Bogoriella megaspora	ingroup	125	123	2	0	112	0	11
F364730	Trypethelium subeluteriae	ingroup	125	112	13	0	101	0	11
F1048519	Viridothelium virens	ingroup	125	124	1	0	0	121	3
F318760	Hypocenomyce scalaris	ingroup	125	124	1	0	110	0	14
F136370	Lasallia pustulata	ingroup	125	120	5	0	94	16	10
F87287	Umbilicaria vellea	ingroup	125	111	14	0	98	0	13
F1048955	Tothia fuscella	ingroup	125	125	0	0	0	122	3
F50376	Venturia effusa	ingroup	125	124	1	0	0	122	2
F253628	Verruconis gallopava	ingroup	125	111	14	0	0	110	1
F364733	Endocarpon pusillum	ingroup	125	116	9	0	0	111	5
F2939408	Vezdaea acicularis	ingroup	125	123	2	0	114	0	9
F2939405	Vezdaea aestivalis	ingroup	125	122	3	0	108	0	14
F326681	Hypoxylon trugodes	ingroup	125	124	1	0	113	0	11
F1682393	Microdochium trichocladiopsis	ingroup	125	124	1	0	0	120	4
F326684	Xylaria bambusicola	ingroup	125	124	1	0	110	0	14
F1130053	Cirrosporium novae-zelandiae	ingroup	125	120	5	0	108	0	12
F1217826	Xylona heveae	ingroup	125	124	1	0	0	122	2
F423460	Basidiobolus meristosporus	ingroup	125	107	18	0	0	105	2
F34480	Basidiobolus ranarum	ingroup	125	90	35	0	82	0	8
F87326	Amanita brunnescens	ingroup	125	102	23	0	74	0	28
F933333	Amanita inopinata	ingroup	125	121	4	0	104	0	17
F41956	Amanita muscaria	ingroup	125	120	5	7	104	1	8
F67723	Amanita phalloides	ingroup	125	125	0	0	109	0	16
F1004511	Amanita polypyramis	ingroup	125	109	16	0	100	0	9
F71933	Amanita rubescens	ingroup	125	109	16	0	102	0	7
F235537	Amanita thiersii	ingroup	125	125	0	72	0	50	3
F89243	Laccaria amethystina	ingroup	125	121	4	66	7	45	3
F29883	Laccaria bicolor	ingroup	125	111	14	68	0	41	2
F44565	Sterigmatomyces hyphaenes	ingroup	125	124	1	0	116	0	8
F2831993	Plicatura crispa	ingroup	125	123	2	0	100	12	11
F1759441	Athelia psychrophila	ingroup	125	114	11	0	6	104	4
F2748771	Athelia sp. TMB	ingroup	125	43	82	0	37	0	6
F80663	Piloderma croceum	ingroup	125	121	4	69	0	50	2
F1938712	Atractiella rhizophila	ingroup	125	101	24	0	93	0	8
F1331295	Auricularia subglabra	ingroup	125	118	7	0	108	3	7
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	125	121	4	0	112	0	9
F5219	Exidia glandulosa	ingroup	125	97	28	0	0	95	2
F48563	Suillus bovinus	ingroup	125	124	1	2	112	0	10
F48565	Suillus brevipes	ingroup	125	122	3	3	113	0	6
F1904413	Suillus clintonianus	ingroup	125	123	2	2	113	0	8
F1912936	Suillus discolor	ingroup	125	123	2	8	0	113	2
F1912939	Suillus fuscotomentosus	ingroup	125	117	8	67	0	47	3
F48578	Suillus paluster	ingroup	125	121	4	1	112	0	8
F116603	Suillus plorans	ingroup	125	121	4	66	0	52	3
F48586	Suillus subalutaceus	ingroup	125	120	5	3	109	0	8
F48587	Suillus subaureus	ingroup	125	116	9	67	0	46	3
F48593	Suillus weaverae	ingroup	125	123	2	3	110	0	10
F264124	Botryobasidium botryosum	ingroup	125	123	2	0	0	121	2
F1750568	Cantharellus anzutake	ingroup	125	106	19	0	97	0	9
F170446	Ceratobasidium sp. AG-Ba	ingroup	125	19	106	0	17	0	2
F139363	Hydnum rufescens	ingroup	125	118	7	0	0	116	2
F456999	Rhizoctonia solani	ingroup	125	116	9	0	91	0	25
F156515	Tulasnella calospora	ingroup	125	105	20	0	0	104	1
F401625	Ceraceosorus bombacis	ingroup	125	111	14	0	0	108	3
F1522189	Ceraceosorus guamensis	ingroup	125	123	2	0	0	119	4
F203533	Classicula fluitans	ingroup	125	116	9	0	105	0	11
F202698	Punctularia strigosozonata	ingroup	125	123	2	0	99	16	8
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	125	118	7	0	96	0	22
F29899	Cystobasidium minutum	ingroup	125	125	0	0	109	0	16
F29902	Mrakia frigida	ingroup	125	125	0	0	116	0	9
F264483	Phaffia rhodozyma	ingroup	125	124	1	0	110	0	14
F29889	Calocera cornea	ingroup	125	124	1	0	0	121	3
F63146	Calocera viscosa	ingroup	125	122	3	0	0	120	2
F1858805	Dacryopinax primogenitus	ingroup	125	120	5	0	0	117	3
F58919	Tilletiopsis washingtonensis	ingroup	125	121	4	0	0	119	2
F5414	Erythrobasidium hasegawianum	ingroup	125	124	1	0	110	0	14
F215250	Acaromyces ingoldii	ingroup	125	124	1	0	0	122	2
F63378	Exobasidium rhododendri	ingroup	125	125	0	0	109	0	16
F1280837	Meira miltonrushii	ingroup	125	123	2	0	0	121	2
F5210	Filobasidium floriforme	ingroup	125	124	1	0	74	42	8
F610337	Naganishia cerealis	ingroup	125	86	39	0	82	0	4
F89922	Naganishia friedmannii	ingroup	125	121	4	0	104	0	17
F104408	Naganishia liquefaciens	ingroup	125	125	0	0	0	122	3
F1424756	Naganishia vaughanmartiniae	ingroup	125	101	24	0	89	0	12
F68786	Sphaerobolus stellatus	ingroup	125	101	24	0	42	57	2
F1230402	Basidioascus undulatus	ingroup	125	125	0	0	111	0	14
F5281	Tilletiaria anomala	ingroup	125	123	2	0	0	120	3
F104355	Gloeophyllum trabeum	ingroup	125	125	0	0	0	122	3
F5364	Heliocybe sulcata	ingroup	125	124	1	0	0	120	4
F38799	Neolentinus lepideus	ingroup	125	122	3	0	0	119	3
F112417	Gautieria morchelliformis	ingroup	125	120	5	0	109	0	11
F113071	Ramaria rubella	ingroup	125	118	7	0	110	0	8
F45228	Heterogastridium pycnidioideum	ingroup	125	124	1	0	116	0	8
F257869	Holtermanniella festucosa	ingroup	125	124	1	0	113	0	11
F135589	Coniferiporia weirii	ingroup	125	120	5	0	108	0	12
F208960	Fomitiporia mediterranea	ingroup	125	119	6	0	105	2	12
F2282107	Pyrrhoderma noxium	ingroup	125	122	3	0	0	119	3
F50990	Rickenella mellea	ingroup	125	122	3	0	0	119	3
F27342	Schizopora paradoxa	ingroup	125	124	1	0	0	121	3
F150792	Hysterangium stoloniferum	ingroup	125	124	1	0	115	0	9
F202697	Jaapia argillacea	ingroup	125	121	4	0	0	117	4
F1323573	Meredithblackwellia eburnea	ingroup	125	124	1	0	112	0	12
F418498	Phenoliferia psychrophenolica	ingroup	125	122	3	0	106	0	16
F3038894	Phenoliferia sp. Uapishka_3	ingroup	125	103	22	0	91	0	12
F106004	Leucosporidium creatinivorum	ingroup	125	121	4	0	0	119	2
F223818	Malassezia japonica	ingroup	125	121	4	0	0	116	5
F77020	Malassezia pachydermatis	ingroup	125	120	5	0	0	118	2
F76775	Malassezia restricta	ingroup	125	122	3	0	68	48	6
F76777	Malassezia sympodialis	ingroup	125	111	14	0	44	61	6
F2020962	Malassezia vespertilionis	ingroup	125	119	6	0	48	65	6
F269621	Microbotryum intermedium	ingroup	125	124	1	0	0	121	3
F288795	Microbotryum lychnidis-dioicae	ingroup	125	121	4	0	0	116	5
F289078	Microbotryum saponariae	ingroup	125	122	3	0	3	112	7
F796604	Microbotryum silenes-dioicae	ingroup	125	121	4	0	0	118	3
F2878321	Jaminaea pallidilutea	ingroup	125	124	1	0	107	0	17
F1569628	Jaminaea rosea	ingroup	125	123	2	0	0	121	2
F1684307	Microstroma glucosiphilum	ingroup	125	125	0	0	0	123	2
F1463510	Parajaminaea phylloscopi	ingroup	125	125	0	0	106	0	19
F574677	Sympodiomycopsis kandeliae	ingroup	125	125	0	0	110	0	15
F34349	Mixia osmundae	ingroup	125	124	1	0	19	96	9
F112072	Naohidea sebacea	ingroup	125	123	2	0	115	0	8
F1419009	Clathrus columnatus	ingroup	125	117	8	0	0	109	8
F378194	Epithele typhae	ingroup	125	119	6	0	107	0	12
F599839	Fibroporia radiculosa	ingroup	125	117	8	0	0	112	5
F5630	Laetiporus sulphureus	ingroup	125	123	2	0	0	119	4
F5365	Lentinus tigrinus	ingroup	125	122	3	0	25	89	8
F231932	Phanerochaete carnosa	ingroup	125	114	11	0	0	112	2
F104341	Rhodonia placenta	ingroup	125	122	3	0	0	119	3
F181123	Austropuccinia psidii	ingroup	125	122	3	0	0	119	3
F60197	Cronartium quercuum	ingroup	125	120	5	0	0	118	2
F203908	Melampsora laricis-populina	ingroup	125	122	3	0	0	121	1
F170000	Phakopsora pachyrhizi	ingroup	125	99	26	0	47	44	8
F208348	Puccinia triticina	ingroup	125	117	8	0	53	50	14
F48021	Artomyces pyxidatus	ingroup	125	123	2	0	115	0	8
F135208	Hericium alpestre	ingroup	125	102	23	0	0	90	12
F984962	Heterobasidion irregulare	ingroup	125	120	5	0	0	119	1
F152956	Russula decolorans	ingroup	125	121	4	0	102	0	19
F40492	Stereum hirsutum	ingroup	125	120	5	0	104	6	10
F1314805	Vararia minispora	ingroup	125	124	1	0	116	0	8
F65672	Serendipita indica	ingroup	125	118	7	0	65	39	14
F2600213	Serendipita sp. 400	ingroup	125	93	32	0	86	0	7
F2600215	Serendipita sp. 405	ingroup	125	105	20	0	95	0	10
F2600216	Serendipita sp. 411	ingroup	125	102	23	0	93	0	9
F109899	Serendipita vermifera	ingroup	125	115	10	0	0	113	2
F2834505	Sertulicium niveocremeum	ingroup	125	122	3	0	0	120	2
F467971	Sistotremastrum suecicum	ingroup	125	121	4	0	0	119	2
F69979	Phyllozyma linderae	ingroup	125	125	0	0	114	0	11
F100910	Rhodosporidiobolus nylandii	ingroup	125	123	2	0	109	0	14
F29898	Rhodotorula graminis	ingroup	125	123	2	0	0	121	2
F5286	Rhodotorula toruloides	ingroup	125	125	0	0	0	121	4
F500713	Sporobolomyces koalae	ingroup	125	125	0	0	109	0	16
F183962	Sporobolomyces salmoneus	ingroup	125	124	1	0	109	0	15
F370292	Thelephora ganbajun	ingroup	125	125	0	0	116	0	9
F56493	Thelephora terrestris	ingroup	125	121	4	0	0	119	2
F13290	Tilletia caries	ingroup	125	121	4	8	14	90	9
F13291	Tilletia controversa	ingroup	125	120	5	3	30	74	13
F157183	Tilletia laevis	ingroup	125	122	3	7	0	108	7
F1031713	Tilletia maclaganii	ingroup	125	124	1	0	103	0	21
F117179	Tilletia walkeri	ingroup	125	124	1	0	51	54	19
F104669	Cryptococcus amylolentus	ingroup	125	106	19	0	0	104	2
F552467	Cryptococcus bacillisporus	ingroup	125	124	1	0	102	10	12
F1859122	Cryptococcus decagattii	ingroup	125	125	0	0	103	10	12
F40410	Cryptococcus deneoformans	ingroup	125	125	0	0	0	123	2
F5208	Cryptococcus depauperatus	ingroup	125	124	1	0	0	120	4
F1859096	Cryptococcus deuterogattii	ingroup	125	123	2	0	41	77	5
F37769	Cryptococcus gattii	ingroup	125	124	1	0	0	121	3
F5207	Cryptococcus neoformans	ingroup	125	123	2	0	0	121	2
F1859121	Cryptococcus tetragattii	ingroup	125	124	1	0	105	7	12
F5619	Cryptococcus wingfieldii	ingroup	125	124	1	0	0	122	2
F105984	Apiotrichum porosum	ingroup	125	124	1	0	0	120	4
F1890679	Cryptotrichosporon argae	ingroup	125	125	0	0	111	0	14
F279322	Cutaneotrichosporon cavernicola	ingroup	125	124	1	0	0	121	3
F82508	Trichosporon asahii	ingroup	125	118	7	0	60	46	12
F143232	Vanrija pseudolonga	ingroup	125	121	4	0	0	116	5
F1055551	Tritirachium sp. CBS 265.96	ingroup	125	123	2	0	112	0	11
F1269715	Thecaphora frezii	ingroup	125	117	8	0	100	0	17
F84753	Moesziomyces antarcticus	ingroup	125	122	3	0	5	106	11
F84751	Pseudozyma flocculosa	ingroup	125	124	1	0	24	90	10
F280036	Sporisorium graminicola	ingroup	125	122	3	0	0	116	6
F1882483	Testicularia cyperi	ingroup	125	125	0	0	0	118	7
F120017	Ustilago hordei	ingroup	125	124	1	0	4	113	7
F1673888	Violaceomyces palustris	ingroup	125	121	4	0	107	0	14
F1708542	Wallemia canadensis	ingroup	125	124	1	0	104	10	10
F1540922	Wallemia hederae	ingroup	125	122	3	0	0	112	10
F245174	Wallemia ichthyophaga	ingroup	125	122	3	0	0	118	4
F1708541	Wallemia mellicola	ingroup	125	124	1	0	0	122	2
