taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F390894	Lophium mytilinum	ingroup	4.28	failed	0.00
F574789	Mytilinidion resinicola	ingroup	3.73	failed	0.00
F48691	Neolecta irregularis	ingroup	23.11	failed	0.00
F92988	Neophaeotheca triangularis	ingroup	7.27	failed	0.00
F199306	Coccidioides posadasii	ingroup	9.75	failed	0.01
F63402	Nannizzia gypsea	ingroup	5.27	failed	1.62
F1048829	Paracoccidioides lutzii	ingroup	2.80	failed	0.00
F226899	Leptographium clavigerum	ingroup	7.69	failed	0.00
F61273	Ophiostoma piceae	ingroup	5.19	failed	0.00
F29908	Sporothrix schenckii	ingroup	5.21	failed	0.00
F97331	Arthrobotrys flagrans	ingroup	5.84	failed	0.00
F1814901	Dactylella cylindrospora	ingroup	13.98	failed	0.00
F2813651	Orbilia oligospora	ingroup	4.90	failed	0.00
F1940652	Gomphillus americanus	ingroup	4.50	failed	0.00
F2704026	Stictis urceolata	ingroup	5.41	failed	0.00
F209281	Thelotrema lepadinum	ingroup	11.43	failed	0.00
F703506	Patellaria atrata	ingroup	6.42	failed	0.01
F669869	Lobaria immixta	ingroup	5.23	failed	0.00
F52883	Peltigera leucophlebia	ingroup	21.47	failed	0.00
F169141	Pseudocyphellaria aurata	ingroup	8.73	failed	0.00
F443868	Agyrium rufum	ingroup	4.42	failed	0.01
F1006475	Circinaria calcarea	ingroup	18.41	failed	0.15
F90408	Icmadophila ericetorum	ingroup	4.37	failed	0.02
F1174673	Morchella importuna	ingroup	5.12	failed	0.00
F43433	Tricharina praecox	ingroup	9.05	failed	0.00
F39416	Tuber melanosporum	ingroup	13.92	failed	0.00
F158046	Phaeomoniella chlamydospora	ingroup	7.94	failed	0.00
F703511	Trichodelitschia bisporula	ingroup	4.18	failed	0.00
F4927	Hansenula anomala	ingroup	16.11	failed	0.00
F599730	Waltiozyma pijperi	ingroup	12.46	failed	0.00
F4903	Williopsis jadinii	ingroup	13.60	failed	0.00
F1825666	Phyllachora maydis	ingroup	19.61	failed	0.00
F1276059	Polystigma amygdalinum	ingroup	9.83	failed	0.00
F13502	Brettanomyces nanus	ingroup	10.82	failed	0.00
F1005962	Ogataea parapolymorpha	ingroup	12.09	failed	0.00
F4909	Pichia kudriavzevii	ingroup	12.60	failed	0.00
F48095	Alternaria dauci	ingroup	5.63	failed	0.00
F5454	Ascochyta rabiei	ingroup	3.12	failed	0.00
F5022	Plenodomus lingam	ingroup	4.18	failed	0.00
F4754	Pneumocystis carinii	ingroup	9.81	failed	0.00
F42068	Pneumocystis jirovecii	ingroup	9.02	failed	0.00
F263815	Pneumocystis murina	ingroup	9.40	failed	0.00
F2977754	Pyrenula ochraceoflavens	ingroup	10.64	failed	0.00
F3060298	Pyrenula sp. 1 TL-2023	ingroup	13.35	failed	0.00
F1453789	Toensbergia leucococca	ingroup	6.24	failed	0.00
F706196	Saccharomyces arboricola	ingroup	24.40	failed	0.00
F4932	Saccharomyces cerevisiae	ingroup	10.11	failed	0.00
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	60.50	failed	0.00
F1080349	Saccharomyces eubayanus	ingroup	12.12	failed	0.00
F114524	Saccharomyces kudriavzevii	ingroup	11.27	failed	0.00
F114525	Saccharomyces mikatae	ingroup	11.28	failed	0.00
F27291	Saccharomyces paradoxus	ingroup	10.70	failed	0.00
F27292	Saccharomyces pastorianus	ingroup	88.01	failed	0.00
F230603	Saccharomyces uvarum	ingroup	11.75	failed	0.00
F29833	Hanseniaspora uvarum	ingroup	28.55	failed	0.00
F56409	Hanseniaspora vineae	ingroup	13.40	failed	0.00
F36035	Saccharomycodes ludwigii	ingroup	13.56	failed	0.00
F1099800	Saitoella coloradoensis	ingroup	6.08	failed	0.00
F5606	Saitoella complicata	ingroup	9.08	failed	0.00
F273283	Sarea resinae	ingroup	3.00	failed	0.00
F400354	Loxospora ochrophaea	ingroup	6.03	failed	0.00
F1042397	Schaereria dolodes	ingroup	8.32	failed	0.00
