taxon_id	species_name	species_taxid	study_role	lineage	assembly_accession	annotation_source_version	proteome_url	cds_url	genome_url	assembly_level	busco_complete_pct	contamination_status	ecology	ecology_source	structure_coverage	inclusion_reason	status
F326681	Hypoxylon trugodes	326681	ingroup	Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon	GCF_022578975.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2022-11-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/578/975/GCF_022578975.1_Hyptru1/GCF_022578975.1_Hyptru1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/578/975/GCF_022578975.1_Hyptru1/GCF_022578975.1_Hyptru1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/578/975/GCF_022578975.1_Hyptru1/GCF_022578975.1_Hyptru1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1682393	Microdochium trichocladiopsis	1682393	ingroup	Ascomycota;Sordariomycetes;Xylariales;Microdochiaceae;Microdochium	GCF_020744255.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2022-01-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/744/255/GCF_020744255.1_Mictri1/GCF_020744255.1_Mictri1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/744/255/GCF_020744255.1_Mictri1/GCF_020744255.1_Mictri1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/744/255/GCF_020744255.1_Mictri1/GCF_020744255.1_Mictri1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F326684	Xylaria bambusicola	326684	ingroup	Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria	GCF_022495145.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2022-05-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/495/145/GCF_022495145.1_Xylbam139988_1/GCF_022495145.1_Xylbam139988_1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/495/145/GCF_022495145.1_Xylbam139988_1/GCF_022495145.1_Xylbam139988_1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/495/145/GCF_022495145.1_Xylbam139988_1/GCF_022495145.1_Xylbam139988_1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1130053	Cirrosporium novae-zelandiae	1130053	ingroup	Ascomycota;Xylobotryomycetes;Xylobotryales;Cirrosporiaceae;Cirrosporium	GCA_026023565.1	University of Alberta | Annotation submitted by University of Alberta | 2022-11-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/023/565/GCA_026023565.1_ASM2602356v1/GCA_026023565.1_ASM2602356v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/023/565/GCA_026023565.1_ASM2602356v1/GCA_026023565.1_ASM2602356v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/023/565/GCA_026023565.1_ASM2602356v1/GCA_026023565.1_ASM2602356v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1217826	Xylona heveae	1217826	ingroup	Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona	GCF_001619985.1	NCBI RefSeq | Annotation submitted by NCBI RefSeq | 2016-09-22	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/985/GCF_001619985.1_Xylona_heveae_TC161_v1.0/GCF_001619985.1_Xylona_heveae_TC161_v1.0_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/985/GCF_001619985.1_Xylona_heveae_TC161_v1.0/GCF_001619985.1_Xylona_heveae_TC161_v1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/985/GCF_001619985.1_Xylona_heveae_TC161_v1.0/GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F423460	Basidiobolus meristosporus	423460	ingroup	Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus	GCA_002104905.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2017-04-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/905/GCA_002104905.1_Basme2finSC/GCA_002104905.1_Basme2finSC_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/905/GCA_002104905.1_Basme2finSC/GCA_002104905.1_Basme2finSC_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/905/GCA_002104905.1_Basme2finSC/GCA_002104905.1_Basme2finSC_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad coverage of sparsely sampled phylum; quality exceptions subject to QC	provisional_file_QC_passed
F34480	Basidiobolus ranarum	34480	ingroup	Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus	GCA_040143965.1	University of California, Riverside | Annotation submitted by University of California, Riverside | 2024-06-12	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/143/965/GCA_040143965.1_BranAGB5_UCR_1.0/GCA_040143965.1_BranAGB5_UCR_1.0_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/143/965/GCA_040143965.1_BranAGB5_UCR_1.0/GCA_040143965.1_BranAGB5_UCR_1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/143/965/GCA_040143965.1_BranAGB5_UCR_1.0/GCA_040143965.1_BranAGB5_UCR_1.0_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad coverage of sparsely sampled phylum; quality exceptions subject to QC	provisional_file_QC_passed
F87326	Amanita brunnescens	87326	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	GCA_001691785.3	Harvard University | Annotation submitted by Harvard University | 2020-11-10	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/785/GCA_001691785.3_ASM169178v3/GCA_001691785.3_ASM169178v3_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/785/GCA_001691785.3_ASM169178v3/GCA_001691785.3_ASM169178v3_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/785/GCA_001691785.3_ASM169178v3/GCA_001691785.3_ASM169178v3_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Focal genus coverage; ecological contrasts require independent trait curation	provisional_file_QC_passed
F933333	Amanita inopinata	933333	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	GCA_001691775.3	Harvard University | Annotation submitted by Harvard University | 2020-11-10	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/775/GCA_001691775.3_ASM169177v3/GCA_001691775.3_ASM169177v3_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/775/GCA_001691775.3_ASM169177v3/GCA_001691775.3_ASM169177v3_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/775/GCA_001691775.3_ASM169177v3/GCA_001691775.3_ASM169177v3_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Focal genus coverage; ecological contrasts require independent trait curation	provisional_file_QC_passed
F41956	Amanita muscaria	41956	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	GCA_054369615.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2026-01-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/615/GCA_054369615.1_ASM5436961v1/GCA_054369615.1_ASM5436961v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/615/GCA_054369615.1_ASM5436961v1/GCA_054369615.1_ASM5436961v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/615/GCA_054369615.1_ASM5436961v1/GCA_054369615.1_ASM5436961v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Focal genus coverage; ecological contrasts require independent trait curation	provisional_file_QC_passed
