marker	block_length	draws	completed_draws	unestimable_draws
4985971at2759	10	200	200	0
4985971at2759	30	200	200	0
5000045at2759	1	200	200	0
5000045at2759	10	200	200	0
5000045at2759	30	200	200	0
5000371at2759	1	200	200	0
5000371at2759	10	200	200	0
5000371at2759	30	200	200	0
5000452at2759	1	200	200	0
5000452at2759	10	200	200	0
5000452at2759	30	200	200	0
5000476at2759	1	200	200	0
5000476at2759	10	200	200	0
5000476at2759	30	200	200	0
5000743at2759	1	200	200	0
5000743at2759	10	200	200	0
5000743at2759	30	200	200	0
5001156at2759	1	200	200	0
5001156at2759	10	200	200	0
5001156at2759	30	200	199	1
5001273at2759	1	200	200	0
5001273at2759	10	200	200	0
5001273at2759	30	200	200	0
5001318at2759	1	200	200	0
5001318at2759	10	200	200	0
5001318at2759	30	200	200	0
5001413at2759	1	200	200	0
5001413at2759	10	200	200	0
5001413at2759	30	200	200	0
5001473at2759	1	200	200	0
5001473at2759	10	200	200	0
5001473at2759	30	200	200	0
5001734at2759	1	200	200	0
5001734at2759	10	200	200	0
5001734at2759	30	200	199	1
5002334at2759	1	200	200	0
5002334at2759	10	200	200	0
5002334at2759	30	200	200	0
5002573at2759	1	200	200	0
5002573at2759	10	200	200	0
5002573at2759	30	200	200	0
5003856at2759	1	200	200	0
5003856at2759	10	200	200	0
5003856at2759	30	200	200	0
5003972at2759	1	200	200	0
5003972at2759	10	200	200	0
5003972at2759	30	200	200	0
5004118at2759	1	200	200	0
5004118at2759	10	200	200	0
5004118at2759	30	200	200	0
5004478at2759	1	200	200	0
5004478at2759	10	200	200	0
5004478at2759	30	200	200	0
5005010at2759	1	200	200	0
5005010at2759	10	200	200	0
5005010at2759	30	200	200	0
5005174at2759	1	200	200	0
5005174at2759	10	200	200	0
5005174at2759	30	200	200	0
5005196at2759	1	200	200	0
5005196at2759	10	200	200	0
5005196at2759	30	200	200	0
5005274at2759	1	200	200	0
5005274at2759	10	200	200	0
5005274at2759	30	200	200	0
5005750at2759	1	200	200	0
5005750at2759	10	200	200	0
5005750at2759	30	200	198	2
5005892at2759	1	200	200	0
5005892at2759	10	200	200	0
5005892at2759	30	200	200	0
5013042at2759	1	200	200	0
5013042at2759	10	200	200	0
5013042at2759	30	200	200	0
5013067at2759	1	200	200	0
5013067at2759	10	200	200	0
5013067at2759	30	200	200	0
5013259at2759	1	200	200	0
5013259at2759	10	200	200	0
5013259at2759	30	200	199	1
5013539at2759	1	200	200	0
5013539at2759	10	200	200	0
5013539at2759	30	200	200	0
5013726at2759	1	200	200	0
5013726at2759	10	200	200	0
5013726at2759	30	200	200	0
5013738at2759	1	200	200	0
5013738at2759	10	200	200	0
5013738at2759	30	200	200	0
5015403at2759	1	200	200	0
5015403at2759	10	200	200	0
5015403at2759	30	200	200	0
5015712at2759	1	200	200	0
5015712at2759	10	200	200	0
5015712at2759	30	200	200	0
5015742at2759	1	200	200	0
5015742at2759	10	200	200	0
5015742at2759	30	200	200	0
5017019at2759	1	200	200	0
5017019at2759	10	200	200	0
5017019at2759	30	200	200	0
529759at2759	1	200	200	0
529759at2759	10	200	200	0
529759at2759	30	200	200	0
539632at2759	1	200	200	0
539632at2759	10	200	200	0
539632at2759	30	200	200	0
540946at2759	1	200	200	0
540946at2759	10	200	200	0
540946at2759	30	200	200	0
541070at2759	1	200	200	0
541070at2759	10	200	200	0
541070at2759	30	200	200	0
554735at2759	1	200	200	0
554735at2759	10	200	200	0
554735at2759	30	200	200	0
649304at2759	1	200	200	0
649304at2759	10	200	200	0
649304at2759	30	200	200	0
707076at2759	1	200	200	0
707076at2759	10	200	200	0
707076at2759	30	200	199	1
707202at2759	1	200	200	0
707202at2759	10	200	200	0
707202at2759	30	200	200	0
727964at2759	1	200	200	0
727964at2759	10	200	200	0
727964at2759	30	200	198	2
760428at2759	1	200	200	0
760428at2759	10	200	200	0
760428at2759	30	200	200	0
776280at2759	1	200	200	0
776280at2759	10	200	200	0
776280at2759	30	200	200	0
801816at2759	1	200	200	0
801816at2759	10	200	200	0
801816at2759	30	200	200	0
