taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F1004511	Amanita polypyramis	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	5	5	12	5	5	5
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Ogataea	67	67	214	128	65	65
F1006475	Circinaria calcarea	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Megasporaceae;Circinaria	1	1	2	1	1	1
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus	3	7	4	2	2	2
F101028	Fusarium pseudograminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	125	125	336	184	111	111
F101097	Entomortierella chlamydospora	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Entomortierella	41	41	143	87	39	39
F101098	Gamsiella multidivaricata	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Gamsiella	5	5	11	7	5	5
F101201	Trichoderma asperellum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2268	2268	5606	2239	1414	1414
F1031713	Tilletia maclaganii	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	2	2	3	2	2	2
F103449	Vavraia culicis	ingroup	Microsporidia;Pleistophoridae;Vavraia	35	35	105	61	31	31
F1042133	Fusarium musae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	83	83	243	140	79	79
F1042397	Schaereria dolodes	ingroup	Ascomycota;Lecanoromycetes;Sarrameanales;Schaereria	1	1	1	1	1	1
F104341	Rhodonia placenta	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Adustoporiaceae;Rhodonia	3753	3755	9127	3093	1828	1828
F104355	Gloeophyllum trabeum	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum	84	84	256	143	79	79
F104408	Naganishia liquefaciens	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	64	64	202	122	61	61
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	2685	2685	6810	2682	1588	1588
F1048519	Viridothelium virens	ingroup	Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Viridothelium	4372	4372	10820	3577	2151	2151
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides	286	288	851	496	259	259
F1048955	Tothia fuscella	ingroup	Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia	67	67	208	116	65	65
F1052096	Cladosporium halotolerans	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium	71	71	220	129	68	68
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium	0	0	0	0	0	0
F105984	Apiotrichum porosum	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum	3042	3045	7797	2801	1668	1668
F106004	Leucosporidium creatinivorum	ingroup	Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium	3335	3342	8268	3020	1749	1749
F1069201	Aspergillus luchuensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2356	2356	5846	2263	1401	1401
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	9	10	25	16	9	9
F1081669	Hepatospora eriocheir	ingroup	Microsporidia;Hepatosporidae;Hepatospora	449	450	1056	503	339	339
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Phialemonium	62	62	198	118	59	59
F1093900	Thyridium curvatum	ingroup	Ascomycota;Sordariomycetes;Thyridiales;Thyridiaceae;Thyridium	4739	4865	11968	3801	2195	2195
F1095194	Colletotrichum karsti	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	69	69	212	124	64	64
F109760	Spizellomyces punctatus	ingroup	Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces	3473	3479	9139	3445	2021	2021
F109876	Catenaria anguillulae	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria	2785	2806	6885	2531	1537	1537
F109889	Lobulomyces angularis	ingroup	Chytridiomycota;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae;Lobulomyces	2	3	4	2	2	2
F109899	Serendipita vermifera	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	3932	3999	9672	3163	1810	1810
F109932	Entophlyctis luteolus	ingroup	Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis	2	7	2	2	2	2
F1099800	Saitoella coloradoensis	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	9	10	22	12	9	9
F110093	Polychytrium aggregatum	ingroup	Chytridiomycota;Chytridiomycetes;Polychytriales;Polychytrium	2	2	5	3	2	2
F1116844	Thelocarpon impressellum	ingroup	Ascomycota;Thelocarpales;Thelocarpaceae;Thelocarpon	0	0	0	0	0	0
F1117311	Funneliformis geosporum	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis	59	59	149	94	56	56
F112072	Naohidea sebacea	ingroup	Basidiomycota;Cystobasidiomycetes;Naohideales;Naohideaceae;Naohidea	1	7	1	1	1	1
F1123529	Gonapodya prolifera	ingroup	Monoblepharomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya	4088	4099	10102	3434	1846	1846
F112417	Gautieria morchelliformis	ingroup	Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Gautieria	2	2	7	2	2	2
F1125753	Limtongia smithiae	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Limtongia	0	0	0	0	0	0
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota;Xylobotryomycetes;Xylobotryales;Cirrosporiaceae;Cirrosporium	1	1	1	1	1	1
F113071	Ramaria rubella	ingroup	Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria	5	6	11	5	5	5
F1141098	Pseudomassariella vexata	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Pseudomassariaceae;Pseudomassariella	4557	4560	11269	3832	2194	2194
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	62	63	205	131	60	60
F114525	Saccharomyces mikatae	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	64	65	207	129	62	62
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota;Lecanoromycetes;Teloschistales;Brigantiaeaceae;Brigantiaea	1	1	2	1	1	1
F1145321	Letrouitia subvulpina	ingroup	Ascomycota;Lecanoromycetes;Teloschistales;Letrouitiaceae;Letrouitia	2	2	4	2	2	2
F116603	Suillus plorans	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	71	71	218	126	67	67
F116794	Heterodermia speciosa	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Heterodermia	56	56	190	109	53	53
F116821	Physcia stellaris	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Physcia	3	3	5	3	3	3
F116982	Xanthoria calcicola	ingroup	Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthoria	3	3	8	3	3	3
F117179	Tilletia walkeri	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	44	44	113	63	42	42
F117187	Fusarium verticillioides	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	189	189	487	260	154	154
F1174673	Morchella importuna	ingroup	Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella	1	1	2	1	1	1
F1176130	Aulographum hederae	ingroup	Ascomycota;Dothideomycetes;Aulographales;Aulographaceae;Aulographum	63	63	194	111	60	60
F1176355	Hamiltosporidium tvaerminnensis	ingroup	Microsporidia;Dubosqiidae;Hamiltosporidium	249	250	594	298	210	210
F120017	Ustilago hordei	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago	76	76	228	129	73	73
F1209916	Colletotrichum costaricense	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	250	250	619	336	224	224
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	212	212	487	270	191	191
F1213189	Zancudomyces culisetae	ingroup	Kickxellomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Zancudomyces	1783	1981	4490	1624	929	929
F1214568	Diaporthe amygdali	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Diaporthaceae;Diaporthe	13	13	31	21	13	13
F121624	Phyllosticta capitalensis	ingroup	Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Phyllosticta	7	8	16	7	7	7
F1217826	Xylona heveae	ingroup	Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona	3108	3108	7880	3158	1788	1788
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	62	62	200	118	59	59
F122368	Cercospora beticola	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Cercospora	3964	3964	9863	3387	1976	1976
F1230402	Basidioascus undulatus	ingroup	Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Basidioascus	1	1	3	1	1	1
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	0	0	0	0	0	0
F1246581	Paramicrosporidium saccamoebae	ingroup	Rozellomycota;Paramicrosporidium	1109	1112	3007	1409	851	851
F1269715	Thecaphora frezii	ingroup	Basidiomycota;Ustilaginomycetes;Urocystidales;Glomosporiaceae;Thecaphora	8	8	14	7	7	7
F1276059	Polystigma amygdalinum	ingroup	Ascomycota;Sordariomycetes;Phyllachorales;Phyllachoraceae;Polystigma	2	2	3	2	2	2
F1280837	Meira miltonrushii	ingroup	Basidiomycota;Exobasidiomycetes;Exobasidiales;Brachybasidiaceae;Meira	2597	2597	6605	2644	1571	1571
F1286916	Piptocephalis tieghemiana	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis	3	4	6	3	3	3
F129515	Trapelia coarctata	ingroup	Ascomycota;Lecanoromycetes;Trapeliales;Trapeliaceae;Trapelia	4	4	7	4	4	4
F1300064	Nucleospora cyclopteri	ingroup	Microsporidia;Enterocytozoonidae;Nucleospora	0	0	0	0	0	0
F1314805	Vararia minispora	ingroup	Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Vararia	3	3	7	3	3	3
F1323573	Meredithblackwellia eburnea	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Meredithblackwellia	1	1	4	1	1	1
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	24	25	64	38	24	24
F13290	Tilletia caries	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	1394	1395	3517	1616	1007	1007
F13291	Tilletia controversa	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	956	956	2367	1158	746	746
F1331295	Auricularia subglabra	ingroup	Basidiomycota;Agaricomycetes;Auriculariales;Auriculariaceae;Auricularia	6	6	13	4	4	4
F133377	Smittium angustum	ingroup	Kickxellomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium	2358	2624	6012	2188	1286	1286
F133385	Smittium simulii	ingroup	Kickxellomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium	1912	1934	4880	1967	1168	1168
F1341166	Eremomyces bilateralis	ingroup	Ascomycota;Dothideomycetes;Eremomycetales;Eremomycetaceae;Eremomyces	61	61	203	114	58	58
F1343610	Actinomortierella ambigua	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Actinomortierella	66	66	205	123	63	63
F1343614	Mortierella claussenii	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella	4	5	6	5	4	4
F1348612	Diversispora epigaea	ingroup	Glomeromycota;Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora	5482	5505	13288	3390	1875	1875
F13502	Brettanomyces nanus	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Brettanomyces	66	66	216	121	63	63
F135208	Hericium alpestre	ingroup	Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium	2489	2489	5944	2235	1346	1346
F135589	Coniferiporia weirii	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coniferiporia	0	0	0	0	0	0
F136370	Lasallia pustulata	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Lasallia	313	313	783	421	272	272
F139363	Hydnum rufescens	ingroup	Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Hydnum	59	59	186	109	56	56
F1396493	Fimicolochytrium jonesii	ingroup	Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Fimicolochytrium	6	8	15	7	5	5
F1397036	Lambiella insularis	ingroup	Ascomycota;Lecanoromycetes;Baeomycetales;Xylographaceae;Lambiella	3	3	6	3	3	3
F1419009	Clathrus columnatus	ingroup	Basidiomycota;Agaricomycetes;Phallales;Clathraceae;Clathrus	52	52	166	104	50	50
F1424756	Naganishia vaughanmartiniae	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	0	0	0	0	0	0
F143232	Vanrija pseudolonga	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija	63	63	203	118	60	60
F1440133	Modicella reniformis	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Modicella	49	49	148	94	47	47
F144530	Ambispora gerdemannii	ingroup	Glomeromycota;Glomeromycetes;Archaeosporales;Ambisporaceae;Ambispora	60	60	162	101	58	58
F144538	Paraglomus brasilianum	ingroup	Glomeromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus	63	63	194	123	60	60
F144539	Paraglomus occultum	ingroup	Glomeromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus	57	57	162	103	56	56
F144679	Ambispora leptoticha	ingroup	Glomeromycota;Glomeromycetes;Archaeosporales;Ambisporaceae;Ambispora	56	56	158	101	55	55
F1453789	Toensbergia leucococca	ingroup	Ascomycota;Lecanoromycetes;Rhizocarpales;Sporastatiaceae;Toensbergia	2	2	3	2	2	2
F1453791	Pycnora praestabilis	ingroup	Ascomycota;Candelariomycetes;Candelariales;Pycnoraceae;Pycnora	3	3	7	3	3	3
F145971	Colletotrichum lupini	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	195	195	490	280	178	178
F1463510	Parajaminaea phylloscopi	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Parajaminaea	3	3	4	2	2	2
F147570	Myriangium duriaei	ingroup	Ascomycota;Dothideomycetes;Myriangiales;Myriangiaceae;Myriangium	68	68	218	126	65	65
F147573	Piedraia hortae	ingroup	Ascomycota;Dothideomycetes;Capnodiales;Piedraiaceae;Piedraia	63	63	204	116	60	60
F148304	Magnaporthiopsis poae	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthiopsis	3233	3233	7811	2935	1802	1802
F148305	Pyricularia grisea	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Pyriculariaceae;Pyricularia	70	70	223	134	66	66
F148313	Discula destructiva	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Discula	3	3	7	3	3	3
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	0	0	0	0	0	0
F1500003	Paraphysoderma sedebokerense	ingroup	Blastocladiomycota;Physodermatomycetes;Physodermatales;Physodermataceae;Paraphysoderma	1	1	3	1	1	1
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota;Dothideomycetes;Aulographales;Rhizodiscinaceae;Rhizodiscina	65	65	211	120	62	62
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Thozetella	2	2	2	2	2	2
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cryoendolithus	6917	7020	17445	4028	2149	2149
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Rachicladosporium	0	0	0	0	0	0
F150792	Hysterangium stoloniferum	ingroup	Basidiomycota;Agaricomycetes;Hysterangiales;Hysterangiaceae;Hysterangium	1	2	1	1	1	1
F1520584	Dispira parvispora	ingroup	Kickxellomycota;Dimargaritomycetes;Dimargaritales;Dimargaritaceae;Dispira	46	46	151	89	45	45
F1522189	Ceraceosorus guamensis	ingroup	Basidiomycota;Exobasidiomycetes;Ceraceosorales;Ceraceosoraceae;Ceraceosorus	2326	2326	5942	2468	1494	1494
F152956	Russula decolorans	ingroup	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	2	2	4	3	2	2
F1540922	Wallemia hederae	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	1730	1732	4692	2022	1203	1203
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Coniocarpon	0	0	0	0	0	0
F1555241	Caulochytrium protostelioides	ingroup	Chytridiomycota;Caulochytriomycetes;Caulochytriales;Caulochytriaceae;Caulochytrium	2024	2025	5113	2141	1266	1266
F156515	Tulasnella calospora	ingroup	Basidiomycota;Agaricomycetes;Cantharellales;Tulasnellaceae;Tulasnella	4473	4501	10284	3204	1828	1828
F1569628	Jaminaea rosea	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Jaminaea	2200	2200	5582	2356	1454	1454
F157183	Tilletia laevis	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	1296	1296	3285	1520	947	947
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota;Eurotiomycetes;Phaeomoniellales;Phaeomoniellaceae;Phaeomoniella	2725	2725	7035	2731	1622	1622
F1590129	Xylographa bjoerkii	ingroup	Ascomycota;Lecanoromycetes;Baeomycetales;Xylographaceae;Xylographa	4	4	7	4	4	4
F1604274	Cladochytrium tenue	ingroup	Chytridiomycota;Chytridiomycetes;Cladochytriales;Cladochytriaceae;Cladochytrium	1	1	4	2	1	1
F162425	Aspergillus nidulans	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	76	76	223	130	73	73
F164576	Chaenotheca gracillima	ingroup	Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca	1	1	1	1	1	1
F164912	Astathelohania contejeani	ingroup	Microsporidia;Astathelohaniidae;Astathelohania	0	0	0	0	0	0
F1658444	Neoarthrinium moseri	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Apiosporaceae;Neoarthrinium	38	38	124	75	37	37
F1670608	Glutinoglossum americanum	ingroup	Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Glutinoglossum	55	55	169	102	52	52
F1671311	Colletotrichum abscissum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	238	238	567	306	211	211
F1673888	Violaceomyces palustris	ingroup	Basidiomycota;Ustilaginomycetes;Violaceomycetales;Violaceomycetaceae;Violaceomyces	1	1	2	1	1	1
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota;Sordariomycetes;Xylariales;Microdochiaceae;Microdochium	70	70	219	126	67	67
F1684307	Microstroma glucosiphilum	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Microstromataceae;Microstroma	2231	2231	5728	2391	1437	1437
F1690604	Lithohypha guttulata	ingroup	Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Lithohypha	17	17	39	23	17	17
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Extremaceae;Saxophila	68	68	216	123	65	65
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Pseudocyphellaria	2	2	4	2	2	2
F170000	Phakopsora pachyrhizi	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Phakopsoraceae;Phakopsora	64	69	132	77	60	60
F170446	Ceratobasidium sp. AG-Ba	ingroup	Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium	3	6	8	3	2	2
F1708541	Wallemia mellicola	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	68	68	216	134	66	66
F1708542	Wallemia canadensis	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	6	6	14	8	6	6
F1712513	Syncephalis pseudoplumigaleata	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis	1996	2036	4809	2033	1253	1253
F173216	Trichoderma aggressivum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	147	147	386	205	136	136
F1738374	Trichoderma camerunense	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	310	310	708	354	249	249
F174425	Lichina confinis	ingroup	Ascomycota;Lichinomycetes;Lichinales;Lichinaceae;Lichina	0	0	0	0	0	0
F174680	Glugoides intestinalis	ingroup	Microsporidia;Glugeidae;Glugoides	0	0	0	0	0	0
F174688	Gurleya vavrai	ingroup	Microsporidia;Gurleyidae;Gurleya	0	0	0	0	0	0
F1750568	Cantharellus anzutake	ingroup	Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Cantharellus	0	0	0	0	0	0
F1754190	Neocallimastix californiae	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Neocallimastix	17	29	36	19	16	16
F1754191	Piromyces finnis	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces	3240	3289	8584	3092	1500	1500
F1754192	Anaeromyces robustus	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Anaeromyces	3697	3744	9849	3230	1708	1708
F1759441	Athelia psychrophila	ingroup	Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Athelia	6196	6379	14410	3710	2035	2035
F177197	Coniochaeta ligniaria	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	4586	4586	11386	3858	2228	2228
F177199	Coniochaeta pulveracea	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	3612	3612	8985	3436	2049	2049
F1774096	Dinochytrium kinnereticum	ingroup	Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Dinochytrium	1	1	4	2	1	1
F1806994	Synchytrium microbalum	ingroup	Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae;Synchytrium	2820	2821	7638	2824	1620	1620
F1810926	Aspergillus stella-maris	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	5	2	2	2
F1810928	Aspergillus undulatus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	1	1	1	1	1	1
F181123	Austropuccinia psidii	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Sphaerophragmiaceae;Austropuccinia	64	64	197	121	62	62
F1814901	Dactylella cylindrospora	ingroup	Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Dactylella	6	6	14	6	5	5
F182096	Aspergillus chevalieri	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	62	62	197	118	59	59
F1825666	Phyllachora maydis	ingroup	Ascomycota;Sordariomycetes;Phyllachorales;Phyllachoraceae;Phyllachora	52	52	158	97	50	50
F183962	Sporobolomyces salmoneus	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces	2	5	5	2	2	2
F1851185	Syncephalis plumigaleata	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis	1	1	2	2	1	1
F1851187	Syncephalis fuscata	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis	5	5	7	7	5	5
F1858805	Dacryopinax primogenitus	ingroup	Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacryopinax	70	71	219	127	67	67
F1859096	Cryptococcus deuterogattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	1201	1201	2956	1395	893	893
F1859121	Cryptococcus tetragattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	84	84	177	94	72	72
F1859122	Cryptococcus decagattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	71	71	149	80	61	61
F1882483	Testicularia cyperi	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Testicularia	2184	2193	5579	2379	1372	1372
F1890679	Cryptotrichosporon argae	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Tetragoniomycetaceae;Cryptotrichosporon	0	0	0	0	0	0
F1897645	Haplosporangium bisporale	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Haplosporangium	3	3	6	5	3	3
F1904413	Suillus clintonianus	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	5	5	12	7	5	5
F1907219	Piptocephalis cylindrospora	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis	1409	1416	3419	1532	995	995
F1912936	Suillus discolor	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	75	75	240	139	71	71
F1912939	Suillus fuscotomentosus	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	64	64	195	122	62	62
F1938712	Atractiella rhizophila	ingroup	Basidiomycota;Atractiellomycetes;Atractiellales;Hoehnelomycetaceae;Atractiella	1	1	1	1	1	1
F1938954	Bifiguratus adelaidae	ingroup	Mucoromycota;Endogonomycetes;Endogonales;Bifiguratus	2229	2229	5978	2396	1391	1389
F1940652	Gomphillus americanus	ingroup	Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Gomphillus	62	62	205	121	59	59
F195108	Fusarium falciforme	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	42	42	119	71	42	42
F199306	Coccidioides posadasii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides	0	0	0	0	0	0
