taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus	4319	4319	10938	3745	2161	2161
F34349	Mixia osmundae	ingroup	Basidiomycota;Mixiomycetes;Mixiales;Mixiaceae;Mixia	52	52	160	97	50	50
F34406	Colletotrichum destructivum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	182	182	480	257	167	167
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus	13	30	20	11	11	11
F34485	Entomophthora muscae	ingroup	Entomophthoromycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Entomophthora	0	0	0	0	0	0
F34488	Conidiobolus coronatus	ingroup	Entomophthoromycota;Entomophthoromycetes;Entomophthorales;Conidiobolaceae;Conidiobolus	3439	3441	8495	2885	1453	1453
F348617	Massospora cicadina	ingroup	Entomophthoromycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Massospora	0	0	0	0	0	0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Saccharomycodes	992	994	2568	1294	797	797
F36050	Fusarium poae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2283	2290	5602	2303	1487	1487
F364730	Trypethelium subeluteriae	ingroup	Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Trypethelium	29	29	60	27	25	25
F364733	Endocarpon pusillum	ingroup	Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Endocarpon	58	58	185	114	55	55
F36779	Gaeumannomyces tritici	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Gaeumannomyces	87	87	263	148	83	83
F370292	Thelephora ganbajun	ingroup	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	2	2	4	2	2	2
F37769	Cryptococcus gattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	130	130	354	188	117	117
F378194	Epithele typhae	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Epitheliaceae;Epithele	4	4	9	5	4	4
F382532	Globomyces pollinis-pini	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophydiales;Globomycetaceae;Globomyces	1	1	4	2	1	1
F383834	Lipomyces doorenjongii	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Lipomyces	0	0	0	0	0	0
F38799	Neolentinus lepideus	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Neolentinus	4003	4007	9734	3338	1948	1948
F390894	Lophium mytilinum	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium	3023	3023	7297	2619	1615	1615
F393283	Pestalotiopsis fici	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Pestalotiopsis	77	77	254	139	72	72
F39416	Tuber melanosporum	ingroup	Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber	62	62	204	120	59	59
