model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient_baseline	marker_cluster_standard_error_baseline	t_statistic_baseline	p_value_conditional_cluster_t_baseline	ci95_lower_baseline	ci95_upper_baseline	bh_q_across_all_72_focal_tests_baseline	coefficient_sensitivity	marker_cluster_standard_error_sensitivity	t_statistic_sensitivity	p_value_conditional_cluster_t_sensitivity	ci95_lower_sensitivity	ci95_upper_sensitivity	bh_q_across_all_72_focal_tests_sensitivity	coefficient_change	coefficient_sign_changed
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2774330510133376	0.036831447109884806	-7.532504769243244	4.367459587847098e-11	-0.35063954031185446	-0.20422656171482073	1.9653568145311941e-10	-0.28100876123591195	0.036654477172411916	-7.666423938176204	2.3454466018059695e-11	-0.3538635036211154	-0.2081540188507085	1.0554509708126864e-10	-0.0035757102225743576	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.031939262494779165	0.050144946442998994	-0.6369388095983973	0.5258371851774568	-0.13160777332472437	0.06772924833516603	0.7423583790740567	-0.03310465136410329	0.05022934723126965	-0.6590699101001736	0.5115915561164804	-0.1329409178997879	0.06673161517158131	0.7083575392382037	-0.001165388869324123	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1994060683300304	0.013470550433741187	14.803112115638262	1.712643794067847e-25	0.1726318907303632	0.22618024592969763	2.4662070634576997e-24	0.1990066241671306	0.013548256192614391	14.688726086801916	2.7793029782987813e-25	0.17207799795759984	0.22593525037666137	4.002196288750245e-24	-0.00039944416289980356	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.22183113781062097	0.035888152795833336	-6.181180153590292	1.9972352024777224e-08	-0.29316272751855327	-0.15049954810268867	5.530805176092155e-08	-0.22404366808255013	0.03569399507140073	-6.276788788545043	1.3099422028531593e-08	-0.29498934828946566	-0.15309798787563458	3.6275322540549026e-08	-0.002212530271929164	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_by_rsa	0.03162393280372325	0.04303996911366817	0.7347573303364769	0.46446321824301096	-0.0539226662459414	0.1171705318533879	0.6824765655815671	0.03964914265041108	0.042388741532606855	0.935369657528323	0.35218691144587944	-0.04460307106593688	0.12390135636675903	0.517499135185782	0.00802520984668783	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09721467614547831	0.024567628389857366	3.9570232259623785	0.00015448651250793012	0.04838385449879505	0.14604549779216158	0.0002527961113766129	0.09697243554416185	0.0248803120162117	3.897557051574587	0.00019053574351211288	0.04752012133221942	0.14642474975610428	0.0003117857621107301	-0.00024224060131645964	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_centered	-0.23328279156731005	0.03325192638810394	-7.015617346331196	4.715264766375664e-10	-0.29937459583509557	-0.16719098729952453	1.7868371746265674e-09	-0.23898209073634916	0.03296166587612828	-7.250303781200159	1.6079757273707014e-10	-0.30449697080671356	-0.17346721066598472	6.093381703720553e-10	-0.005699299169039107	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_by_rsa	0.02218130667009044	0.043586050448200464	0.5089083879359901	0.6121046810313512	-0.06445068816251182	0.1088133015026927	0.831538434608628	0.029583208788888517	0.043007470124058485	0.6878621017128742	0.49336951671175566	-0.055898794999884656	0.1150652125776617	0.6965216706518903	0.007401902118798077	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.2064361028722877	0.014755069219500386	13.990859670075999	5.5221248765721474e-24	0.17710880509618876	0.23576340064838663	3.9759299111319457e-23	0.20595986687163662	0.014833354770801365	13.884914778486737	8.738962403362615e-24	0.17647696808544308	0.23544276565783015	6.292052930421082e-23	-0.0004762360006510813	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_centered	-0.18535965107011637	0.03197523816395295	-5.796974837831863	1.0623832087530079e-07	-0.24891389925057217	-0.12180540288966059	2.393089251560515e-07	-0.1905462645426004	0.03174925837670197	-6.0015973375436635	4.383596919183571e-08	-0.2536513534264444	-0.1274411756587564	1.0181257360684422e-07	-0.005186613472484031	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_by_rsa	0.028575614019262206	0.051358512738260004	0.5563948894878051	0.5793692620532187	-0.07350499122940114	0.13065621926792556	0.802203593612149	0.038401816662286405	0.0506203991929711	0.758623347000762	0.4501282384488824	-0.06221170799100765	0.13901534131558047	0.6481846633663907	0.009826202643024199	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09909274521123754	0.02399369987813732	4.129948516257357	8.306088413779302e-05	0.051402668627489136	0.14678282179498595	0.00014239008709335946	0.0991619311364806	0.024306752608219306	4.079604245568743	9.966749167140995e-05	0.050849628353847175	0.14747423391911402	0.00016688510233352363	6.918592524306211e-05	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_centered	-0.26786956987318056	0.03916054223204837	-6.840292667192956	1.047446154637285e-09	-0.34570538792511846	-0.19003375182124266	3.591243958756406e-09	-0.2746919281248509	0.03884192159154508	-7.0720478511198195	3.6432054873343863e-10	-0.3518944531530392	-0.19748940309666257	1.311553975440379e-09	-0.006822358251670324	False
