taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F398673	Trichoderma gamsii	ingroup	Ascomycota	125	0	0	0	49027	0	3093	45934	0	0	0	0.0
F65468	Trichoderma ghanense	ingroup	Ascomycota	125	28	25	25	49027	3909	1378	42815	9	906	10	0.07973157647826708
F5544	Trichoderma harzianum	ingroup	Ascomycota	125	0	0	0	49027	0	657	48370	0	0	0	0.0
F2732470	Bacidia gigantensis	ingroup	Ascomycota	125	28	23	23	49027	3437	3977	40654	7	952	0	0.07010422828237502
F209136	Lepraria neglecta	ingroup	Ascomycota	125	0	0	0	49027	0	1264	47763	0	0	0	0.0
F560253	Letharia lupina	ingroup	Ascomycota	125	0	0	0	49027	0	755	48272	0	0	0	0.0
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	125	28	26	26	49027	3534	2444	42310	6	728	5	0.07208272992432742
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	28	26	26	49027	3729	1154	43339	8	790	7	0.07606013013237604
F174425	Lichina confinis	ingroup	Ascomycota	125	28	23	23	49027	3398	2778	41827	11	1006	7	0.06930874824076529
F318774	Phylliscum demangeonii	ingroup	Ascomycota	125	28	25	25	49027	3295	4136	40662	8	919	7	0.06720786505394986
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	125	28	27	27	49027	4070	4208	40006	7	731	5	0.08301548126542517
F578093	Lineolata rhizophorae	ingroup	Ascomycota	125	0	0	0	49027	0	2019	47008	0	0	0	0.0
F1125753	Limtongia smithiae	ingroup	Ascomycota	125	28	25	25	49027	3739	2279	42191	10	796	12	0.07626409937381443
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	125	28	25	25	49027	3697	2352	42109	10	850	9	0.07540742855977318
F44089	Neoaidaea tothii	ingroup	Ascomycota	125	28	26	26	49027	3638	1600	43121	9	649	10	0.07420401003528668
F339359	Zalerion maritima	ingroup	Ascomycota	125	0	0	0	49027	0	2358	46669	0	0	0	0.0
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	125	0	0	0	49027	0	2129	46898	0	0	0	0.0
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	125	1	0	0	49027	76	10547	38383	1	20	0	0.0015501662349317723
F148305	Pyricularia grisea	ingroup	Ascomycota	125	0	0	0	49027	0	1264	47763	0	0	0	0.0
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	125	29	28	28	49027	3868	1660	42822	8	658	11	0.07889530258836967
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	125	28	25	25	49027	3463	1726	42810	8	1010	10	0.07063454831011483
F563466	Scedosporium apiospermum	ingroup	Ascomycota	125	0	0	0	49027	0	11350	37677	0	0	0	0.0
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	0	0	0	49027	0	614	48413	0	0	0	0.0
F122368	Cercospora beticola	ingroup	Ascomycota	125	4	4	4	49027	648	788	47561	0	30	0	0.013217206845207743
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	4	4	4	49027	970	1298	46546	1	211	1	0.019785016419523935
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	0	0	0	49027	0	1078	47949	0	0	0	0.0
F2601811	Elsinoe batatas	ingroup	Ascomycota	125	0	0	0	49027	0	2176	46851	0	0	0	0.0
F147570	Myriangium duriaei	ingroup	Ascomycota	125	0	0	0	49027	0	955	48072	0	0	0	0.0
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	0	0	0	49027	0	888	48139	0	0	0	0.0
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	0	0	0	49027	0	762	48265	0	0	0	0.0
F390894	Lophium mytilinum	ingroup	Ascomycota	125	0	0	0	49027	0	1181	47846	0	0	0	0.0
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	0	0	0	49027	0	827	48200	0	0	0	0.0
F48691	Neolecta irregularis	ingroup	Ascomycota	125	0	0	0	49027	0	9792	39235	0	0	0	0.0
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	125	28	25	25	49027	3624	2656	41875	6	866	0	0.07391845309727293
F199306	Coccidioides posadasii	ingroup	Ascomycota	125	28	27	27	49027	3704	3888	40674	8	751	2	0.07555020702878006
F63402	Nannizzia gypsea	ingroup	Ascomycota	125	0	0	0	49027	0	1821	47206	0	0	0	0.0
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	0	0	0	49027	0	907	48120	0	0	0	0.0
F226899	Leptographium clavigerum	ingroup	Ascomycota	125	0	0	0	49027	0	3079	45948	0	0	0	0.0
F61273	Ophiostoma piceae	ingroup	Ascomycota	125	0	0	0	49027	0	1946	47081	0	0	0	0.0
F29908	Sporothrix schenckii	ingroup	Ascomycota	125	28	24	24	49027	4406	2521	40877	6	1214	3	0.08986884777775511
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	125	0	0	0	49027	0	1017	48010	0	0	0	0.0
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	125	28	21	21	49027	3207	5251	39607	10	944	8	0.06541293572929202
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	0	0	0	49027	0	935	48092	0	0	0	0.0
F1940652	Gomphillus americanus	ingroup	Ascomycota	125	0	0	0	49027	0	1040	47987	0	0	0	0.0
F2704026	Stictis urceolata	ingroup	Ascomycota	125	28	25	25	49027	3415	1985	42801	7	819	0	0.06965549595121055
F209281	Thelotrema lepadinum	ingroup	Ascomycota	125	28	25	25	49027	3631	4675	39764	7	942	8	0.0740612315662798
F703506	Patellaria atrata	ingroup	Ascomycota	125	0	0	0	49027	0	2247	46780	0	0	0	0.0
F669869	Lobaria immixta	ingroup	Ascomycota	125	28	24	24	49027	3223	2046	42835	5	918	0	0.06573928651559345
F52883	Peltigera leucophlebia	ingroup	Ascomycota	125	28	25	25	49027	4393	10185	33135	5	1304	5	0.0896036877638852
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	125	28	25	25	49027	3586	4023	40534	6	876	2	0.07314336997980704
F443868	Agyrium rufum	ingroup	Ascomycota	125	28	24	24	49027	3221	1686	43190	7	923	0	0.06569849266730576
F1006475	Circinaria calcarea	ingroup	Ascomycota	125	29	23	23	49027	3405	8122	36552	7	939	2	0.06945152670977217
F90408	Icmadophila ericetorum	ingroup	Ascomycota	125	28	26	26	49027	3508	1607	43123	6	781	2	0.0715524098965876
F1174673	Morchella importuna	ingroup	Ascomycota	125	28	27	27	49027	3326	945	43748	9	997	2	0.06784016970240887
