model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30986614762374826	0.6052395704588825	-0.24059056285921843	-0.2434582705475587	-0.002867707688340271	2000	0	-0.007374642839062674	0.0009148578296862466
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	interaction	0.30986614762374826	0.6052395704588825	-0.0024607011720193003	-0.0028874267222312408	-0.00042672555021194044	2000	0	-0.006239652790324587	0.005077093333124797
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30986614762374826	0.6052395704588825	0.0815731272351632	0.07888975883651854	-0.0026833683986446644	2000	0	-0.0066122217907271675	0.0006131415483031731
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30986614762374826	0.6052395704588825	-0.24207987657959906	-0.24520585545665344	-0.003125978877054375	2000	0	-0.009150101629566023	0.0008027673527721659
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_at_RSA_025	0.2650488784086919	0.6166660904694471	0.21376273586500358	0.21429675972060017	0.0005340238555965882	2000	0	-0.0008956879885525196	0.002064801818534353
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2650488784086919	0.6166660904694471	-0.24562787979268572	-0.25044793051494235	-0.004820050722256636	2000	0	-0.01201195084865211	0.000673015432579516
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	interaction	0.2650488784086919	0.6166660904694471	-0.03887921611947339	-0.031935081896423766	0.006944134223049625	2000	0	-0.0004684024064264145	0.017652616172265916
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2650488784086919	0.6166660904694471	0.21317764726899638	0.21381617255616928	0.0006385252871728975	2000	0	-0.0008160844204587454	0.0022241459764780567
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6166660904694471	-0.2696033739975981	-0.2701412126168316	-0.0005378386192335105	2000	0	-0.002198661728476851	0.0011284147973389567
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_at_RSA_025	0.2650488784086919	0.6166660904694471	0.0973804130370832	0.09767161207436	0.00029119903727679863	2000	0	-0.006156057514953597	0.006396849271087798
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2650488784086919	0.6166660904694471	-0.3050422127105028	-0.31082181668267445	-0.005779603972171643	2000	0	-0.013321937930499824	-8.707602147731619e-05
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	interaction	0.2650488784086919	0.6166660904694471	-0.021250291230106244	-0.013279017141208688	0.007971274088897556	2000	0	-3.539804037904802e-05	0.01915706573649797
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2650488784086919	0.6166660904694471	0.09706061998821204	0.097471777760015	0.0004111577718029641	2000	0	-0.006062176985356937	0.006541254217739934
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6166660904694471	-0.3181465467247096	-0.3190105362684204	-0.000863989543710808	2000	0	-0.002857131067693653	0.0009718634331999498
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_at_RSA_025	0.30986614762374826	0.6166660904694471	0.21340429587571835	0.21376000107055643	0.00035570519483807406	2000	0	-0.001037381288387907	0.0017074247000596105
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30986614762374826	0.6166660904694471	-0.20978685206607603	-0.21377863085787044	-0.003991778791794409	2000	0	-0.010198983958277905	0.0006433959859012933
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	interaction	0.30986614762374826	0.6166660904694471	-0.023232242378802285	-0.017741056415362184	0.005491185963440101	2000	0	-0.0007456070342033188	0.014432507277875758
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30986614762374826	0.6166660904694471	0.21201347102383827	0.2126979123681931	0.0006844413443548303	2000	0	-0.0007636762409170748	0.0022894323890136187
