taxon_id	species_name	study_role	lineage	candidate_proteins	TFIIB_hit_proteins	BRF1_hit_proteins	Zn_Ribbon_TF_hit_proteins	unresolved_gene_candidates
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F1095194	Colletotrichum karsti	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F145971	Colletotrichum lupini	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F5570	Cenococcum geophilum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Cenococcum	2	2	1	1	0
F574774	Glonium stellatum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Glonium	3	3	1	1	0
F5101	Amorphotheca resinae	ingroup	Ascomycota;Leotiomycetes;Helotiales;Amorphothecaceae;Amorphotheca	2	2	1	1	0
F40559	Botrytis cinerea	ingroup	Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis	3	3	1	1	0
F2656787	Venustampulla echinocandica	ingroup	Ascomycota;Leotiomycetes;Helotiales;Pleuroascaceae;Venustampulla	2	2	1	1	0
F195108	Fusarium falciforme	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F5127	Fusarium fujikuroi	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F5518	Fusarium graminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F1042133	Fusarium musae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F5507	Fusarium oxysporum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F36050	Fusarium poae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F101028	Fusarium pseudograminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F5128	Fusarium sambucinum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F117187	Fusarium verticillioides	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	2	2	1	1	0
F173216	Trichoderma aggressivum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	3	3	1	1	0
F101201	Trichoderma asperellum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F63577	Trichoderma atroviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F2034170	Trichoderma breve	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	3	3	1	1	0
F1738374	Trichoderma camerunense	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	3	3	1	1	0
F58853	Trichoderma citrinoviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F549676	Trichoderma evansii	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F398673	Trichoderma gamsii	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F65468	Trichoderma ghanense	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F5544	Trichoderma harzianum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2	2	1	1	0
F2732470	Bacidia gigantensis	ingroup	Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Bacidia	2	2	1	1	0
F209136	Lepraria neglecta	ingroup	Ascomycota;Lecanoromycetes;Lecanorales;Stereocaulaceae;Lepraria	2	2	1	1	0
F560253	Letharia lupina	ingroup	Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Letharia	9	9	1	1	0
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Claussenomyces	2	2	1	1	0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces	2	2	1	1	0
F174425	Lichina confinis	ingroup	Ascomycota;Lichinomycetes;Lichinales;Lichinaceae;Lichina	2	2	1	1	0
F318774	Phylliscum demangeonii	ingroup	Ascomycota;Lichinomycetes;Lichinales;Phylliscaceae;Phylliscum	3	3	1	1	0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota;Lichinomycetes;Lichinales;Porocyphaceae;Watsoniomyces	2	1	2	0	0
F578093	Lineolata rhizophorae	ingroup	Ascomycota;Dothideomycetes;Lineolatales;Lineolataceae;Lineolata	3	3	1	1	0
F1125753	Limtongia smithiae	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Limtongia	2	2	1	2	0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Lipomyces	2	2	1	2	0
F44089	Neoaidaea tothii	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Neoaidaea	2	2	1	2	0
F339359	Zalerion maritima	ingroup	Ascomycota;Sordariomycetes;Lulworthiales;Lulworthiaceae;Zalerion	2	2	1	1	0
F36779	Gaeumannomyces tritici	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Gaeumannomyces	2	2	1	1	0
F148304	Magnaporthiopsis poae	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthiopsis	2	2	1	1	0
