taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	40	40	40	49027	10895	707	36256	6	1151	12	0.2222244885471271
F36050	Fusarium poae	ingroup	Ascomycota	125	75	75	75	49027	22876	690	21898	13	3535	15	0.4666000367144635
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	125	120	120	120	49027	37556	1085	3507	18	6832	29	0.7660268831460216
F5128	Fusarium sambucinum	ingroup	Ascomycota	125	6	6	6	49027	1060	883	47047	1	36	0	0.021620739592469455
F117187	Fusarium verticillioides	ingroup	Ascomycota	125	100	100	100	49027	29391	11293	3305	14	4989	35	0.5994859975115753
F173216	Trichoderma aggressivum	ingroup	Ascomycota	125	119	119	119	49027	36748	1841	3551	19	6829	39	0.7495461684377995
F101201	Trichoderma asperellum	ingroup	Ascomycota	125	81	81	81	49027	24772	2499	17534	11	4183	28	0.5052726048911824
F63577	Trichoderma atroviride	ingroup	Ascomycota	125	65	65	65	49027	18126	4254	23644	9	2979	15	0.3697146470312277
F2034170	Trichoderma breve	ingroup	Ascomycota	125	122	122	122	49027	37534	1122	3309	21	6996	45	0.7655781508148571
F1738374	Trichoderma camerunense	ingroup	Ascomycota	125	32	32	32	49027	7243	1170	40058	8	543	5	0.14773492157382667
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	121	120	120	49027	37755	742	3901	20	6570	39	0.7700858710506455
F549676	Trichoderma evansii	ingroup	Ascomycota	125	7	7	7	49027	1355	1566	46008	4	94	0	0.027637832214901993
F398673	Trichoderma gamsii	ingroup	Ascomycota	125	113	113	113	49027	35534	3093	3755	21	6584	40	0.7247843025271788
F65468	Trichoderma ghanense	ingroup	Ascomycota	125	5	5	5	49027	910	1378	46612	2	125	0	0.018561200970893588
F5544	Trichoderma harzianum	ingroup	Ascomycota	125	119	119	119	49027	37401	657	4313	20	6588	48	0.7628653599037265
F2732470	Bacidia gigantensis	ingroup	Ascomycota	125	0	0	0	49027	0	3977	45050	0	0	0	0.0
F209136	Lepraria neglecta	ingroup	Ascomycota	125	122	120	120	49027	37273	1264	3295	13	7151	31	0.7602545536133151
F560253	Letharia lupina	ingroup	Ascomycota	125	120	118	118	49027	36328	755	5466	16	6428	34	0.7409794602973871
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	125	0	0	0	49027	0	2444	46583	0	0	0	0.0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	0	0	0	49027	0	1154	47873	0	0	0	0.0
F174425	Lichina confinis	ingroup	Ascomycota	125	0	0	0	49027	0	2778	46249	0	0	0	0.0
F318774	Phylliscum demangeonii	ingroup	Ascomycota	125	0	0	0	49027	0	4136	44891	0	0	0	0.0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	125	0	0	0	49027	0	4208	44819	0	0	0	0.0
F578093	Lineolata rhizophorae	ingroup	Ascomycota	125	120	120	120	49027	37275	2019	3299	19	6377	38	0.7602953474616028
F1125753	Limtongia smithiae	ingroup	Ascomycota	125	0	0	0	49027	0	2279	46748	0	0	0	0.0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	125	0	0	0	49027	0	2352	46675	0	0	0	0.0
F44089	Neoaidaea tothii	ingroup	Ascomycota	125	0	0	0	49027	0	1600	47427	0	0	0	0.0
F339359	Zalerion maritima	ingroup	Ascomycota	125	117	117	117	49027	35297	2358	4853	17	6467	35	0.7199502315050891
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	125	120	120	120	49027	36968	2129	3307	18	6571	34	0.7540334917494442
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	125	96	95	95	49027	27800	10547	5677	13	4959	31	0.5670344911987273
F148305	Pyricularia grisea	ingroup	Ascomycota	125	118	118	118	49027	37261	1264	4190	18	6260	34	0.7600097905235891
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	125	0	0	0	49027	0	1660	47367	0	0	0	0.0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	125	0	0	0	49027	0	1726	47301	0	0	0	0.0
F563466	Scedosporium apiospermum	ingroup	Ascomycota	125	95	93	93	49027	29016	11350	3644	15	4948	54	0.5918371509576356
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	123	123	123	49027	38659	614	3297	20	6395	42	0.7885246904766762
F122368	Cercospora beticola	ingroup	Ascomycota	125	114	114	114	49027	35616	788	6294	20	6273	36	0.7264568503069737
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	109	108	108	49027	32583	1298	9162	16	5943	25	0.6645929793787096
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	122	120	120	49027	37154	1078	3923	18	6822	32	0.7578273196401982
F2601811	Elsinoe batatas	ingroup	Ascomycota	125	120	119	119	49027	37627	2176	2294	15	6887	28	0.7674750647602342
