split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000100000000000000000000000000840000000000000000000	5	0	5	473	562	478	93.0	98.0	0.0433527061
0x400800050010000000000482000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000000032000284000004000800029000000000100000000000000001080000000000100600014010000000000000400840004000000002800002	978	473	505	0	62	505	98.7	97.0	0.0966011496
0x1000000000000000000000000000004000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.7	100.0	0.1342725675
0x8000000000000000000000000000000000001000000000000000000000000000004000000000000000000000000000000000000000000000	3	0	3	473	564	476	92.3	97.0	0.0467162936
0x400800050010000000000482000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000008032000284000004000800029000000000101000000000000001080000000000104600014010000000000000400840004000000002800002	975	473	502	0	65	502	81.6	59.0	0.0344294651
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000	2	0	2	473	565	475	76.8	100.0	0.0216756729
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000010000000	3	0	3	473	564	476	99.1	100.0	0.2851435014
0x2000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000010000000	4	0	4	473	563	477	100.0	100.0	0.8189523979
0x80000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	74.1	74.0	0.0077730221
0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	91.6	100.0	0.1640367057
0x2000000000000000000000008000000000000000000000000004000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000001000000000000000000000000000000000000400000000000000000000000000000000000000010000000	7	0	7	473	560	480	96.6	96.0	0.1905812449
0x140000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.8	100.0	0.1707265237
0x2000000000000000000000008000000000000000000000000004000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000001000000000000140000000000000000000000400000000000000000000000000000000000000010000000	9	0	9	473	558	482	62.2	39.0	0.0382683112
0x400800250010000000000482000000800000100000440000000000a024000400000000055500404000000020080009080000000000000000090000000014800005200000008032000284000004000800029001000000101000140000000001080000000000504600014010000000000000400840004000000012800002	966	473	493	0	74	493	90.8	51.0	0.0864480011
0x400800250010000000000482000000800000100000440000000000a024000400000000055500404000000020080009080000000000000000090000000014800005200000008032000284000004000800029001000000101000140000000201080000000000504600014010000000000000400840004000000012800002	965	473	492	0	75	492	97.9	98.0	0.1249117509
