taxon_id	species_name	study_role	representative_proteins	proteins_with_model	proteins_without_catalog_model
F148304	Magnaporthiopsis poae	ingroup	12163	10866	1297
F148305	Pyricularia grisea	ingroup	12441	132	12309
F148313	Discula destructiva	ingroup	10373	3	10370
F1498855	Amoeboaphelidium occidentale	ingroup	7496	0	7496
F1500003	Paraphysoderma sedebokerense	ingroup	10850	1	10849
F1504668	Rhizodiscina lignyota	ingroup	12801	126	12675
F1506992	Thozetella sp. PMI_491	ingroup	23280	4	23276
F1507870	Cryoendolithus antarcticus	ingroup	18781	18073	708
F1507873	Rachicladosporium monterosium	ingroup	7772	1	7771
F150792	Hysterangium stoloniferum	ingroup	15018	3	15015
F1520584	Dispira parvispora	ingroup	6829	96	6733
F1522189	Ceraceosorus guamensis	ingroup	7822	7354	468
F152956	Russula decolorans	ingroup	12062	6	12056
F1540922	Wallemia hederae	ingroup	4115	3816	299
F1542792	Coniocarpon cinnabarinum	ingroup	7721	1	7720
F1555241	Caulochytrium protostelioides	ingroup	6168	5703	465
F156515	Tulasnella calospora	ingroup	19545	19242	303
F1569628	Jaminaea rosea	ingroup	6858	6442	416
F157183	Tilletia laevis	ingroup	10180	3562	6618
F158046	Phaeomoniella chlamydospora	ingroup	6907	6571	336
F1590129	Xylographa bjoerkii	ingroup	9650	6	9644
F1604274	Cladochytrium tenue	ingroup	15890	1	15889
F162425	Aspergillus nidulans	ingroup	10453	157	10296
F164576	Chaenotheca gracillima	ingroup	7656	3	7653
F164912	Astathelohania contejeani	ingroup	2865	0	2865
F1658444	Neoarthrinium moseri	ingroup	13929	61	13868
F1670608	Glutinoglossum americanum	ingroup	7646	119	7527
F1671311	Colletotrichum abscissum	ingroup	17223	445	16778
F1673888	Violaceomyces palustris	ingroup	8058	1	8057
F1682393	Microdochium trichocladiopsis	ingroup	16023	128	15895
F1684307	Microstroma glucosiphilum	ingroup	6681	6292	389
F1690604	Lithohypha guttulata	ingroup	8740	30	8710
F1690608	Saxophila tyrrhenica	ingroup	11205	128	11077
F169141	Pseudocyphellaria aurata	ingroup	9958	4	9954
F170000	Phakopsora pachyrhizi	ingroup	19617	155	19462
F170446	Ceratobasidium sp. AG-Ba	ingroup	29016	6	29010
F1708541	Wallemia mellicola	ingroup	5277	129	5148
F1708542	Wallemia canadensis	ingroup	5087	17	5070
F1712513	Syncephalis pseudoplumigaleata	ingroup	6118	6052	66
F173216	Trichoderma aggressivum	ingroup	10998	257	10741
F1738374	Trichoderma camerunense	ingroup	13063	583	12480
F174425	Lichina confinis	ingroup	6269	2	6267
F174680	Glugoides intestinalis	ingroup	2331	0	2331
F174688	Gurleya vavrai	ingroup	3537	0	3537
F1750568	Cantharellus anzutake	ingroup	16954	0	16954
F1754190	Neocallimastix californiae	ingroup	20200	45	20155
F1754191	Piromyces finnis	ingroup	10959	10263	696
F1754192	Anaeromyces robustus	ingroup	12823	12006	817
F1759441	Athelia psychrophila	ingroup	32847	30383	2464
F177197	Coniochaeta ligniaria	ingroup	13658	13284	374
F177199	Coniochaeta pulveracea	ingroup	9535	9159	376
F1774096	Dinochytrium kinnereticum	ingroup	10332	1	10331
F1806994	Synchytrium microbalum	ingroup	6304	5893	411
F1810926	Aspergillus stella-maris	ingroup	12536	5	12531
F1810928	Aspergillus undulatus	ingroup	11798	2	11796
F181123	Austropuccinia psidii	ingroup	133973	122	133851
F1814901	Dactylella cylindrospora	ingroup	10528	8	10520
F182096	Aspergillus chevalieri	ingroup	10329	125	10204
F1825666	Phyllachora maydis	ingroup	8654	108	8546
F183962	Sporobolomyces salmoneus	ingroup	7657	5	7652
F1851185	Syncephalis plumigaleata	ingroup	8032	5	8027
F1851187	Syncephalis fuscata	ingroup	8844	6	8838
F1858805	Dacryopinax primogenitus	ingroup	10237	126	10111
F1859096	Cryptococcus deuterogattii	ingroup	6408	2921	3487
F1859121	Cryptococcus tetragattii	ingroup	6646	156	6490
F1859122	Cryptococcus decagattii	ingroup	6557	124	6433
F1882483	Testicularia cyperi	ingroup	7069	6582	487
F1890679	Cryptotrichosporon argae	ingroup	7058	3	7055
F1897645	Haplosporangium bisporale	ingroup	13339	3	13336
F1904413	Suillus clintonianus	ingroup	15528	13	15515
F1907219	Piptocephalis cylindrospora	ingroup	4301	4241	60
F1912936	Suillus discolor	ingroup	16509	131	16378
F1912939	Suillus fuscotomentosus	ingroup	18510	123	18387
F1938712	Atractiella rhizophila	ingroup	17590	1	17589
F1938954	Bifiguratus adelaidae	ingroup	5719	5324	395
F1940652	Gomphillus americanus	ingroup	8300	120	8180
F195108	Fusarium falciforme	ingroup	14574	71	14503
F199306	Coccidioides posadasii	ingroup	8299	0	8299
F2019550	Ceratocystis lukuohia	ingroup	7505	4	7501
F2020955	Sanchytrium tribonematis	ingroup	9368	0	9368
F2020962	Malassezia vespertilionis	ingroup	3964	1747	2217
F2024903	Zalaria obscura	ingroup	7859	5	7854
F202697	Jaapia argillacea	ingroup	16375	16028	347
F202698	Punctularia strigosozonata	ingroup	11537	22	11515
F2034170	Trichoderma breve	ingroup	11590	640	10950
F203533	Classicula fluitans	ingroup	13264	0	13264
F2035830	Berkeleyomyces rouxiae	ingroup	8286	5	8281
F203908	Melampsora laricis-populina	ingroup	16255	128	16127
F2082308	Sphaceloma murrayae	ingroup	8256	7940	316
F208348	Puccinia triticina	ingroup	12736	3256	9480
F208960	Fomitiporia mediterranea	ingroup	11330	3	11327
F209136	Lepraria neglecta	ingroup	10853	128	10725
F209281	Thelotrema lepadinum	ingroup	11395	4	11391
F2109901	Amoeboradix gromovi	ingroup	7220	0	7220
F215250	Acaromyces ingoldii	ingroup	8026	7588	438
F215637	Dimargaris cristalligena	ingroup	7102	1611	5491
F223192	Phaeoacremonium minimum	ingroup	8834	124	8710
F223376	Phialemonium thermophilum	ingroup	10423	4	10419
F223409	Ptychographa xylographoides	ingroup	7741	4	7737
F223818	Malassezia japonica	ingroup	4315	118	4197
F226899	Leptographium clavigerum	ingroup	8311	116	8195
F2268995	Blastobotrys vanleenenianus	ingroup	6287	0	6287
F2282107	Pyrrhoderma noxium	ingroup	9930	6061	3869
F2283408	Colletotrichum jinshuiense	ingroup	13128	34	13094
F230603	Saccharomyces uvarum	ingroup	5532	13	5519
F231932	Phanerochaete carnosa	ingroup	13918	122	13796
F2340872	Endogone sp. FLAS-F59071	ingroup	9218	2	9216
F235537	Amanita thiersii	ingroup	10346	10070	276
F236234	Diplodia corticola	ingroup	10831	10378	453
F241526	Candida africana	ingroup	2850	148	2702
F245174	Wallemia ichthyophaga	ingroup	4863	124	4739
F2486360	Exophiala viscosa	ingroup	11345	68	11277
F253628	Verruconis gallopava	ingroup	9818	9517	301
F2545709	Schizosaccharomyces osmophilus	ingroup	5098	120	4978
F2562287	Entrophospora sp. SA101	ingroup	14662	2	14660
F257869	Holtermanniella festucosa	ingroup	7097	0	7097
F2600213	Serendipita sp. 400	ingroup	12384	1	12383
F2600215	Serendipita sp. 405	ingroup	12042	2	12040
F2600216	Serendipita sp. 411	ingroup	12019	1	12018
F2601811	Elsinoe batatas	ingroup	9403	135	9268
F2606893	Magnusiomyces paraingens	ingroup	6475	5945	530
F2609844	Podospora pseudoanserina	ingroup	11140	3	11137
F263815	Pneumocystis murina	ingroup	3623	241	3382
F264124	Botryobasidium botryosum	ingroup	16502	16159	343
F264483	Phaffia rhodozyma	ingroup	6380	23	6357
F2650707	Coemansia brasiliensis	ingroup	6212	94	6118
F265104	Trichoglossum hirsutum	ingroup	9802	2	9800
F2656787	Venustampulla echinocandica	ingroup	10707	10281	426
F269621	Microbotryum intermedium	ingroup	8142	7652	490
F2704026	Stictis urceolata	ingroup	10151	4	10147
F2725673	Gonapodya sp. JEL0774	ingroup	10034	2	10032
F27291	Saccharomyces paradoxus	ingroup	5538	10	5528
F27292	Saccharomyces pastorianus	ingroup	10760	65	10695
F2732470	Bacidia gigantensis	ingroup	9228	2	9226
F273283	Sarea resinae	ingroup	7422	4	7418
F27342	Schizopora paradoxa	ingroup	17088	16726	362
F2735257	Borealophlyctis nickersoniae	ingroup	11278	4	11274
F27376	Acaulospora colombiana	ingroup	14505	1	14504
F2748771	Athelia sp. TMB	ingroup	22782	35	22747
F2754530	Protomyces lactucae-debilis	ingroup	6722	6561	161
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	27675	34	27641
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	6095	0	6095
F2781224	Neodothiora populina	ingroup	7339	14	7325
F278681	Olpidium bornovanus	ingroup	8460	54	8406
F279322	Cutaneotrichosporon cavernicola	ingroup	7753	125	7628
F2796175	Watsoniomyces obsoletus	ingroup	9066	3	9063
F280036	Sporisorium graminicola	ingroup	6591	6110	481
F2813651	Orbilia oligospora	ingroup	11479	152	11327
F281847	Rozella allomycis	ingroup	6350	5893	457
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	14599	2	14597
F2831993	Plicatura crispa	ingroup	13616	2704	10912
F2834505	Sertulicium niveocremeum	ingroup	13069	12777	292
F28583	Allomyces macrogynus	ingroup	18774	18095	679
F2871812	Acarospora aff. strigata	ingroup	7888	7	7881
F2878321	Jaminaea pallidilutea	ingroup	6334	4	6330
F288795	Microbotryum lychnidis-dioicae	ingroup	7364	454	6910
F289078	Microbotryum saponariae	ingroup	10587	8929	1658
F291195	Tubulinosema ratisbonensis	ingroup	3013	2024	989
F2918522	Lignoscripta atroalba	ingroup	7945	6	7939
F293227	Cyphellophora europaea	ingroup	11094	127	10967
F2939399	Claussenomyces sp. TS43310	ingroup	8497	2	8495
F2939400	Chrysothrix sp. TS-e1954	ingroup	7632	2	7630
F2939403	Sclerophora amabilis	ingroup	7507	4	7503
F2939404	Thelocarpon superellum	ingroup	6249	4	6245
F2939405	Vezdaea aestivalis	ingroup	6893	5	6888
F2939406	Bogoriella megaspora	ingroup	10889	8	10881
F2939408	Vezdaea acicularis	ingroup	6608	4	6604
F2977754	Pyrenula ochraceoflavens	ingroup	9541	4	9537
F29833	Hanseniaspora uvarum	ingroup	4004	669	3335
F29883	Laccaria bicolor	ingroup	18213	169	18044
F29889	Calocera cornea	ingroup	13152	12886	266
F29898	Rhodotorula graminis	ingroup	7222	6924	298
F29899	Cystobasidium minutum	ingroup	7806	1	7805
F29902	Mrakia frigida	ingroup	9508	1	9507
F29908	Sporothrix schenckii	ingroup	10277	40	10237
F3038894	Phenoliferia sp. Uapishka_3	ingroup	9530	4	9526
F3039483	Ordospora pajunii	ingroup	1826	0	1826
F304332	Ramicandelaber brevisporus	ingroup	9222	0	9222
F3058885	Dirinaria sp. TL-2023a	ingroup	8539	4	8535
F3060298	Pyrenula sp. 1 TL-2023	ingroup	9330	3	9327
F3075319	Sorochytrium milnesiophthora	ingroup	8697	4	8693
F3108450	Neocallimastix sp. 'constans'	ingroup	23663	37	23626
F315204	Geoglossum umbratile	ingroup	9544	2	9542
F318760	Hypocenomyce scalaris	ingroup	9144	7	9137
F318763	Pleopsidium flavum	ingroup	10810	8	10802
F318774	Phylliscum demangeonii	ingroup	7744	3	7741
F326681	Hypoxylon trugodes	ingroup	11996	6	11990
F326684	Xylaria bambusicola	ingroup	12119	6	12113
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	9143	86	9057
F3342545	Pseudogymnoascus australis	ingroup	10753	60	10693
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	8329	3	8326
F339359	Zalerion maritima	ingroup	10669	122	10547
F342668	Pseudogymnoascus verrucosus	ingroup	10685	10315	370
F34349	Mixia osmundae	ingroup	6838	96	6742
F34406	Colletotrichum destructivum	ingroup	15627	325	15302
F34480	Basidiobolus ranarum	ingroup	18042	45	17997
F34485	Entomophthora muscae	ingroup	38917	0	38917
F34488	Conidiobolus coronatus	ingroup	10568	10427	141
F348617	Massospora cicadina	ingroup	5453	0	5453
F36035	Saccharomycodes ludwigii	ingroup	5026	1919	3107
F36050	Fusarium poae	ingroup	13851	5110	8741
F364730	Trypethelium subeluteriae	ingroup	8904	32	8872
F364733	Endocarpon pusillum	ingroup	9238	114	9124
F36779	Gaeumannomyces tritici	ingroup	14458	156	14302
F370292	Thelephora ganbajun	ingroup	12640	5	12635
F37769	Cryptococcus gattii	ingroup	6565	236	6329
F378194	Epithele typhae	ingroup	13761	8	13753
F382532	Globomyces pollinis-pini	ingroup	11534	1	11533
F383834	Lipomyces doorenjongii	ingroup	7319	2	7317
F38799	Neolentinus lepideus	ingroup	13155	12881	274
F390894	Lophium mytilinum	ingroup	15150	8782	6368
F393283	Pestalotiopsis fici	ingroup	15413	143	15270
F39416	Tuber melanosporum	ingroup	7420	119	7301
F398673	Trichoderma gamsii	ingroup	11171	10751	420
F400354	Loxospora ochrophaea	ingroup	8117	4	8113
F401625	Ceraceosorus bombacis	ingroup	8022	7459	563
F40410	Cryptococcus deneoformans	ingroup	6632	688	5944
F40492	Stereum hirsutum	ingroup	14062	16	14046
F40559	Botrytis cinerea	ingroup	11698	11132	566
F41759	Aspergillus multicolor	ingroup	12813	4	12809
F41833	Umbelopsis ramanniana	ingroup	9915	121	9794
F418498	Phenoliferia psychrophenolica	ingroup	11523	13	11510
F41956	Amanita muscaria	ingroup	15791	401	15390
F41990	Pleurostoma richardsiae	ingroup	12540	128	12412
F42068	Pneumocystis jirovecii	ingroup	3761	3653	108
F423460	Basidiobolus meristosporus	ingroup	16110	15794	316
F42374	Candida dubliniensis	ingroup	5859	173	5686
F43433	Tricharina praecox	ingroup	10412	3	10409
F43959	Saccharomycopsis crataegensis	ingroup	6419	123	6296
F44089	Neoaidaea tothii	ingroup	5620	0	5620
F443868	Agyrium rufum	ingroup	8330	2	8328
F44442	Umbelopsis vinacea	ingroup	8240	1	8239
F44565	Sterigmatomyces hyphaenes	ingroup	7746	1	7745
F45228	Heterogastridium pycnidioideum	ingroup	7658	0	7658
F456999	Rhizoctonia solani	ingroup	12301	9	12292
F460848	Candelaria pacifica	ingroup	8063	5	8058
F460854	Candelina submexicana	ingroup	8190	5	8185
F462254	Aplosporella prunicola	ingroup	12531	12191	340
F467971	Sistotremastrum suecicum	ingroup	13651	13350	301
F470096	Pseudovirgaria hyperparasitica	ingroup	11218	1547	9671
F474922	Colletotrichum gloeosporioides	ingroup	15368	131	15237
F4754	Pneumocystis carinii	ingroup	3646	3536	110
F48021	Artomyces pyxidatus	ingroup	15125	6	15119
F4808	Blastocladiella emersonii	ingroup	10031	0	10031
F48095	Alternaria dauci	ingroup	10026	11	10015
F4837	Phycomyces blakesleeanus	ingroup	16542	16307	235
F4840	Rhizomucor pusillus	ingroup	10974	6	10968
F48563	Suillus bovinus	ingroup	13537	11	13526
F48565	Suillus brevipes	ingroup	21442	11	21431
F48578	Suillus paluster	ingroup	16585	12	16573
F48586	Suillus subalutaceus	ingroup	17080	14	17066
F48587	Suillus subaureus	ingroup	15739	120	15619
F48593	Suillus weaverae	ingroup	15797	12	15785
F4866	Dipsacomyces acuminosporus	ingroup	6346	2	6344
F48691	Neolecta irregularis	ingroup	5531	5370	161
F4874	Gigaspora margarita	ingroup	26134	102	26032
F4896	Schizosaccharomyces pombe	ingroup	5124	120	5004
F4897	Schizosaccharomyces japonicus	ingroup	4878	119	4759
F4903	Williopsis jadinii	ingroup	6032	5903	129
F4909	Pichia kudriavzevii	ingroup	5139	4935	204
F4918	Pachysolen tannophilus	ingroup	5664	5475	189
F4927	Hansenula anomala	ingroup	6417	6270	147
F4932	Saccharomyces cerevisiae	ingroup	6021	139	5882
F500713	Sporobolomyces koalae	ingroup	6590	6	6584
F5011	Taphrina deformans	ingroup	4663	114	4549
F5022	Plenodomus lingam	ingroup	11837	70	11767
F50376	Venturia effusa	ingroup	10820	10441	379
F5059	Aspergillus flavus	ingroup	13707	138	13569
F5062	Aspergillus oryzae	ingroup	12074	131	11943
F50956	Geosiphon pyriformis	ingroup	23936	3	23933
F50990	Rickenella mellea	ingroup	17134	16791	343
F5101	Amorphotheca resinae	ingroup	9642	9357	285
F5116	Cryphonectria parasitica	ingroup	11588	118	11470
F5127	Fusarium fujikuroi	ingroup	14810	154	14656
F5128	Fusarium sambucinum	ingroup	13017	150	12867
F5147	Sordaria macrospora	ingroup	10309	94	10215
F51930	Tortispora caseinolytica	ingroup	4656	4533	123
F5207	Cryptococcus neoformans	ingroup	6975	170	6805
F5208	Cryptococcus depauperatus	ingroup	6341	2600	3741
F5210	Filobasidium floriforme	ingroup	8301	42	8259
F5219	Exidia glandulosa	ingroup	26682	26305	377
F5281	Tilletiaria anomala	ingroup	6805	6389	416
F5286	Rhodotorula toruloides	ingroup	8140	217	7923
F52883	Peltigera leucophlebia	ingroup	8197	2	8195
F5364	Heliocybe sulcata	ingroup	12569	12292	277
F5365	Lentinus tigrinus	ingroup	15364	7672	7692
F5414	Erythrobasidium hasegawianum	ingroup	9521	0	9521
F54195	Ascoidea rubescens	ingroup	6785	6471	314
F5454	Ascochyta rabiei	ingroup	11525	5593	5932
F5476	Candida albicans	ingroup	6030	3327	2703
F5479	Candida maltosa	ingroup	5431	66	5365
F5482	Candida tropicalis	ingroup	6254	139	6115
F5486	Candida viswanathii	ingroup	10841	10462	379
F549676	Trichoderma evansii	ingroup	11879	138	11741
F5507	Fusarium oxysporum	ingroup	16197	77	16120
F5518	Fusarium graminearum	ingroup	13312	203	13109
F552467	Cryptococcus bacillisporus	ingroup	6694	145	6549
F5544	Trichoderma harzianum	ingroup	14064	13622	442
F5570	Cenococcum geophilum	ingroup	14695	12	14683
F5580	Aureobasidium pullulans	ingroup	11844	11530	314
F560253	Letharia lupina	ingroup	11013	125	10888
F5606	Saitoella complicata	ingroup	7023	1756	5267
F5619	Cryptococcus wingfieldii	ingroup	8094	7773	321
F5630	Laetiporus sulphureus	ingroup	13739	13441	298
F563466	Scedosporium apiospermum	ingroup	8376	7967	409
F56409	Hanseniaspora vineae	ingroup	4631	2	4629
F56493	Thelephora terrestris	ingroup	13337	123	13214
F574656	Recurvomyces mirabilis	ingroup	10917	117	10800
F574677	Sympodiomycopsis kandeliae	ingroup	7074	3	7071
F574774	Glonium stellatum	ingroup	14277	130	14147
F574789	Mytilinidion resinicola	ingroup	16792	174	16618
F578093	Lineolata rhizophorae	ingroup	10230	9920	310
F58291	Rhizopus microsporus	ingroup	10888	10682	206
F58853	Trichoderma citrinoviride	ingroup	9734	9381	353
F588596	Rhizophagus irregularis	ingroup	30147	11830	18317
F58919	Tilletiopsis washingtonensis	ingroup	7005	6614	391
F599730	Waltiozyma pijperi	ingroup	10149	121	10028
F599839	Fibroporia radiculosa	ingroup	9184	118	9066
F60197	Cronartium quercuum	ingroup	13765	122	13643
F6035	Encephalitozoon cuniculi	ingroup	2122	93	2029
F6039	Vairimorpha necatrix	ingroup	3079	59	3020
F604196	Linnemannia exigua	ingroup	12120	118	12002
F610337	Naganishia cerealis	ingroup	9284	2	9282
F61273	Ophiostoma piceae	ingroup	8884	122	8762
F61395	Linderina pennispora	ingroup	9350	9131	219
F61397	Kickxella alabastrina	ingroup	7284	0	7284
F61424	Furculomyces boomerangus	ingroup	7338	6950	388
F63146	Calocera viscosa	ingroup	12357	12100	257
F63378	Exobasidium rhododendri	ingroup	6977	2	6975
F63402	Nannizzia gypsea	ingroup	8921	135	8786
F63577	Trichoderma atroviride	ingroup	13127	218	12909
F64504	Allomyces arbusculus	ingroup	8889	201	8688
F64505	Allomyces javanicus	ingroup	9981	192	9789
F64508	Blastocladiella britannica	ingroup	9427	1	9426
F64517	Rhizophlyctis rosea	ingroup	12571	5	12566
F64525	Podila minutissima	ingroup	11885	17	11868
F64526	Umbelopsis nana	ingroup	8971	1	8970
F64571	Lobosporangium transversale	ingroup	11818	11349	469
F64632	Mycotypha africana	ingroup	10914	7	10907
F65468	Trichoderma ghanense	ingroup	10428	93	10335
F655981	Pseudogymnoascus destructans	ingroup	9405	220	9185
F65672	Serendipita indica	ingroup	9435	43	9392
F658196	Glomus cerebriforme	ingroup	21154	19937	1217
F669869	Lobaria immixta	ingroup	12073	5	12068
F67723	Amanita phalloides	ingroup	8742	4	8738
F68786	Sphaerobolus stellatus	ingroup	35177	25007	10170
F69979	Phyllozyma linderae	ingroup	9061	4	9057
F703497	Microthyrium microscopicum	ingroup	12493	126	12367
F703506	Patellaria atrata	ingroup	9779	126	9653
F703511	Trichodelitschia bisporula	ingroup	10178	128	10050
F70536	Edhazardia aedis	ingroup	4190	84	4106
F705562	Polychaeton citri	ingroup	10576	129	10447
F706196	Saccharomyces arboricola	ingroup	3659	104	3555
F708070	Mucor velutinosus	ingroup	13295	126	13169
F710243	Colletotrichum fioriniae	ingroup	11830	1369	10461
F71933	Amanita rubescens	ingroup	16076	4	16072
F72144	Remersonia thermophila	ingroup	7595	4	7591
F73868	Piromyces sp. E2	ingroup	14612	21	14591
F741139	Lepidopterella palustris	ingroup	13860	129	13731
F746128	Aspergillus fumigatus	ingroup	9823	98	9725
F76012	Neoconidiobolus thromboides	ingroup	8866	1	8865
F76775	Malassezia restricta	ingroup	4406	1052	3354
F76777	Malassezia sympodialis	ingroup	3318	63	3255
F77020	Malassezia pachydermatis	ingroup	4202	4013	189
F78915	Thamnocephalis sphaerospora	ingroup	6857	6715	142
F78921	Tieghemiomyces parasiticus	ingroup	12150	23	12127
F796027	Sugiyamaella lignohabitans	ingroup	5128	4976	152
F796604	Microbotryum silenes-dioicae	ingroup	13241	12135	1106
F80663	Piloderma croceum	ingroup	21519	21143	376
