taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F3038894	Phenoliferia sp. Uapishka_3	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia	28	28	0	15	13	1.0	1.0	28	28	1	1
F106004	Leucosporidium creatinivorum	ingroup	Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium	8	8	0	2	6	1.0	1.0	8	8	1	1
F223818	Malassezia japonica	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	8	8	0	1	7	1.0	1.0	8	8	1	1
F77020	Malassezia pachydermatis	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	6	6	0	0	6	1.0	1.0	6	6	1	1
F76775	Malassezia restricta	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	34	32	2	8	24	0.9411764705882353	0.9230769230769231	34	32	1	1
F76777	Malassezia sympodialis	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	26	26	0	9	17	1.0	1.0	26	26	1	1
F2020962	Malassezia vespertilionis	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	36	33	3	13	20	0.9166666666666666	0.8695652173913043	36	33	1	1
F269621	Microbotryum intermedium	ingroup	Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	8	8	0	2	6	1.0	1.0	8	8	1	1
F288795	Microbotryum lychnidis-dioicae	ingroup	Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	8	8	0	4	4	1.0	1.0	8	8	1	1
F289078	Microbotryum saponariae	ingroup	Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	9	9	0	2	7	1.0	1.0	9	9	1	1
F796604	Microbotryum silenes-dioicae	ingroup	Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	6	6	0	4	2	1.0	1.0	6	6	1	1
F2878321	Jaminaea pallidilutea	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Jaminaea	28	26	2	6	20	0.9285714285714286	0.9090909090909091	28	26	1	1
F1569628	Jaminaea rosea	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Jaminaea	8	8	0	2	6	1.0	1.0	8	8	1	1
F1684307	Microstroma glucosiphilum	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Microstromataceae;Microstroma	8	8	0	2	6	1.0	1.0	8	8	1	1
F1463510	Parajaminaea phylloscopi	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Parajaminaea	28	27	1	8	19	0.9642857142857143	0.95	28	27	1	1
F574677	Sympodiomycopsis kandeliae	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Sympodiomycopsis	28	28	0	6	22	1.0	1.0	28	28	1	1
F34349	Mixia osmundae	ingroup	Basidiomycota;Mixiomycetes;Mixiales;Mixiaceae;Mixia	17	17	0	8	9	1.0	1.0	17	17	1	1
