taxon_id	species_name	study_role	lineage_group	dataset	selection_reason	broad_markers	broad_complete_percent	broad_single_copy_percent	broad_duplicated_percent	broad_fragmented_percent	broad_missing_percent	lineage_qc_status	lineage_markers	lineage_complete	lineage_single_copy	lineage_duplicated	lineage_fragmented	lineage_missing	lineage_complete_percent	lineage_single_copy_percent	lineage_duplicated_percent	lineage_fragmented_percent	lineage_missing_percent
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	74.4	72.8	1.6	4.8	20.8	audited_lineage_panel	2557	1723	1718	5	147	687	67.38365271802894	67.18811106765742	0.19554165037152912	5.748924520922957	26.867422761048104
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2547	2541	6	4	6	99.60891669925694	99.3742667188111	0.23464998044583496	0.15643332029722332	0.23464998044583496
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	99.2	0.0	0.0	0.8	audited_lineage_panel	2557	2509	2499	10	28	20	98.12280015643331	97.73171685569027	0.39108330074305825	1.095033242080563	0.7821666014861165
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	98.4	96.0	2.4	0.0	1.6	audited_lineage_panel	2557	2494	2414	80	38	25	97.53617520531873	94.40750879937427	3.128666405944466	1.4861165428236214	0.9777082518576456
F164576	Chaenotheca gracillima	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	98.4	0.8	0.0	0.8	audited_lineage_panel	2557	2461	2457	4	30	66	96.24560031286664	96.08916699256942	0.15643332029722332	1.173249902229175	2.5811497849041847
F2939403	Sclerophora amabilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.8	96.8	0.0	1.6	1.6	audited_lineage_panel	2557	2428	2420	8	40	89	94.95502542041454	94.64215877982011	0.31286664059444663	1.564333202972233	3.4806413766132187
F5116	Cryphonectria parasitica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	90.4	89.6	0.8	1.6	8.0	audited_lineage_panel	2557	2326	2321	5	61	170	90.96597575283535	90.77043410246382	0.19554165037152912	2.3856081345326556	6.648416112631991
F1214568	Diaporthe amygdali	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	99.2	0.8	0.0	0.0	audited_lineage_panel	2557	2527	2521	6	1	29	98.82675009777083	98.59210011732499	0.23464998044583496	0.03910833007430583	1.1341415721548689
F148313	Discula destructiva	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	96.8	2.4	0.0	0.8	audited_lineage_panel	2557	2506	2255	251	6	45	98.0054751662104	88.18928431755964	9.816190848650763	0.23464998044583496	1.7598748533437623
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	1888	1848	40	70	599	73.83652718028941	72.27219397731717	1.564333202972233	2.737583105201408	23.42588971450919
