taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F101201	Trichoderma asperellum	ingroup	Ascomycota	121	121	0	0	0	0
F63577	Trichoderma atroviride	ingroup	Ascomycota	117	117	0	0	0	0
F2034170	Trichoderma breve	ingroup	Ascomycota	124	124	0	0	0	0
F1738374	Trichoderma camerunense	ingroup	Ascomycota	124	124	0	0	0	0
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	125	0	0	0	0
F549676	Trichoderma evansii	ingroup	Ascomycota	123	123	0	0	0	0
F398673	Trichoderma gamsii	ingroup	Ascomycota	117	117	0	0	0	0
F65468	Trichoderma ghanense	ingroup	Ascomycota	122	122	0	0	0	0
F5544	Trichoderma harzianum	ingroup	Ascomycota	124	124	0	0	0	0
F2732470	Bacidia gigantensis	ingroup	Ascomycota	117	117	0	0	0	0
F209136	Lepraria neglecta	ingroup	Ascomycota	124	124	0	0	0	0
F560253	Letharia lupina	ingroup	Ascomycota	125	125	0	0	0	0
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	120	120	0	0	0	0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	125	0	0	0	0
F174425	Lichina confinis	ingroup	Ascomycota	119	119	0	0	0	0
F318774	Phylliscum demangeonii	ingroup	Ascomycota	121	121	0	0	0	0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	113	113	0	0	0	0
F578093	Lineolata rhizophorae	ingroup	Ascomycota	122	122	0	0	0	0
F1125753	Limtongia smithiae	ingroup	Ascomycota	123	123	0	0	0	0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	123	123	0	0	0	0
F44089	Neoaidaea tothii	ingroup	Ascomycota	124	124	0	0	0	0
F339359	Zalerion maritima	ingroup	Ascomycota	122	122	0	0	0	0
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	122	122	0	0	0	0
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	103	103	0	0	0	0
F148305	Pyricularia grisea	ingroup	Ascomycota	122	122	0	0	0	0
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	124	124	0	0	0	0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	123	123	0	0	0	0
F563466	Scedosporium apiospermum	ingroup	Ascomycota	101	101	0	0	0	0
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	125	0	0	0	0
F122368	Cercospora beticola	ingroup	Ascomycota	125	125	0	0	0	0
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	125	0	0	0	0
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	125	0	0	0	0
F2601811	Elsinoe batatas	ingroup	Ascomycota	121	121	0	0	0	0
F147570	Myriangium duriaei	ingroup	Ascomycota	125	125	0	0	0	0
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	125	0	0	0	0
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	125	0	0	0	0
F390894	Lophium mytilinum	ingroup	Ascomycota	124	124	0	0	0	0
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	125	0	0	0	0
F48691	Neolecta irregularis	ingroup	Ascomycota	112	112	0	0	0	0
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	119	119	0	0	0	0
F199306	Coccidioides posadasii	ingroup	Ascomycota	118	118	0	0	0	0
F63402	Nannizzia gypsea	ingroup	Ascomycota	123	123	0	0	0	0
