model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	-0.1276687299396849	0.0281575439871159	-4.534086140399961	1.3531515462066292e-05	-0.1834048617842605	-0.0719325980951092	1.7397662736942375e-05	3di_af	freerate	miller1987	composition_adjusted	-0.1260990805211132	0.028280445415418	-4.458878870852789	1.843807200624155e-05	-0.1820830468282505	-0.0701151142139758	2.41371124445344e-05	0.0015696494185716836
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.172376699834332	0.0122386989700454	14.084560806359342	2.02615126000726e-27	0.1481509456381333	0.1966024540305306	1.458828907205227e-26	3di_af_empirical	gamma	tien2013	coverage_confidence	0.1729103044504185	0.0122945400714516	14.06399128763846	2.6963165529593955e-27	0.1485720344192594	0.1972485744815777	1.9413479181307646e-26	0.0005336046160865082
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_centered	-0.157985560567161	0.0211392993958338	-7.473547614274165	1.2647119484216076e-11	-0.1998295075664898	-0.1161416135678322	3.139974492632957e-11	3di_af_empirical	gamma	tien2013	coverage_confidence	-0.1594316562593532	0.0212418741500011	-7.505536240988647	1.1056661487457331e-11	-0.2014820677449438	-0.1173812447737626	2.7451021624032e-11	-0.0014460956921922008
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.1315298492433171	0.0310276726650411	-4.239114246925515	4.365591183824165e-05	-0.1929472248240982	-0.070112473662536	5.152828938284261e-05	3di_af_empirical	gamma	tien2013	coverage_confidence	-0.1272819680748213	0.0310118842064094	-4.104296508643445	7.361790635549804e-05	-0.1886730902806244	-0.0658908458690182	8.689326651796491e-05	0.004247881168495782
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.0973140422220084	0.0181431194918295	5.363688546825266	3.888989520456735e-07	0.0614008496320862	0.1332272348119307	6.666839177925831e-07	3di_af_empirical	gamma	tien2013	composition_adjusted	0.0967841556071655	0.0182341981534208	5.307837218441555	5.046929939587026e-07	0.0606877391588502	0.1328805720554807	8.651879896434901e-07	-0.000529886614842906
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_centered	-0.2117605414753506	0.0206035856163227	-10.277848983120096	2.896006026009274e-18	-0.2525440758953917	-0.1709770070553095	1.0974338624877249e-17	3di_af_empirical	gamma	tien2013	composition_adjusted	-0.2136962195411252	0.0206779974806316	-10.334473623052078	2.2928397219565673e-18	-0.254630380840566	-0.1727620582416844	9.171358887826269e-18	-0.0019356780657746042
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.1169066355447135	0.0303693850925989	-3.849489714337476	0.0001891922612641	-0.1770209712387037	-0.0567922998507234	0.0001974180117539	3di_af_empirical	gamma	tien2013	composition_adjusted	-0.112598646720452	0.0303326469374198	-3.712127298114064	0.0003110261538083	-0.172645150911118	-0.0525521425297859	0.0003245490300609	0.004307988824261505
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1753197549249437	0.012334844447888	14.213373801804384	1.0091750305599574e-27	0.1509036866505092	0.1997358231993783	8.073400244479659e-27	3di_af_empirical	gamma	miller1987	coverage_confidence	0.1757389857544647	0.0123897118544961	14.184267383965878	1.4106864486290127e-27	0.151212313673158	0.2002656578357713	1.1285491589032103e-26	0.0004192308295210001
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_centered	-0.1330713823499885	0.0183099582677112	-7.267705387655303	3.6899959760944376e-11	-0.16931482206706	-0.0968279426329169	8.570313234799986e-11	3di_af_empirical	gamma	miller1987	coverage_confidence	-0.1341286161449311	0.0184132120380308	-7.2843681953968815	3.4881938253546446e-11	-0.1705794084574629	-0.0976778238323993	8.10161146533982e-11	-0.0010572337949426025
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.1043268348835076	0.0261990102488652	-3.98209069321718	0.0001160900235484	-0.1561861692805806	-0.0524675004864347	0.0001266436620528	3di_af_empirical	gamma	miller1987	coverage_confidence	-0.1010367436241123	0.0262265236601043	-3.852464205075305	0.0001878249147732	-0.1529547666740656	-0.0491187205741591	0.0002048999070253	0.003290091259395292
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.1004881099886763	0.0183371833425988	5.480018829022322	2.3002601433864e-07	0.0641907799051683	0.1367854400721844	4.0394812274102633e-07	3di_af_empirical	gamma	miller1987	composition_adjusted	0.0998570757991457	0.0184216785488531	5.420628502138449	3.0448357511864135e-07	0.0633895231828192	0.1363246284154723	5.3470286362298e-07	-0.0006310341895306021
