model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient_baseline	marker_cluster_standard_error_baseline	t_statistic_baseline	p_value_conditional_cluster_t_baseline	ci95_lower_baseline	ci95_upper_baseline	bh_q_across_all_72_focal_tests_baseline	coefficient_sensitivity	marker_cluster_standard_error_sensitivity	t_statistic_sensitivity	p_value_conditional_cluster_t_sensitivity	ci95_lower_sensitivity	ci95_upper_sensitivity	bh_q_across_all_72_focal_tests_sensitivity	coefficient_change	coefficient_sign_changed
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_by_rsa	0.009896808197255559	0.05199424730620474	0.19034429210930268	0.8494777618712952	-0.09343083250389045	0.11322444889840155	0.9376194888320681	0.018945275769973294	0.05134572980970673	0.3689747100720293	0.7130328474908618	-0.08309357268321653	0.12098412422316311	0.8851442244714146	0.009048467572717735	False
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.20913615042106387	0.013887066510247053	15.059778842907212	4.382319996773825e-26	0.18153852389301356	0.23673377694911418	8.34244224545688e-25	0.20892625808373613	0.01395986847964447	14.96620533269215	6.512665782139433e-26	0.18118395293976258	0.23666856322770968	1.172279840785098e-24	-0.00020989233732773838	False
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_centered	-0.2169436887993025	0.03716646315300302	-5.83708188498355	8.711440366272623e-08	-0.2908042243348865	-0.1430831532637185	2.16284036679872e-07	-0.22307450083625316	0.0369380280797469	-6.039155646171723	3.6160530056530904e-08	-0.2964810696659833	-0.149667932006523	8.977786772655948e-08	-0.00613081203695065	False
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_by_rsa	0.004150584216738537	0.04130118915081476	0.1004955136178363	0.9201795489585003	-0.07792685038815066	0.08622801882162774	0.974307757720765	0.006768102867680043	0.041217419606386446	0.16420491462865272	0.8699464023290175	-0.07514285737058526	0.08867906310594534	0.9518296537969212	0.0026175186509415057	False
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.09462351181773693	0.02149228188556932	4.402674053948199	2.995669298001073e-05	0.05191211785445049	0.13733490578102336	5.676004985686243e-05	0.09585317131842534	0.02171918387091039	4.413295264137728	2.8778441232697597e-05	0.05269085733936053	0.13901548529749014	5.452757286195334e-05	0.0012296595006884153	False
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_centered	-0.18932049639402465	0.03021262964826264	-6.266270053222971	1.3287964493589625e-08	-0.24936174908391467	-0.12927924370413463	3.826933774153812e-08	-0.19174401236890162	0.030120078102606276	-6.3659865593877765	8.527801270111291e-09	-0.2516013383101343	-0.13188668642766893	2.4560067657920518e-08	-0.002423515974876972	False
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.008271234457733229	0.04169669925601937	-0.19836664784777147	0.8432157610443476	-0.09113466228613387	0.07459219337066741	0.9376194888320681	-0.005703393071140054	0.04162036463737382	-0.13703371224236177	0.8913171828728689	-0.08841512188557064	0.07700833574329054	0.9578333905499486	0.0025678413865931745	False
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.19356528223040942	0.013237941457870927	14.622007722758184	2.82325190454913e-25	0.16725765533995418	0.21987290912086466	2.903916244679105e-24	0.19391327648874765	0.013320287865552428	14.557739175459295	3.7187879059836805e-25	0.1674420034169017	0.22038454956059358	3.825038989011786e-24	0.00034799425833823006	False
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_centered	-0.1466506093218184	0.029209292875385828	-5.020683312926016	2.666370198277497e-06	-0.20469794101195793	-0.08860327763167886	5.332740396554994e-06	-0.14854204320208944	0.029115697687419395	-5.101785462838934	1.918266113425373e-06	-0.20640337412378632	-0.09068071228039257	3.836532226850746e-06	-0.0018914338802710484	False
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.002319991313027678	0.049115471491568585	-0.047235448272667804	0.9624326094330788	-0.09992667001462614	0.09528668738857078	0.9759879982983334	0.0013849262553305363	0.04901423820372803	0.028255590744348212	0.977522280540998	-0.09602057255935885	0.09879042507001994	0.9847541591226833	0.003704917568358214	True
