taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F5482	63750	53189	53189	0
F5486	63750	13897	13897	0
F549676	63750	60683	60683	0
F5507	63750	61664	61664	0
F5518	63750	61638	61638	0
F552467	63750	60100	60100	0
F5544	63750	61570	61570	0
F5570	63750	59135	59135	0
F5580	63750	61288	61288	0
F560253	63750	61716	61716	0
F5606	63750	57961	57961	0
F5619	63750	59572	59572	0
F5630	63750	59338	59338	0
F563466	63750	47991	47991	0
F56409	63750	55208	55208	0
F56493	63750	58497	58497	0
F574656	63750	61174	61174	0
F574677	63750	60416	60416	0
F574774	63750	59687	59687	0
F574789	63750	61370	61370	0
F578093	63750	60800	60800	0
F58291	63750	57160	57160	0
F58853	63750	61169	61169	0
F588596	63750	54264	54264	0
F58919	63750	58818	58818	0
F599730	63750	55807	55807	0
F599839	63750	56302	56302	0
F60197	63750	56850	56850	0
F6035	63750	22913	22913	0
F6039	63750	21986	21986	0
F604196	63750	54205	54205	0
F610337	63750	35823	19381	44
F61273	63750	60441	60441	0
F61395	63750	52049	52049	0
F61397	63750	51119	51119	0
F61424	63750	43844	43844	0
F63146	63750	58386	58386	0
F63378	63750	60424	60424	0
F63402	63750	60389	60389	0
F63577	63750	56876	56876	0
F64504	63750	58167	58167	0
F64505	63750	49422	49422	0
F64508	63750	56284	56284	0
F64517	63750	56853	56853	0
F64525	63750	56690	56690	0
F64526	63750	58410	58410	0
F64571	63750	57958	57958	0
F64632	63750	57233	57233	0
F65468	63750	60556	60556	0
F655981	63750	60298	60298	0
F65672	63750	56658	56658	0
F658196	63750	57352	57352	0
F669869	63750	60414	60414	0
F67723	63750	60170	60170	0
F68786	63750	47409	47409	0
F69979	63750	59153	59153	0
F703497	63750	61244	61244	0
F703506	63750	59659	59659	0
F703511	63750	61087	61087	0
F70536	63750	16641	16641	0
F705562	63750	60864	60864	0
F706196	63750	48196	48196	0
F708070	63750	58299	58299	0
F710243	63750	59932	59932	0
F71933	63750	53702	53702	0
F72144	63750	61696	61696	0
F73868	63750	31274	31274	0
F741139	63750	61705	61705	0
F746128	63750	61882	61882	0
F76012	63750	53531	53531	0
F76775	63750	57275	57275	0
F76777	63750	53304	53304	0
F77020	63750	56716	56716	0
F78915	63750	43319	43319	0
F78921	63750	7150	7150	0
F796027	63750	54182	54182	0
F796604	63750	58019	58019	0
F80663	63750	58243	58243	0
F80884	63750	60507	60507	0
F82268	63750	58015	58015	0
F82508	63750	55809	55809	0
F84751	63750	60337	60337	0
F84753	63750	60135	60135	0
F87287	63750	56476	56476	0
F87326	63750	45192	45192	0
F89243	63750	58604	58604	0
F89922	63750	58770	58770	0
F90408	63750	60961	60961	0
F911321	63750	58009	58009	0
F91480	63750	59448	59448	0
F91625	63750	58873	58873	0
F91930	63750	61980	61980	0
F92988	63750	59114	59114	0
F933333	63750	58569	58569	0
F945690	63750	46904	46904	0
F97331	63750	60029	60029	0
F979620	63750	57239	57239	0
F979690	63750	58111	58111	0
F979761	63750	54712	54712	0
F984962	63750	56352	56352	0
F994334	63750	39396	39396	0
O10228	63750	53244	53244	0
O133409	63750	56634	56634	0
O1890364	63750	51675	51675	0
O192875	63750	55443	55443	0
O225164	63750	54646	54646	0
O2700040	63750	45568	45568	0
O27923	63750	47333	47333	0
O283909	63750	52316	52316	0
O400682	63750	50908	50908	0
O44689	63750	56527	56527	0
O45351	63750	43677	43677	0
O529818	63750	52207	52207	0
O5755	63750	47029	47029	0
O5786	63750	54127	54127	0
O6239	63750	51494	51494	0
O691883	63750	49763	49763	0
O72019	63750	36770	36770	0
O7227	63750	36220	36220	0
O81824	63750	48874	48874	0
O946362	63750	53762	53762	0
OFS1403592	63750	57292	57292	0
OFS5426458	63750	2272	2272	0
OFS5426470	63750	57252	57252	0
OFS5426494	63750	57401	57401	0
OFS5426506	63750	1715	1715	0
