taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F29898	49027	46517	46517	0
F29899	49027	47618	47618	0
F29902	49027	47715	47715	0
F29908	49027	46506	46506	0
F3038894	49027	38816	38816	0
F3039483	49027	20011	20011	0
F304332	49027	41739	41739	0
F3058885	49027	37928	37928	0
F3060298	49027	43222	43222	0
F3075319	49027	44770	44770	0
F3108450	49027	26553	26553	0
F315204	49027	46979	46979	0
F318760	49027	47434	47434	0
F318763	49027	40021	40021	0
F318774	49027	44891	44891	0
F326681	49027	48182	48182	0
F326684	49027	47989	47989	0
F332112	49027	19986	19986	0
F3342545	49027	44402	44402	0
F3384825	49027	47873	47873	0
F339359	49027	46669	46669	0
F342668	49027	48392	48392	0
F34349	49027	46581	46581	0
F34406	49027	47559	47559	0
F34480	49027	35993	35993	0
F34485	49027	8583	8583	0
F34488	49027	46752	46752	0
F348617	49027	36697	36697	0
F36035	49027	44933	44933	0
F36050	49027	48337	48337	0
F364730	49027	40045	40045	0
F364733	49027	45740	45740	0
F36779	49027	46898	46898	0
F370292	49027	48450	48450	0
F37769	49027	47735	47735	0
F378194	49027	46550	46550	0
F382532	49027	47325	47325	0
F383834	49027	46675	46675	0
F38799	49027	47199	47199	0
F390894	49027	47846	47846	0
F393283	49027	46143	46143	0
F39416	49027	44675	44675	0
F398673	49027	45934	45934	0
F400354	49027	46476	46476	0
F401625	49027	38578	38578	0
F40410	49027	48091	48091	0
F40492	49027	46688	46688	0
F40559	49027	45331	45331	0
F41759	49027	48295	48295	0
F41833	49027	47079	47079	0
F418498	49027	46562	46562	0
F41956	49027	46521	46521	0
F41990	49027	47830	47830	0
F42068	49027	47452	47452	0
F423460	49027	42487	42487	0
F42374	49027	44811	44811	0
F43433	49027	46313	46313	0
F43959	49027	46203	46203	0
F44089	49027	47427	47427	0
F443868	49027	47341	47341	0
F44442	49027	46249	46249	0
F44565	49027	47856	47856	0
F45228	49027	47954	47954	0
F456999	49027	43851	43851	0
F460848	49027	45867	45867	0
F460854	49027	46018	46018	0
F462254	49027	47870	47870	0
F467971	49027	47018	47018	0
F470096	49027	47449	47449	0
F474922	49027	47257	47257	0
F4754	49027	47025	47025	0
F48021	49027	47961	47961	0
F4808	49027	47302	47302	0
F48095	49027	47211	47211	0
F4837	49027	41242	41242	0
F4840	49027	48644	48644	0
F48563	49027	47984	47984	0
F48565	49027	47162	47162	0
F48578	49027	46207	46207	0
F48586	49027	46414	46414	0
F48587	49027	44740	44740	0
F48593	49027	47392	47392	0
F4866	49027	37112	37112	0
F48691	49027	39235	39235	0
F4874	49027	36514	36514	0
F4896	49027	46832	46832	0
F4897	49027	46875	46875	0
F4903	49027	45173	45173	0
F4909	49027	45356	45356	0
F4918	49027	45867	45867	0
F4927	49027	44664	44664	0
F4932	49027	46869	46869	0
F500713	49027	47590	47590	0
F5011	49027	42974	42974	0
F5022	49027	47819	47819	0
F50376	49027	47723	47723	0
F5059	49027	48331	48331	0
F5062	49027	47007	47007	0
F50956	49027	45358	45358	0
F50990	49027	44717	44717	0
F5101	49027	48323	48323	0
F5116	49027	42544	42544	0
F5127	49027	46902	46902	0
F5128	49027	48144	48144	0
F5147	49027	47515	47515	0
F51930	49027	46320	46320	0
F5207	49027	47668	47668	0
F5208	49027	47547	47547	0
F5210	49027	47532	47532	0
F5219	49027	35131	35131	0
F5281	49027	45697	45697	0
F5286	49027	47701	47701	0
F52883	49027	38842	38842	0
F5364	49027	48135	48135	0
F5365	49027	46951	46951	0
F5414	49027	47856	47856	0
F54195	49027	45392	45392	0
F5454	49027	48332	48332	0
F5476	49027	44730	44730	0
F5479	49027	42199	42199	0
F5482	49027	43439	43439	0
F5486	49027	12008	12008	0
F549676	49027	47461	47461	0
F5507	49027	48320	48320	0
F5518	49027	48279	48279	0
F552467	49027	47814	47814	0
F5544	49027	48370	48370	0
F5570	49027	46216	46216	0
F5580	49027	48313	48313	0
F560253	49027	48272	48272	0
F5606	49027	46910	46910	0
F5619	49027	47661	47661	0
F5630	49027	47047	47047	0
F563466	49027	37677	37677	0
F56409	49027	44278	44278	0
F56493	49027	46746	46746	0
F574656	49027	47729	47729	0
F574677	49027	47243	47243	0
F574774	49027	46773	46773	0
F574789	49027	48200	48200	0
F578093	49027	47008	47008	0
F58291	49027	47473	47473	0
F58853	49027	48285	48285	0
F588596	49027	43117	43117	0
F58919	49027	46494	46494	0
F599730	49027	45698	45698	0
F599839	49027	44841	44841	0
F60197	49027	45901	45901	0
F6035	49027	20616	20616	0
F6039	49027	19935	19935	0
F604196	49027	43317	43317	0
F610337	49027	28957	15846	44
F61273	49027	47081	47081	0
