taxon_id	species_name	study_role	lineage	stage	proteins	source_sha256	input_path	reason
F58853	Trichoderma citrinoviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	additional	9734	cba9d69d4bd99a13d570e4d870042b09e4fafad96ac278b39c00e1a997d8e35f	data/orthology_inputs/v1/additional/F58853.faa	Included in full-cohort species assignment and gene-tree analysis
F588596	Rhizophagus irregularis	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus	additional	30147	4fc94cff4395dfdbd88b09fb55efc6a42f3ed96348bca1276055114c129f051e	data/orthology_inputs/v1/additional/F588596.faa	Included in full-cohort species assignment and gene-tree analysis
F58919	Tilletiopsis washingtonensis	ingroup	Basidiomycota;Exobasidiomycetes;Entylomatales;Tilletiopsis	additional	7005	3a347753ab9987a9f67f74f5129c928a241cc3c8f1479208fdb2320769ff24ff	data/orthology_inputs/v1/additional/F58919.faa	Included in full-cohort species assignment and gene-tree analysis
F599730	Waltiozyma pijperi	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Waltiozyma	additional	10149	3692274fa6552c1abf1937c8d4e4ff5667f86c853dc1cc28634d30f4b5352a91	data/orthology_inputs/v1/additional/F599730.faa	Included in full-cohort species assignment and gene-tree analysis
F599839	Fibroporia radiculosa	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Fibroporiaceae;Fibroporia	additional	9184	87c655c633535761a02463d6f63e81787cc7330d9da006738fa02401f7cc6eaa	data/orthology_inputs/v1/additional/F599839.faa	Included in full-cohort species assignment and gene-tree analysis
F60197	Cronartium quercuum	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Coleosporiaceae;Cronartium	additional	13765	ded82dbcf9133b1a5061033d4b8510b78ec6aadfa778a57422b30e744a127c03	data/orthology_inputs/v1/additional/F60197.faa	Included in full-cohort species assignment and gene-tree analysis
F6035	Encephalitozoon cuniculi	ingroup	Microsporidia;Unikaryonidae;Encephalitozoon	additional	2122	20869b304273ee3d689a77c6a53f306692d36d5174093af5edd70d36f0de1077	data/orthology_inputs/v1/additional/F6035.faa	Included in full-cohort species assignment and gene-tree analysis
F6039	Vairimorpha necatrix	ingroup	Microsporidia;Nosematidae;Vairimorpha	additional	3079	31685a044e467963f9ccae128780a869e1c837e44f3dfaf6c6317baebc2f4746	data/orthology_inputs/v1/additional/F6039.faa	Included in full-cohort species assignment and gene-tree analysis
F604196	Linnemannia exigua	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia	additional	12120	18672a40be9b8b1b070373ed5ba962fa06774711f87db9d031009abdd7c6c88d	data/orthology_inputs/v1/additional/F604196.faa	Included in full-cohort species assignment and gene-tree analysis
F610337	Naganishia cerealis	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	additional	9284	a5b72a6755008121c860393d00c1c0fd6be33af91a6b419385ca4c5518d40dfc	data/orthology_inputs/v1/additional/F610337.faa	Included in full-cohort species assignment and gene-tree analysis
F61273	Ophiostoma piceae	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Ophiostoma	additional	8884	0044898b68e87ba710dcbcfe5c692ecdfe0db84208205a623ce5b0b23e51ae62	data/orthology_inputs/v1/additional/F61273.faa	Included in full-cohort species assignment and gene-tree analysis
F61395	Linderina pennispora	ingroup	Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Linderina	additional	9350	8d501f13102855fe5d5a2a013e6742e97be0a056b81cb74e9bfb2984f91ff89b	data/orthology_inputs/v1/additional/F61395.faa	Included in full-cohort species assignment and gene-tree analysis
F61397	Kickxella alabastrina	ingroup	Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Kickxella	core	7284	5082b3c4cda555d6351fbfd0e2b2c55d2e99bbfed1ed933c44140d53af1eb36e	data/orthology_inputs/v1/core/F61397.faa	Additional core taxonomic-prefix diversity; QC tie-break
F61424	Furculomyces boomerangus	ingroup	Kickxellomycota;Harpellomycetes;Harpellales;Harpellaceae;Furculomyces	core	7338	76f0960596c053e92b6d1e46e68b79b3e99a8381d689173666ca922878a7f1d9	data/orthology_inputs/v1/core/F61424.faa	Additional core taxonomic-prefix diversity; QC tie-break
F63146	Calocera viscosa	ingroup	Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Calocera	additional	12357	0b6d52b13f58da43779714c8b879b55116f8d41f4922647bd8c1d8f458961b50	data/orthology_inputs/v1/additional/F63146.faa	Included in full-cohort species assignment and gene-tree analysis
F63378	Exobasidium rhododendri	ingroup	Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium	core	6977	dd256d5859177c768e4d253b59681bf8172e5477aaf9556a8a4250894d640a10	data/orthology_inputs/v1/core/F63378.faa	Additional core taxonomic-prefix diversity; QC tie-break
F63402	Nannizzia gypsea	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Nannizzia	additional	8921	4b097c3b6db8bb11e04c5e730fa58f5a348ac2568004d40cfbe6c376e2c4d850	data/orthology_inputs/v1/additional/F63402.faa	Included in full-cohort species assignment and gene-tree analysis
F63577	Trichoderma atroviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	additional	13127	3049f3869d76fd60a30bc5c7512f7d7d7587958fe88221c7384271710d888868	data/orthology_inputs/v1/additional/F63577.faa	Included in full-cohort species assignment and gene-tree analysis
F64504	Allomyces arbusculus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	core	8889	dfa26d8a3dac6b8f3024f65f89d7548756139e5ca28b9f6acf6809ffe974b4ad	data/orthology_inputs/v1/core/F64504.faa	Core coverage of ingroup group Blastocladiomycota
F64505	Allomyces javanicus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	additional	9981	89b0aff4a6f732cc1fc39ebe2cb0e13d472a4bfc4e8d9e737132327f19fb6ff1	data/orthology_inputs/v1/additional/F64505.faa	Included in full-cohort species assignment and gene-tree analysis
F64508	Blastocladiella britannica	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella	additional	9427	ceefce9e4370274b220816bdd8d4b24881c4fb857cbdc0e7527b8c4713fed016	data/orthology_inputs/v1/additional/F64508.faa	Included in full-cohort species assignment and gene-tree analysis
F64517	Rhizophlyctis rosea	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis	additional	12571	d89b0bfe6d8b132c72498b57356c306212520cd2f6a73b4ec8f91667eb4966f8	data/orthology_inputs/v1/additional/F64517.faa	Included in full-cohort species assignment and gene-tree analysis
