split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x400800050010000000000482000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000008032000284000004000800029000000000101000140000000001080000000000104600014010000000000000400840004000000002800002	973	473	500	0	67	500	83.7	66.0	0.0778092135
0x80000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	76.0	62.0	0.0130509637
0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	100.0	100.0	0.3927589861
0x400800050010000000000482000000800000100000440000000000a020000400000000055500404000000020080009080000000000000000090000000014800005200000008032000284000004000800029001000000101000140000000001080000000000104600014010000000000000400840004000000002800002	970	473	497	0	70	497	85.2	74.0	0.076814971
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000	2	0	2	473	565	475	84.2	100.0	0.0497917626
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000010000000	3	0	3	473	564	476	93.1	98.0	0.2323462354
0x2000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000010000000	4	0	4	473	563	477	97.2	100.0	0.4969490977
0x2000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000010000000	5	0	5	473	562	478	6.4	50.0	0.0843423478
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000	2	0	2	473	565	475	99.6	100.0	0.1152076835
0x100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000	3	0	3	473	564	476	54.9	53.0	0.011242553
