taxon_id	species_name	study_role	manifest_lineage_group	total_markers	recovered_sequence_markers	markers_with_source_model	reuse_candidate_outside_catalog	no_candidate_in_query_snapshot	sequence_present_model_missing	sequence_missing	model_fraction_of_recovered_markers	model_fraction_of_all_markers
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	125	116	0	0	116	116	9	0.0	0.0
F13502	Brettanomyces nanus	ingroup	Ascomycota	125	121	119	0	2	2	4	0.9834710743801653	0.952
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	125	121	119	0	2	2	4	0.9834710743801653	0.952
F4909	Pichia kudriavzevii	ingroup	Ascomycota	125	121	119	0	2	2	4	0.9834710743801653	0.952
F48095	Alternaria dauci	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	125	85	0	40	40	0	0.68	0.68
F5022	Plenodomus lingam	ingroup	Ascomycota	125	124	61	0	63	63	1	0.49193548387096775	0.488
F4754	Pneumocystis carinii	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F263815	Pneumocystis murina	ingroup	Ascomycota	125	123	121	0	2	2	2	0.983739837398374	0.968
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	125	114	0	0	114	114	11	0.0	0.0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	125	109	0	0	109	109	16	0.0	0.0
F1453789	Toensbergia leucococca	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F706196	Saccharomyces arboricola	ingroup	Ascomycota	125	104	102	0	2	2	21	0.9807692307692307	0.816
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	125	123	123	0	0	0	2	1.0	0.984
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	125	49	42	0	7	7	76	0.8571428571428571	0.336
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	125	120	7	30	83	113	5	0.058333333333333334	0.056
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	125	122	119	0	3	3	3	0.9754098360655737	0.952
F114525	Saccharomyces mikatae	ingroup	Ascomycota	125	122	10	109	3	112	3	0.08196721311475409	0.08
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	125	122	6	0	116	116	3	0.04918032786885246	0.048
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	125	14	14	0	0	0	111	1.0	0.112
F230603	Saccharomyces uvarum	ingroup	Ascomycota	125	121	10	0	111	111	4	0.08264462809917356	0.08
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	125	101	8	22	71	93	24	0.07920792079207921	0.064
F56409	Hanseniaspora vineae	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	125	120	7	59	54	113	5	0.058333333333333334	0.056
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	125	124	0	1	123	124	1	0.0	0.0
F5606	Saitoella complicata	ingroup	Ascomycota	125	122	6	41	75	116	3	0.04918032786885246	0.048
F273283	Sarea resinae	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F1042397	Schaereria dolodes	ingroup	Ascomycota	125	118	0	0	118	118	7	0.0	0.0
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	125	121	7	112	2	114	4	0.05785123966942149	0.056
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	125	122	8	112	2	114	3	0.06557377049180328	0.064
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	125	121	7	114	0	114	4	0.05785123966942149	0.056
F241526	Candida africana	ingroup	Ascomycota	125	69	0	8	61	69	56	0.0	0.0
F5476	Candida albicans	ingroup	Ascomycota	125	118	7	110	1	111	7	0.059322033898305086	0.056
F42374	Candida dubliniensis	ingroup	Ascomycota	125	118	7	109	2	111	7	0.059322033898305086	0.056
F5479	Candida maltosa	ingroup	Ascomycota	125	113	6	44	63	107	12	0.05309734513274336	0.048
F5482	Candida tropicalis	ingroup	Ascomycota	125	115	6	107	2	109	10	0.05217391304347826	0.048
F5486	Candida viswanathii	ingroup	Ascomycota	125	31	6	23	2	25	94	0.1935483870967742	0.048
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F72144	Remersonia thermophila	ingroup	Ascomycota	125	124	1	0	123	123	1	0.008064516129032258	0.008
F5147	Sordaria macrospora	ingroup	Ascomycota	125	124	7	81	36	117	1	0.056451612903225805	0.056
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	125	122	8	111	3	114	3	0.06557377049180328	0.064
F5011	Taphrina deformans	ingroup	Ascomycota	125	112	7	104	1	105	13	0.0625	0.056
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	125	105	0	0	105	105	20	0.0	0.0
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	125	111	0	0	111	111	14	0.0	0.0
F116982	Xanthoria calcicola	ingroup	Ascomycota	125	113	0	0	113	113	12	0.0	0.0
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	125	121	1	1	119	120	4	0.008264462809917356	0.008
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	125	122	6	102	14	116	3	0.04918032786885246	0.048
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	125	8	115	2	117	0	0.064	0.064
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F2939404	Thelocarpon superellum	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F1093900	Thyridium curvatum	ingroup	Ascomycota	125	124	8	112	4	116	1	0.06451612903225806	0.064
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	125	118	8	108	2	110	7	0.06779661016949153	0.064
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F129515	Trapelia coarctata	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F51930	Tortispora caseinolytica	ingroup	Ascomycota	125	118	7	108	3	111	7	0.059322033898305086	0.056
F2939406	Bogoriella megaspora	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	125	112	0	0	112	112	13	0.0	0.0
F1048519	Viridothelium virens	ingroup	Ascomycota	125	124	8	113	3	116	1	0.06451612903225806	0.064
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F136370	Lasallia pustulata	ingroup	Ascomycota	125	120	8	8	104	112	5	0.06666666666666667	0.064
F87287	Umbilicaria vellea	ingroup	Ascomycota	125	111	0	0	111	111	14	0.0	0.0
F1048955	Tothia fuscella	ingroup	Ascomycota	125	125	8	114	3	117	0	0.064	0.064
F50376	Venturia effusa	ingroup	Ascomycota	125	124	7	115	2	117	1	0.056451612903225805	0.056
F253628	Verruconis gallopava	ingroup	Ascomycota	125	111	8	102	1	103	14	0.07207207207207207	0.064
F364733	Endocarpon pusillum	ingroup	Ascomycota	125	116	7	104	5	109	9	0.0603448275862069	0.056
F2939408	Vezdaea acicularis	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F2939405	Vezdaea aestivalis	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F326681	Hypoxylon trugodes	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota	125	124	8	112	4	116	1	0.06451612903225806	0.064
F326684	Xylaria bambusicola	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F1217826	Xylona heveae	ingroup	Ascomycota	125	124	8	114	2	116	1	0.06451612903225806	0.064
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota	125	107	7	98	2	100	18	0.06542056074766354	0.056
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota	125	90	0	0	90	90	35	0.0	0.0
F87326	Amanita brunnescens	ingroup	Basidiomycota	125	102	0	0	102	102	23	0.0	0.0
F933333	Amanita inopinata	ingroup	Basidiomycota	125	121	0	0	121	121	4	0.0	0.0
F41956	Amanita muscaria	ingroup	Basidiomycota	125	120	7	1	112	113	5	0.058333333333333334	0.056
