taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F293227	Cyphellophora europaea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2486360	Exophiala viscosa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1690604	Lithohypha guttulata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F164576	Chaenotheca gracillima	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939403	Sclerophora amabilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5116	Cryphonectria parasitica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1214568	Diaporthe amygdali	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F148313	Discula destructiva	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5580	Aureobasidium pullulans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2781224	Neodothiora populina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2024903	Zalaria obscura	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F182096	Aspergillus chevalieri	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5059	Aspergillus flavus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F746128	Aspergillus fumigatus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F41759	Aspergillus multicolor	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F162425	Aspergillus nidulans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5062	Aspergillus oryzae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1810928	Aspergillus undulatus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F315204	Geoglossum umbratile	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F34406	Colletotrichum destructivum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
