taxon_id	proteins_checked	marker_query_links	additional_query_links
F264124	16502	123	16379
F264483	6380	124	6256
F2650707	6212	97	6115
F265104	9802	120	9682
F2656787	10707	125	10582
F269621	8142	124	8018
F2704026	10151	122	10029
F2725673	10034	104	9930
F27291	5538	122	5416
F27292	10760	84	10676
F2732470	9228	117	9111
F273283	7422	125	7297
F27342	17088	124	16964
F2735257	11278	117	11161
F27376	14505	86	14419
F2748771	22782	43	22739
F2754530	6722	122	6600
F2767002	27675	71	27604
F2778381	6095	118	5977
F2781224	7339	120	7219
F278681	8460	52	8408
F279322	7753	124	7629
F2796175	9066	113	8953
F280036	6591	122	6469
F2813651	11479	125	11354
F281847	6350	117	6233
F2829486	14599	121	14478
F2831993	13616	123	13493
F2834505	13069	122	12947
F28583	18774	43	18731
F2871812	7888	120	7768
F2878321	6334	124	6210
F288795	7364	121	7243
F289078	10587	122	10465
F291195	3013	49	2964
F2918522	7945	124	7821
F293227	11094	124	10970
F2939399	8497	120	8377
F2939400	7632	122	7510
F2939403	7507	121	7386
F2939404	6249	121	6128
F2939405	6893	122	6771
F2939406	10889	123	10766
F2939408	6608	123	6485
F2977754	9541	114	9427
F29833	4004	101	3903
F29883	18213	111	18102
F29889	13152	124	13028
F29898	7222	123	7099
F29899	7806	125	7681
F29902	9508	125	9383
F29908	10277	122	10155
F3038894	9530	103	9427
F3039483	1826	60	1766
F304332	9222	113	9109
F3058885	8539	97	8442
F3060298	9330	109	9221
F3075319	8697	120	8577
F3108450	23663	71	23592
F315204	9544	122	9422
F318760	9144	124	9020
F318763	10810	103	10707
F318774	7744	121	7623
F326681	11996	124	11872
F326684	12119	124	11995
F332112	9143	86	9057
F3342545	10753	121	10632
F3384825	8329	125	8204
F339359	10669	122	10547
F342668	10685	125	10560
F34349	6838	124	6714
F34406	15627	123	15504
F34480	18042	90	17952
F34485	38917	29	38888
F34488	10568	121	10447
F348617	5453	81	5372
F36035	5026	120	4906
F36050	13851	124	13727
F364730	8904	112	8792
F364733	9238	116	9122
F36779	14458	122	14336
F370292	12640	125	12515
F37769	6565	124	6441
F378194	13761	119	13642
F382532	11534	124	11410
F383834	7319	123	7196
F38799	13155	122	13033
F390894	15150	124	15026
F393283	15413	120	15293
F39416	7420	118	7302
F398673	11171	117	11054
F400354	8117	119	7998
F401625	8022	111	7911
F40410	6632	125	6507
F40492	14062	120	13942
F40559	11698	117	11581
F41759	12813	125	12688
F41833	9915	120	9795
F418498	11523	122	11401
F41956	15791	120	15671
F41990	12540	123	12417
F42068	3761	122	3639
F423460	16110	107	16003
F42374	5859	118	5741
F43433	10412	121	10291
F43959	6419	122	6297
F44089	5620	124	5496
F443868	8330	124	8206
F44442	8240	123	8117
F44565	7746	124	7622
F45228	7658	124	7534
F456999	12301	116	12185
F460848	8063	119	7944
F460854	8190	120	8070
F462254	12531	123	12408
F467971	13651	121	13530
F470096	11218	124	11094
F474922	15368	122	15246
F4754	3646	122	3524
F48021	15125	123	15002
F4808	10031	123	9908
F48095	10026	124	9902
F4837	16542	113	16429
F4840	10974	125	10849
F48563	13537	124	13413
F48565	21442	122	21320
F48578	16585	121	16464
F48586	17080	120	16960
F48587	15739	116	15623
F48593	15797	123	15674
F4866	6346	101	6245
F48691	5531	112	5419
F4874	26134	98	26036
F4896	5124	121	5003
F4897	4878	121	4757
F4903	6032	121	5911
F4909	5139	121	5018
F4918	5664	120	5544
