taxon_id	species_name	aligned_candidate_entries	BRF1_detected_entries	BRF1_not_detected_entries	both_evidence_classes_present	selected_focal_entries	selected_focal_classes	curated_hybrid_taxon
F2939403	Sclerophora amabilis	2	1	1	True	1	BRF1_detected	False
F2939404	Thelocarpon superellum	2	0	2	False	1	BRF1_not_detected	False
F2939405	Vezdaea aestivalis	2	1	1	True	1	BRF1_detected	False
F2939406	Bogoriella megaspora	2	1	1	True	1	BRF1_detected	False
F2939408	Vezdaea acicularis	2	1	1	True	1	BRF1_detected	False
F2977754	Pyrenula ochraceoflavens	2	1	1	True	1	BRF1_detected	False
F29833	Hanseniaspora uvarum	2	1	1	True	1	BRF1_detected	False
F29883	Laccaria bicolor	2	1	1	True	1	BRF1_detected	False
F29889	Calocera cornea	2	1	1	True	1	BRF1_detected	False
F29898	Rhodotorula graminis	2	1	1	True	1	BRF1_detected	False
F29899	Cystobasidium minutum	2	1	1	True	1	BRF1_detected	False
F29902	Mrakia frigida	2	1	1	True	1	BRF1_detected	False
F29908	Sporothrix schenckii	2	1	1	True	1	BRF1_detected	False
F3038894	Phenoliferia sp. Uapishka_3	2	1	1	True	1	BRF1_detected	False
F3039483	Ordospora pajunii	2	1	1	True	1	BRF1_detected	False
F304332	Ramicandelaber brevisporus	2	1	1	True	1	BRF1_detected	False
F3058885	Dirinaria sp. TL-2023a	2	1	1	True	1	BRF1_detected	False
F3060298	Pyrenula sp. 1 TL-2023	2	1	1	True	1	BRF1_detected	False
F3075319	Sorochytrium milnesiophthora	2	1	1	True	1	BRF1_detected	False
F3108450	Neocallimastix sp. 'constans'	2	1	1	True	1	BRF1_detected	False
F315204	Geoglossum umbratile	2	1	1	True	1	BRF1_detected	False
F318760	Hypocenomyce scalaris	2	1	1	True	1	BRF1_detected	False
F318763	Pleopsidium flavum	2	1	1	True	1	BRF1_detected	False
F318774	Phylliscum demangeonii	2	1	1	True	1	BRF1_not_detected	False
F326681	Hypoxylon trugodes	2	1	1	True	1	BRF1_detected	False
F326684	Xylaria bambusicola	2	1	1	True	1	BRF1_detected	False
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	3	1	2	True	1	BRF1_detected	True
F3342545	Pseudogymnoascus australis	2	1	1	True	1	BRF1_detected	False
F3384825	Phaeococcomyces sp. EXF-18165	2	1	1	True	1	BRF1_detected	False
F339359	Zalerion maritima	1	0	1	False	0		False
F342668	Pseudogymnoascus verrucosus	2	1	1	True	1	BRF1_detected	False
F34349	Mixia osmundae	2	1	1	True	1	BRF1_detected	False
F34406	Colletotrichum destructivum	2	1	1	True	1	BRF1_detected	False
F34480	Basidiobolus ranarum	4	1	3	True	0		False
F34485	Entomophthora muscae	5	2	3	True	0		False
F34488	Conidiobolus coronatus	2	1	1	True	1	BRF1_detected	False
F348617	Massospora cicadina	2	0	2	False	1	BRF1_not_detected	False
F36035	Saccharomycodes ludwigii	2	1	1	True	1	BRF1_detected	False
F36050	Fusarium poae	2	1	1	True	1	BRF1_detected	False
F364730	Trypethelium subeluteriae	2	1	1	True	1	BRF1_detected	False
F364733	Endocarpon pusillum	2	1	1	True	1	BRF1_detected	False
F36779	Gaeumannomyces tritici	2	1	1	True	1	BRF1_detected	False
F370292	Thelephora ganbajun	2	1	1	True	1	BRF1_detected	False
F37769	Cryptococcus gattii	2	1	1	True	1	BRF1_detected	False
F378194	Epithele typhae	2	1	1	True	1	BRF1_detected	False
F383834	Lipomyces doorenjongii	2	1	1	True	1	BRF1_detected	False
F38799	Neolentinus lepideus	2	1	1	True	1	BRF1_detected	False
F390894	Lophium mytilinum	2	1	1	True	1	BRF1_detected	False
F393283	Pestalotiopsis fici	2	1	1	True	1	BRF1_detected	False
F39416	Tuber melanosporum	2	1	1	True	1	BRF1_detected	False
F398673	Trichoderma gamsii	2	1	1	True	1	BRF1_detected	False
F400354	Loxospora ochrophaea	2	1	1	True	1	BRF1_detected	False
F401625	Ceraceosorus bombacis	2	1	1	True	1	BRF1_detected	False
F40410	Cryptococcus deneoformans	2	1	1	True	1	BRF1_detected	False
F40492	Stereum hirsutum	2	1	1	True	1	BRF1_detected	False
F40559	Botrytis cinerea	2	1	1	True	1	BRF1_detected	False
F41759	Aspergillus multicolor	2	1	1	True	1	BRF1_not_detected	False
F41833	Umbelopsis ramanniana	2	1	1	True	1	BRF1_detected	False
F418498	Phenoliferia psychrophenolica	2	1	1	True	1	BRF1_detected	False
F41956	Amanita muscaria	2	1	1	True	1	BRF1_detected	False
F41990	Pleurostoma richardsiae	2	1	1	True	1	BRF1_detected	False
F42068	Pneumocystis jirovecii	2	1	1	True	1	BRF1_detected	False
F423460	Basidiobolus meristosporus	3	1	2	True	1	BRF1_detected	False
F42374	Candida dubliniensis	3	1	2	True	1	BRF1_detected	False
F43433	Tricharina praecox	2	1	1	True	1	BRF1_detected	False
F43959	Saccharomycopsis crataegensis	2	1	1	True	1	BRF1_detected	False
F44089	Neoaidaea tothii	2	1	1	True	1	BRF1_detected	False
F443868	Agyrium rufum	2	1	1	True	1	BRF1_detected	False
F44442	Umbelopsis vinacea	1	0	1	False	0		False
F44565	Sterigmatomyces hyphaenes	2	1	1	True	1	BRF1_detected	False
F45228	Heterogastridium pycnidioideum	2	1	1	True	1	BRF1_detected	False
F460848	Candelaria pacifica	2	1	1	True	1	BRF1_detected	False
F460854	Candelina submexicana	2	1	1	True	1	BRF1_detected	False
F462254	Aplosporella prunicola	3	1	2	True	1	BRF1_detected	False
F467971	Sistotremastrum suecicum	2	1	1	True	1	BRF1_detected	False
F470096	Pseudovirgaria hyperparasitica	2	1	1	True	1	BRF1_detected	False
F474922	Colletotrichum gloeosporioides	2	1	1	True	1	BRF1_detected	False
F4754	Pneumocystis carinii	2	1	1	True	1	BRF1_detected	False
F48021	Artomyces pyxidatus	2	1	1	True	1	BRF1_detected	False
F4808	Blastocladiella emersonii	2	1	1	True	1	BRF1_detected	False
F48095	Alternaria dauci	2	1	1	True	1	BRF1_detected	False
F4837	Phycomyces blakesleeanus	3	1	2	True	1	BRF1_detected	False
F4840	Rhizomucor pusillus	2	1	1	True	1	BRF1_detected	False
F48563	Suillus bovinus	2	1	1	True	1	BRF1_detected	False
F48565	Suillus brevipes	2	1	1	True	1	BRF1_detected	False
F48578	Suillus paluster	2	1	1	True	1	BRF1_detected	False
F48586	Suillus subalutaceus	2	1	1	True	1	BRF1_detected	False
F48587	Suillus subaureus	2	1	1	True	1	BRF1_detected	False
F48593	Suillus weaverae	2	1	1	True	1	BRF1_detected	False
F4866	Dipsacomyces acuminosporus	3	1	2	True	1	BRF1_detected	False
F48691	Neolecta irregularis	2	1	1	True	1	BRF1_detected	False
F4874	Gigaspora margarita	3	1	2	True	1	BRF1_detected	False
F4896	Schizosaccharomyces pombe	2	1	1	True	1	BRF1_detected	False
F4897	Schizosaccharomyces japonicus	2	1	1	True	1	BRF1_detected	False
F4903	Williopsis jadinii	2	1	1	True	1	BRF1_detected	False
F4909	Pichia kudriavzevii	2	1	1	True	1	BRF1_detected	False
F4918	Pachysolen tannophilus	2	1	1	True	1	BRF1_detected	False
F4927	Hansenula anomala	2	1	1	True	1	BRF1_detected	False
F4932	Saccharomyces cerevisiae	2	1	1	True	1	BRF1_detected	False
F500713	Sporobolomyces koalae	2	1	1	True	1	BRF1_detected	False
F5011	Taphrina deformans	1	0	1	False	1	BRF1_not_detected	False
F5022	Plenodomus lingam	2	1	1	True	1	BRF1_detected	False
F50376	Venturia effusa	2	1	1	True	1	BRF1_detected	False
F5059	Aspergillus flavus	2	1	1	True	1	BRF1_not_detected	False
F5062	Aspergillus oryzae	2	1	1	True	1	BRF1_detected	False
F50956	Geosiphon pyriformis	4	1	3	True	1	BRF1_detected	False
F50990	Rickenella mellea	2	1	1	True	1	BRF1_detected	False
F5101	Amorphotheca resinae	2	1	1	True	1	BRF1_detected	False
F5116	Cryphonectria parasitica	2	1	1	True	1	BRF1_detected	False
F5127	Fusarium fujikuroi	2	1	1	True	1	BRF1_detected	False
F5128	Fusarium sambucinum	2	1	1	True	1	BRF1_detected	False
F5147	Sordaria macrospora	1	0	1	False	0		False
F51930	Tortispora caseinolytica	2	1	1	True	1	BRF1_detected	False
F5207	Cryptococcus neoformans	2	1	1	True	1	BRF1_detected	False
F5208	Cryptococcus depauperatus	2	1	1	True	1	BRF1_detected	False
F5210	Filobasidium floriforme	2	1	1	True	1	BRF1_detected	False
F5219	Exidia glandulosa	2	1	1	True	1	BRF1_detected	False
F5281	Tilletiaria anomala	1	0	1	False	0		False
F5286	Rhodotorula toruloides	2	1	1	True	1	BRF1_detected	False
F52883	Peltigera leucophlebia	4	1	3	True	1	BRF1_detected	False
F5364	Heliocybe sulcata	1	0	1	False	1	BRF1_not_detected	False
F5365	Lentinus tigrinus	2	1	1	True	1	BRF1_detected	False
