taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F5365	Lentinus tigrinus	3	0	0	3	0
F231932	Phanerochaete carnosa	2	0	0	2	0
F104341	Rhodonia placenta	0	0	0	0	0
F181123	Austropuccinia psidii	0	0	0	0	0
F60197	Cronartium quercuum	2	0	0	2	0
F203908	Melampsora laricis-populina	2	0	0	11	0
F170000	Phakopsora pachyrhizi	22	7	7	26	7
F208348	Puccinia triticina	5	0	0	5	0
F48021	Artomyces pyxidatus	0	0	0	0	0
F135208	Hericium alpestre	2	0	0	2	0
F984962	Heterobasidion irregulare	3	2	2	3	2
F152956	Russula decolorans	2	0	0	2	0
F40492	Stereum hirsutum	0	0	0	0	0
F1314805	Vararia minispora	0	0	0	0	0
F65672	Serendipita indica	3	0	0	8	0
F2600213	Serendipita sp. 400	3	0	0	5	0
F2600215	Serendipita sp. 405	2	0	0	9	0
F2600216	Serendipita sp. 411	3	0	0	5	0
F109899	Serendipita vermifera	9	4	4	14	4
F2834505	Sertulicium niveocremeum	3	0	0	3	0
F467971	Sistotremastrum suecicum	2	0	0	4	0
F69979	Phyllozyma linderae	0	0	0	0	0
F100910	Rhodosporidiobolus nylandii	2	0	0	2	0
F29898	Rhodotorula graminis	2	0	0	2	0
F5286	Rhodotorula toruloides	0	0	0	0	0
F500713	Sporobolomyces koalae	0	0	0	0	0
F183962	Sporobolomyces salmoneus	1	0	0	1	0
F370292	Thelephora ganbajun	0	0	0	0	0
F56493	Thelephora terrestris	2	0	0	2	0
F13290	Tilletia caries	2	0	0	3	0
F13291	Tilletia controversa	2	0	0	1	0
F157183	Tilletia laevis	0	0	0	0	0
F1031713	Tilletia maclaganii	1	0	0	1	0
F117179	Tilletia walkeri	0	0	0	0	0
F104669	Cryptococcus amylolentus	19	0	0	0	0
F552467	Cryptococcus bacillisporus	0	0	0	0	0
F1859122	Cryptococcus decagattii	0	0	0	0	0
F40410	Cryptococcus deneoformans	0	0	0	0	0
F5208	Cryptococcus depauperatus	0	0	0	0	0
F1859096	Cryptococcus deuterogattii	0	0	0	0	0
F37769	Cryptococcus gattii	1	0	0	1	0
F5207	Cryptococcus neoformans	2	1	0	0	0
F1859121	Cryptococcus tetragattii	0	0	0	0	0
F5619	Cryptococcus wingfieldii	1	0	0	1	0
F105984	Apiotrichum porosum	1	0	0	1	0
F1890679	Cryptotrichosporon argae	0	0	0	0	0
F279322	Cutaneotrichosporon cavernicola	0	0	0	0	0
F82508	Trichosporon asahii	0	0	0	0	0
F143232	Vanrija pseudolonga	3	0	0	0	0
F1055551	Tritirachium sp. CBS 265.96	0	0	0	0	0
F1269715	Thecaphora frezii	7	0	0	9	0
F84753	Moesziomyces antarcticus	1	1	1	1	1
F84751	Pseudozyma flocculosa	1	0	0	1	0
F280036	Sporisorium graminicola	1	0	0	1	0
F1882483	Testicularia cyperi	0	0	0	0	0
F120017	Ustilago hordei	0	0	0	0	0
F1673888	Violaceomyces palustris	1	1	1	1	1
F1708542	Wallemia canadensis	0	0	0	0	0
F1540922	Wallemia hederae	0	0	0	0	0
F245174	Wallemia ichthyophaga	1	0	0	1	0
F1708541	Wallemia mellicola	0	0	0	0	0
F64504	Allomyces arbusculus	0	0	0	0	0
F64505	Allomyces javanicus	11	1	1	11	1
F28583	Allomyces macrogynus	100	8	7	102	7
F64508	Blastocladiella britannica	1	0	0	3	0
F4808	Blastocladiella emersonii	2	1	1	2	1
F109876	Catenaria anguillulae	5	0	0	5	0
F945690	Coelomomyces lativittatus	0	0	0	0	0
F3075319	Sorochytrium milnesiophthora	3	0	0	8	0
F1500003	Paraphysoderma sedebokerense	4	2	2	4	2
F911321	Calcarisporiella thermophila	3	0	0	3	0
F1555241	Caulochytrium protostelioides	0	0	0	0	0
F1774096	Dinochytrium kinnereticum	1	0	0	1	0
F109932	Entophlyctis luteolus	4	0	0	4	0
F1604274	Cladochytrium tenue	13	0	0	13	0
F109889	Lobulomyces angularis	2	0	0	7	0
F110093	Polychytrium aggregatum	2	0	0	4	0
F2735257	Borealophlyctis nickersoniae	2	0	0	2	0
F64517	Rhizophlyctis rosea	0	0	0	0	0
F382532	Globomyces pollinis-pini	1	0	0	3	0
F1396493	Fimicolochytrium jonesii	4	0	0	6	0
F109760	Spizellomyces punctatus	1	0	0	0	0
F1806994	Synchytrium microbalum	0	0	0	0	0
F34488	Conidiobolus coronatus	1	0	0	1	0
F34485	Entomophthora muscae	94	2	7	208	7
F348617	Massospora cicadina	1	0	0	1	0
F76012	Neoconidiobolus thromboides	0	0	0	0	0
F144530	Ambispora gerdemannii	2	0	0	2	0
F144679	Ambispora leptoticha	0	0	0	0	0
F50956	Geosiphon pyriformis	1	0	0	1	0
F27376	Acaulospora colombiana	2	0	0	2	0
F1348612	Diversispora epigaea	0	0	0	0	0
F4874	Gigaspora margarita	23	0	0	4	0
F2562287	Entrophospora sp. SA101	5	0	0	5	0
F1117311	Funneliformis geosporum	1	0	0	3	0
F658196	Glomus cerebriforme	1	0	0	1	0
F588596	Rhizophagus irregularis	5	0	0	1	0
F144538	Paraglomus brasilianum	1	0	0	1	0
F144539	Paraglomus occultum	1	0	0	1	0
F215637	Dimargaris cristalligena	2	0	0	4	0
F1520584	Dispira parvispora	1	0	0	1	0
F78921	Tieghemiomyces parasiticus	99	7	7	99	7
F61424	Furculomyces boomerangus	13	8	8	17	8
F133377	Smittium angustum	17	12	13	23	17
F133385	Smittium simulii	2	0	0	4	0
F1213189	Zancudomyces culisetae	13	7	8	15	8
F2650707	Coemansia brasiliensis	3	0	0	3	0
F4866	Dipsacomyces acuminosporus	2	0	0	4	0
F61397	Kickxella alabastrina	1	1	1	1	1
F61395	Linderina pennispora	1	0	0	1	0
F304332	Ramicandelaber brevisporus	5	4	4	5	4
F164912	Astathelohania contejeani	2	0	0	2	0
F70536	Edhazardia aedis	0	0	0	0	0
F6035	Encephalitozoon cuniculi	0	0	0	0	0
F174680	Glugoides intestinalis	4	4	4	4	4
F174688	Gurleya vavrai	8	2	2	12	2
F1176355	Hamiltosporidium tvaerminnensis	7	0	0	11	0
F1081669	Hepatospora eriocheir	0	0	0	0	0
F1300064	Nucleospora cyclopteri	0	0	0	0	0
F3039483	Ordospora pajunii	0	0	0	0	0
F291195	Tubulinosema ratisbonensis	2	0	0	2	0
F6039	Vairimorpha necatrix	2	0	0	2	0
F103449	Vavraia culicis	1	0	0	1	0
F82268	Hyaloraphidium curvatum	1	0	0	1	0
F1123529	Gonapodya prolifera	1	0	0	1	0
F2725673	Gonapodya sp. JEL0774	1	0	0	3	0
F1343610	Actinomortierella ambigua	0	0	0	0	0
F979620	Dissophora ornata	4	0	0	4	0
F101097	Entomortierella chlamydospora	5	0	0	7	0
F101098	Gamsiella multidivaricata	5	1	1	7	3
F979690	Gryganskiella cystojenkinii	4	0	0	9	0
F1897645	Haplosporangium bisporale	4	0	0	9	0
F604196	Linnemannia exigua	7	0	0	18	0
F64571	Lobosporangium transversale	3	0	0	3	0
F979761	Lunasporangiospora selenospora	3	0	0	5	0
F1440133	Modicella reniformis	3	0	0	15	0
F1343614	Mortierella claussenii	4	0	0	4	0
F64525	Podila minutissima	6	0	0	15	0
F1938954	Bifiguratus adelaidae	3	0	0	3	0
F2340872	Endogone sp. FLAS-F59071	3	0	0	2	0
F994334	Jimgerdemannia flammicorona	5	0	0	5	0
F708070	Mucor velutinosus	4	1	1	4	1
