taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F64632	Mycotypha africana	2	0	0	2	0
F4837	Phycomyces blakesleeanus	5	2	2	5	2
F4840	Rhizomucor pusillus	0	0	0	0	0
F58291	Rhizopus microsporus	4	1	1	9	1
F91625	Umbelopsis isabellina	1	0	0	1	0
F64526	Umbelopsis nana	2	0	0	2	0
F41833	Umbelopsis ramanniana	1	0	0	1	0
F44442	Umbelopsis vinacea	1	0	0	1	0
F1754192	Anaeromyces robustus	3	1	1	3	1
F1754190	Neocallimastix californiae	52	3	3	57	3
F2767002	Neocallimastix lanati (nom. inval.)	57	3	3	64	3
F3108450	Neocallimastix sp. 'constans'	52	3	3	57	3
F1754191	Piromyces finnis	1	0	0	1	0
F73868	Piromyces sp. E2	1	0	0	3	0
F278681	Olpidium bornovanus	0	0	0	0	0
F1246581	Paramicrosporidium saccamoebae	1	1	1	1	1
F281847	Rozella allomycis	0	0	0	0	0
F1907219	Piptocephalis cylindrospora	1	0	0	6	0
F1286916	Piptocephalis tieghemiana	0	0	0	0	0
F1851187	Syncephalis fuscata	1	1	1	1	1
F1851185	Syncephalis plumigaleata	2	0	0	2	0
F1712513	Syncephalis pseudoplumigaleata	2	1	1	2	1
F78915	Thamnocephalis sphaerospora	4	3	3	4	3
F2109901	Amoeboradix gromovi	2	0	0	0	0
F2020955	Sanchytrium tribonematis	2	0	0	0	0
O691883	Fonticula alba	4	0	0	0	0
O81824	Monosiga brevicollis	1	0	0	10	0
O946362	Salpingoeca rosetta	0	0	0	0	0
O192875	Capsaspora owczarzaki	1	0	0	0	0
O72019	Sphaeroforma arctica	3	1	0	2	0
O529818	Thecamonas trahens	0	0	0	0	0
O5755	Acanthamoeba castellanii	4	0	0	4	0
O44689	Dictyostelium discoideum	2	2	2	2	2
O5786	Dictyostelium purpureum	3	0	0	3	0
O133409	Polysphondylium violaceum	1	0	0	1	0
O1890364	Planoprotostelium fungivorum	8	2	4	15	4
O400682	Amphimedon queenslandica	14	3	1	13	2
O45351	Nematostella vectensis	25	6	1	1	1
O10228	Trichoplax adhaerens	0	0	0	0	0
O27923	Mnemiopsis leidyi	13	1	0	0	0
O7227	Drosophila melanogaster	45	35	0	0	0
O6239	Caenorhabditis elegans	8	0	0	4	0
O283909	Capitella teleta	3	0	0	3	0
