taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F90408	Icmadophila ericetorum	ingroup	Ascomycota	125	0	0	0	49027	0	1607	47420	0	0	0	0.0
F1174673	Morchella importuna	ingroup	Ascomycota	125	0	0	0	49027	0	945	48082	0	0	0	0.0
F43433	Tricharina praecox	ingroup	Ascomycota	125	0	0	0	49027	0	2714	46313	0	0	0	0.0
F39416	Tuber melanosporum	ingroup	Ascomycota	125	2	2	2	49027	358	4352	44270	0	47	0	0.007302098843494401
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	125	3	3	0	49027	1459	3372	44013	1	182	0	0.02975911232586126
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	125	2	2	1	49027	947	811	47020	0	245	4	0.019315887164215638
F4927	Hansenula anomala	ingroup	Ascomycota	125	2	2	1	49027	452	4363	44197	1	14	0	0.009219409713015277
F599730	Waltiozyma pijperi	ingroup	Ascomycota	125	2	2	2	49027	403	3329	45222	3	70	0	0.008219960429967161
F4903	Williopsis jadinii	ingroup	Ascomycota	125	2	2	1	49027	317	3854	44854	0	2	0	0.006465824953596998
F1825666	Phyllachora maydis	ingroup	Ascomycota	125	2	2	2	49027	780	9651	38574	0	22	0	0.015909600832194504
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	125	0	0	0	49027	0	4314	44713	0	0	0	0.0
F13502	Brettanomyces nanus	ingroup	Ascomycota	125	3	3	1	49027	2127	2761	43633	1	504	1	0.04338425765394578
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	125	3	3	2	49027	527	2713	45648	4	132	3	0.01074917902380321
F4909	Pichia kudriavzevii	ingroup	Ascomycota	125	2	2	2	49027	398	3671	44860	0	96	2	0.008117975809247965
F48095	Alternaria dauci	ingroup	Ascomycota	125	0	0	0	49027	0	1816	47211	0	0	0	0.0
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	2	2	1	49027	407	695	47841	0	84	0	0.008301548126542517
F5022	Plenodomus lingam	ingroup	Ascomycota	125	2	2	1	49027	269	1208	47549	0	1	0	0.00548677259469272
F4754	Pneumocystis carinii	ingroup	Ascomycota	125	2	2	2	49027	596	2002	46419	0	10	0	0.012156566789728108
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	125	2	2	1	49027	336	1575	47056	0	60	0	0.00685336651232994
F263815	Pneumocystis murina	ingroup	Ascomycota	125	2	2	2	49027	518	1717	46762	0	30	0	0.010565606706508659
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	125	0	0	0	49027	0	4170	44857	0	0	0	0.0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	125	0	0	0	49027	0	5805	43222	0	0	0	0.0
F1453789	Toensbergia leucococca	ingroup	Ascomycota	125	0	0	0	49027	0	2346	46681	0	0	0	0.0
F706196	Saccharomyces arboricola	ingroup	Ascomycota	125	2	2	2	49027	490	11063	37432	0	42	0	0.009994492830481164
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	125	4	4	4	49027	1256	2158	45532	2	78	1	0.02561853672466192
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	125	3	3	3	49027	1152	29041	18635	1	197	1	0.023497256613702652
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	125	0	0	0	49027	0	3261	45766	0	0	0	0.0
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	125	3	3	3	49027	615	2782	45551	0	77	2	0.012544108348461052
F114525	Saccharomyces mikatae	ingroup	Ascomycota	125	0	0	0	49027	0	2727	46300	0	0	0	0.0
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	125	0	0	0	49027	0	2574	46453	0	0	0	0.0
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	125	3	3	3	49027	756	42813	5066	0	391	1	0.015420074652742366
F230603	Saccharomyces uvarum	ingroup	Ascomycota	125	2	2	2	49027	323	3237	45449	3	15	0	0.006588206498460032
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	125	0	0	0	49027	0	11956	37071	0	0	0	0.0
F56409	Hanseniaspora vineae	ingroup	Ascomycota	125	0	0	0	49027	0	4749	44278	0	0	0	0.0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	125	0	0	0	49027	0	4094	44933	0	0	0	0.0
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	125	0	0	0	49027	0	966	48061	0	0	0	0.0
F5606	Saitoella complicata	ingroup	Ascomycota	125	0	0	0	49027	0	2117	46910	0	0	0	0.0
F273283	Sarea resinae	ingroup	Ascomycota	125	0	0	0	49027	0	1038	47989	0	0	0	0.0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	125	0	0	0	49027	0	2551	46476	0	0	0	0.0
F1042397	Schaereria dolodes	ingroup	Ascomycota	125	0	0	0	49027	0	3722	45305	0	0	0	0.0
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	125	0	0	0	49027	0	2152	46875	0	0	0	0.0
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	125	0	0	0	49027	0	1688	47339	0	0	0	0.0
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	125	0	0	0	49027	0	2195	46832	0	0	0	0.0
F241526	Candida africana	ingroup	Ascomycota	125	0	0	0	49027	0	23656	25371	0	0	0	0.0
F5476	Candida albicans	ingroup	Ascomycota	125	0	0	0	49027	0	4297	44730	0	0	0	0.0
F42374	Candida dubliniensis	ingroup	Ascomycota	125	0	0	0	49027	0	4216	44811	0	0	0	0.0
F5479	Candida maltosa	ingroup	Ascomycota	125	0	0	0	49027	0	6828	42199	0	0	0	0.0
F5482	Candida tropicalis	ingroup	Ascomycota	125	0	0	0	49027	0	5588	43439	0	0	0	0.0
F5486	Candida viswanathii	ingroup	Ascomycota	125	0	0	0	49027	0	37019	12008	0	0	0	0.0
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	125	0	0	0	49027	0	1180	47847	0	0	0	0.0
F72144	Remersonia thermophila	ingroup	Ascomycota	125	0	0	0	49027	0	1329	47698	0	0	0	0.0
F5147	Sordaria macrospora	ingroup	Ascomycota	125	0	0	0	49027	0	1512	47515	0	0	0	0.0
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	125	0	0	0	49027	0	1776	47251	0	0	0	0.0
F5011	Taphrina deformans	ingroup	Ascomycota	125	0	0	0	49027	0	6053	42974	0	0	0	0.0
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	125	0	0	0	49027	0	8409	40618	0	0	0	0.0
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	125	0	0	0	49027	0	6393	42634	0	0	0	0.0
F116982	Xanthoria calcicola	ingroup	Ascomycota	125	0	0	0	49027	0	7023	42004	0	0	0	0.0
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	125	0	0	0	49027	0	4625	44402	0	0	0	0.0
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	125	0	0	0	49027	0	1853	47174	0	0	0	0.0
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	0	0	0	49027	0	635	48392	0	0	0	0.0
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	125	0	0	0	49027	0	1489	47538	0	0	0	0.0
F2939404	Thelocarpon superellum	ingroup	Ascomycota	125	0	0	0	49027	0	2278	46749	0	0	0	0.0
F1093900	Thyridium curvatum	ingroup	Ascomycota	125	0	0	0	49027	0	1218	47809	0	0	0	0.0
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	125	0	0	0	49027	0	3709	45318	0	0	0	0.0
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	125	0	0	0	49027	0	1336	47691	0	0	0	0.0
F129515	Trapelia coarctata	ingroup	Ascomycota	125	0	0	0	49027	0	2387	46640	0	0	0	0.0
F51930	Tortispora caseinolytica	ingroup	Ascomycota	125	0	0	0	49027	0	2707	46320	0	0	0	0.0
F2939406	Bogoriella megaspora	ingroup	Ascomycota	125	0	0	0	49027	0	2169	46858	0	0	0	0.0
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	125	0	0	0	49027	0	8982	40045	0	0	0	0.0
F1048519	Viridothelium virens	ingroup	Ascomycota	125	0	0	0	49027	0	866	48161	0	0	0	0.0
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	125	0	0	0	49027	0	1593	47434	0	0	0	0.0
F136370	Lasallia pustulata	ingroup	Ascomycota	125	0	0	0	49027	0	2853	46174	0	0	0	0.0
F87287	Umbilicaria vellea	ingroup	Ascomycota	125	0	0	0	49027	0	5177	43850	0	0	0	0.0
F1048955	Tothia fuscella	ingroup	Ascomycota	125	0	0	0	49027	0	734	48293	0	0	0	0.0
F50376	Venturia effusa	ingroup	Ascomycota	125	0	0	0	49027	0	1304	47723	0	0	0	0.0
F253628	Verruconis gallopava	ingroup	Ascomycota	125	0	0	0	49027	0	8822	40205	0	0	0	0.0
F364733	Endocarpon pusillum	ingroup	Ascomycota	125	0	0	0	49027	0	3287	45740	0	0	0	0.0
