taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F5454	Ascochyta rabiei	ingroup	GCF_004011695.2	genus_candidate_requires_species_verification	Ascochyta	Ascochyta	genus	jrk00650	3377	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Didymellaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			partly_aquatic		filamentous_mycelium	
F5022	Plenodomus lingam	ingroup	GCF_022343315.1	genus_candidate_requires_species_verification	Plenodomus	Plenodomus	genus	jrk06724	3501	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Leptosphaeriaceae		False	False	False	False	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F4754	Pneumocystis carinii	ingroup	GCF_001477545.1	genus_candidate_requires_species_verification	Pneumocystis	Pneumocystis	genus	jrk06793	6025	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pneumocystomycetes	Pneumocystidaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		non-aquatic	animal_parasite/opportunistic_human_parasite	yeast	none
F42068	Pneumocystis jirovecii	ingroup	GCF_001477535.1	genus_candidate_requires_species_verification	Pneumocystis	Pneumocystis	genus	jrk06793	6025	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pneumocystomycetes	Pneumocystidaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		non-aquatic	animal_parasite/opportunistic_human_parasite	yeast	none
F263815	Pneumocystis murina	ingroup	GCF_000349005.2	genus_candidate_requires_species_verification	Pneumocystis	Pneumocystis	genus	jrk06793	6025	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pneumocystomycetes	Pneumocystidaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		non-aquatic	animal_parasite/opportunistic_human_parasite	yeast	none
F2977754	Pyrenula ochraceoflavens	ingroup	GCA_051942085.1	genus_candidate_requires_species_verification	Pyrenula	Pyrenula	genus	jrk07366	4262	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Pyrenulaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)
F3060298	Pyrenula sp. 1 TL-2023	ingroup	GCA_052059035.1	genus_candidate_requires_species_verification	Pyrenula	Pyrenula	genus	jrk07366	4262	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Pyrenulaceae	incompletely_identified_species_label	False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)
F1453789	Toensbergia leucococca	ingroup	GCA_022813965.1	genus_candidate_requires_species_verification	Toensbergia	Toensbergia	genus	jrk08868	5217	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Sporastatiaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	none
F706196	Saccharomyces arboricola	ingroup	GCA_000292725.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F4932	Saccharomyces cerevisiae	ingroup	GCF_000146045.2	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	GCA_000326105.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae	explicit_hybrid_label	False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F1080349	Saccharomyces eubayanus	ingroup	GCF_001298625.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F114524	Saccharomyces kudriavzevii	ingroup	GCF_947243775.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F114525	Saccharomyces mikatae	ingroup	GCF_947241705.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F27291	Saccharomyces paradoxus	ingroup	GCF_002079055.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F27292	Saccharomyces pastorianus	ingroup	GCA_011022315.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F230603	Saccharomyces uvarum	ingroup	GCA_947243795.1	genus_candidate_requires_species_verification	Saccharomyces	Saccharomyces	genus	jrk07741	6086	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F29833	Hanseniaspora uvarum	ingroup	GCA_050947715.1	genus_candidate_requires_species_verification	Hanseniaspora	Hanseniaspora	genus	jrk03672	6119	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycodaceae		False	False	False	False	nectar/tap_saprotroph	animal_parasite			animal_material,sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F56409	Hanseniaspora vineae	ingroup	GCA_050947685.1	genus_candidate_requires_species_verification	Hanseniaspora	Hanseniaspora	genus	jrk03672	6119	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycodaceae		False	False	False	False	nectar/tap_saprotroph	animal_parasite			animal_material,sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F36035	Saccharomycodes ludwigii	ingroup	GCF_020623625.1	genus_candidate_requires_species_verification	Saccharomycodes	Saccharomycodes	genus	jrk07742	6120	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycodaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		non-aquatic	arthropod-associated	yeast	none
