model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.18022795798284996	-0.18055333597537834	-0.0003253779925283806	2000	0	-0.0011332960616094552	0.00048640298231951776
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.09632371847493358	0.09761350456324984	0.0012897860883162582	2000	0	-0.0024222672992217443	0.005526368382779626
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.21679213976110992	-0.21998178146758823	-0.0031896417064783134	2000	0	-0.007240272917735367	1.965077483392991e-05
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	interaction	0.2641317052464556	0.6044291063503936	0.0026238793942545986	0.006388080704282423	0.0037642013100278246	2000	0	-0.0013857172216257551	0.010028922552444067
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.09636079836513543	0.09770377903685333	0.0013429806717178971	2000	0	-0.002340278062911395	0.005587425715825634
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.2152061906836694	-0.2161206395562046	-0.0009144488725352229	2000	0	-0.0023369448386390255	0.0004615786815618143
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_at_RSA_025	0.30877860698116194	0.6044291063503936	0.1926771471593252	0.193018874180655	0.00034172702132978516	2000	0	-0.000851177506194567	0.0016142195354214622
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30877860698116194	0.6044291063503936	-0.14730534563230918	-0.1492129503721844	-0.0019076047398752238	2000	0	-0.0047985205110460775	0.0005335154828975177
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	interaction	0.30877860698116194	0.6044291063503936	-0.003727178815168583	-0.0011189631627455641	0.002608215652423019	2000	0	-0.0016270603700683573	0.007408060871200671
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30877860698116194	0.6044291063503936	0.1924580687805999	0.19295310308468558	0.0004950343040856786	2000	0	-0.000650463216465136	0.0017332698905047652
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6044291063503936	-0.14955816099276964	-0.14988928427668172	-0.000331123283912077	2000	0	-0.001000320715434248	0.0003256264366487701
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_at_RSA_025	0.30877860698116194	0.6044291063503936	0.09547045859432135	0.09671296688172078	0.001242508287399427	2000	0	-0.002511902292072747	0.005568630438448223
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30877860698116194	0.6044291063503936	-0.1895806897109425	-0.19202717569795738	-0.0024464859870148847	2000	0	-0.005765561352436937	0.0002107544171206901
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	interaction	0.30877860698116194	0.6044291063503936	0.008400029968016216	0.01106168213120321	0.002661652163186994	2000	0	-0.0016968783688066909	0.007650461131609017
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30877860698116194	0.6044291063503936	0.09596420065444136	0.09736315714826131	0.00139895649381995	2000	0	-0.0023108846987025793	0.005707760161979146
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6044291063503936	-0.18450346710405793	-0.1853411730526621	-0.0008377059486041616	2000	0	-0.002180382025415803	0.0004267656118879602
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_at_RSA_025	0.2641317052464556	0.6161796552545296	0.20871226705596685	0.2085024026078809	-0.00020986444808596127	2000	0	-0.0017546614580434266	0.0012629359800386541
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2641317052464556	0.6161796552545296	-0.21809694169479518	-0.22426074381433037	-0.006163802119535183	2000	0	-0.014397857868952936	-0.0002539898999622988
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	interaction	0.2641317052464556	0.6161796552545296	0.016518941347111044	0.02561107311247632	0.009092131765365278	2000	0	0.0007004812280650721	0.021285679366645074
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2641317052464556	0.6161796552545296	0.2089457078660677	0.20886433074415184	-8.137712191585988e-05	2000	0	-0.0016155789939192092	0.001396323572541878
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6161796552545296	-0.2079183061103625	-0.20847972161318615	-0.0005614155028236534	2000	0	-0.0017397900886082253	0.0005110550236162669
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_at_RSA_025	0.2641317052464556	0.6161796552545296	0.09909274521123754	0.0991619311364806	6.918592524306211e-05	2000	0	-0.007106592572565195	0.007107516958368175
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2641317052464556	0.6161796552545296	-0.26786956987318056	-0.2746919281248509	-0.006822358251670324	2000	0	-0.015085588289122064	-0.001081983289651779
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	interaction	0.2641317052464556	0.6161796552545296	0.028575614019262206	0.038401816662286405	0.009826202643024199	2000	0	0.0010917848880282021	0.022326192673512383
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2641317052464556	0.6161796552545296	0.09949656736579424	0.09970461429048046	0.00020804692468621988	2000	0	-0.006893194119083839	0.007355288664788353
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6161796552545296	-0.25026185787810507	-0.2510295099727356	-0.0007676520946305332	2000	0	-0.0018117007189696625	0.0001503359660702623
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_at_RSA_025	0.30877860698116194	0.6161796552545296	0.2064361028722877	0.20595986687163662	-0.0004762360006510813	2000	0	-0.0021200576474404154	0.0010484831343313184
