cohort	model_id	contrast	point	lower	upper
omission	3di_af_empirical__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.0024464859870148847	-0.005765561352436937	0.0002107544171206901
full	3di_af_empirical__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.00613081203695065	-0.01488837409815281	-0.0003996650738580878
omission	3di_af_empirical__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.006163802119535183	-0.014397857868952936	-0.0002539898999622988
full	3di_af_empirical__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.006782853989182158	-0.01548451746716906	-0.0010327710572639527
omission	3di_af_empirical__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.006822358251670324	-0.015085588289122064	-0.001081983289651779
full	3di_af_empirical__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.00515792262488024	-0.012538813797996519	-0.00027571948658929426
omission	3di_af_empirical__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.005186613472484031	-0.012316445748924147	-0.00015141839131766778
full	3di_af_empirical__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.00566571499729035	-0.013015062788761578	-0.0007745078627113834
omission	3di_af_empirical__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.005699299169039107	-0.012679804244650029	-0.0007941618462824195
full	3di_llm__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.0003328676122877905	-0.005045397564149912	0.0049638654337776505
omission	3di_llm__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.0003347977858749185	-0.00511163120910216	0.004705451041184106
full	3di_llm__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.00019628376879490816	-0.005571984998697374	0.005913369888840721
omission	3di_llm__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.00020411723662536185	-0.005554986810695503	0.005855002926056714
full	3di_llm__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.00010998394727734784	-0.004133027210516777	0.004476770096387453
omission	3di_llm__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.00010983064142616739	-0.004260268030062284	0.004226793016609749
full	3di_llm__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-4.46146852800533e-06	-0.004510049234292998	0.005210584185190486
omission	3di_llm__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-8.71553445780382e-06	-0.00453450443380549	0.0051584456388048495
full	3di_llm__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.005433700637308719	-0.013987618409263767	0.0005802492091192629
omission	3di_llm__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.005468482293639915	-0.013481428579055692	0.0006915108157152948
full	3di_llm__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.006412448902322732	-0.014864317168370993	-0.0003433401471164348
omission	3di_llm__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.0064626002782991465	-0.014487408962292394	-0.0003069168119177292
full	3di_llm__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.004420950841742738	-0.011615214095970805	0.0006815024601437988
omission	3di_llm__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.004450417955423919	-0.01117306979200278	0.0007263399240773452
full	3di_llm__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.005295965798919222	-0.01241906126699907	-0.00015443169816992163
omission	3di_llm__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.005338621369210483	-0.012092327733052969	-0.00014061586736132192
full	3di_af__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.002880274506846775	-0.008373075662688018	0.0011168769177864074
