species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
98	F1116844	6437	590	0	2	5845	0.09165760447413392	590	0	590	0
99	F1117311	20094	6120	0	22	13952	0.30456852791878175	6120	0	6120	0
100	F112072	10411	4009	0	21	6381	0.38507347997310537	4009	0	4009	0
101	F112417	20325	9086	0	5	11234	0.44703567035670355	9086	0	9086	0
102	F1125753	6067	708	0	12	5347	0.11669688478655019	708	0	708	0
103	F1130053	9636	1132	0	2	8502	0.11747613117476131	1132	0	1132	0
104	F113071	20275	8855	0	0	11420	0.4367447595561036	8855	0	8855	0
105	F1141098	12564	2594	0	0	9970	0.2064629099013053	2594	0	2594	0
106	F114524	5603	292	0	4	5307	0.0521149384258433	292	0	292	0
107	F114525	5573	302	0	1	5270	0.05418984389018482	302	0	302	0
108	F1145299	8040	1026	0	8	7006	0.12761194029850748	1026	0	1026	0
109	F1145321	8057	1062	0	2	6993	0.1318108477100658	1062	0	1062	0
110	F116603	16397	5279	0	0	11118	0.3219491370372629	5279	0	5279	0
111	F116794	10570	1716	0	9	8845	0.16234626300851465	1716	0	1716	0
112	F116821	10217	1832	0	8	8377	0.1793089948125673	1832	0	1832	0
113	F116982	9939	1613	0	5	8321	0.16228996880973942	1613	0	1613	0
114	F117179	7842	1827	0	2	6013	0.2329762815608263	1827	0	1827	0
115	F117187	15890	3509	0	1	12380	0.22083071113908118	3509	0	3509	0
116	F1176130	12106	3213	0	2	8891	0.26540558400792996	3213	0	3213	0
117	F1176355	3573	1669	0	19	1885	0.46711446963336134	1669	0	1669	0
118	F120017	7449	1151	0	6	6292	0.15451738488387703	1151	0	1151	0
119	F1209916	17065	5140	0	2	11923	0.3012012891883973	5140	0	5140	0
120	F1209934	17330	5347	0	0	11983	0.3085401038661281	5347	0	5347	0
121	F1213189	8068	2895	0	7	5166	0.3588249876053545	2895	0	2895	0
122	F1214568	15635	2916	0	4	12715	0.18650463703229933	2916	0	2916	0
123	F121624	12062	3953	0	1	8108	0.32772342895042283	3953	0	3953	0
124	F1220207	13605	1560	0	7	12038	0.11466372657111357	1560	0	1560	0
125	F122368	13144	2949	0	3	10192	0.2243609251369446	2949	0	2949	0
126	F1243177	13180	3531	0	14	9635	0.2679059180576631	3531	0	3531	0
127	F1246581	3766	1187	0	4	2575	0.3151885289431758	1187	0	1187	0
128	F1269715	7011	1006	0	1	6004	0.14348880330908573	1006	0	1006	0
129	F1276059	9060	2232	0	0	6828	0.24635761589403973	2232	0	2232	0
130	F1280837	7444	1450	0	38	5956	0.19478774852229983	1450	0	1450	0
131	F1286916	5811	1135	0	0	4676	0.19531922216485975	1135	0	1135	0
132	F129515	9391	1422	0	6	7963	0.1514215738473006	1422	0	1422	0
133	F1300064	2636	1424	0	0	1212	0.5402124430955993	1424	0	1424	0
134	F1314805	10966	2450	0	1	8515	0.22341783695057452	2450	0	2450	0
135	F1323573	11134	2751	0	3	8380	0.24708101311298725	2751	0	2751	0
136	F1328300	14423	1714	0	1	12708	0.11883796713582473	1714	0	1714	0
137	F13290	9904	3128	0	0	6776	0.3158319870759289	3128	0	3128	0
138	F13291	9932	3070	0	1	6861	0.3091018928715264	3070	0	3070	0
139	F1331295	23555	10416	0	10	13129	0.44219910846953936	10416	0	10416	0
140	F133377	7385	506	0	207	6672	0.06851726472579553	506	0	506	0
141	F133385	6519	1612	0	10	4897	0.24727718975302962	1612	0	1612	0
142	F1341166	9874	1757	0	1	8116	0.17794207008304638	1757	0	1757	0
143	F1343614	10414	1341	0	8	9065	0.1287689648550029	1341	0	1341	0
