source_tier	cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
predictor-controls-summary-v1	all_available	90	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.3323650164952867	0.22432029092986866	0.3853420240048586			
predictor-controls-summary-v1	all_available	90	af_experiment_local_rms_difference_angstrom	16	16	0.44930127613085524	0.3062137182816983	0.6097178326800277			
predictor-controls-summary-v1	all_available	90	esm_experiment_rmsd_angstrom	16	16	1.2011632246821144	0.7467331618207477	1.7834873700316325			
predictor-controls-summary-v1	all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.3676427483252668	0.2818434889927533	0.41881351453763715			
predictor-controls-summary-v1	all_available	90	esm_experiment_local_rms_difference_angstrom	16	16	0.4985733634952084	0.38790497445597366	0.6714931825942648			
predictor-controls-summary-v1	all_available	90	af_esm_rmsd_angstrom	16	16	0.6645028712643447	0.4386910411554935	1.0952492285954505			
predictor-controls-summary-v1	all_available	90	af_esm_local_mean_absolute_difference_angstrom	16	16	0.1774995869039017	0.14821832363233206	0.2044219562420672			
predictor-controls-summary-v1	all_available	90	af_esm_local_rms_difference_angstrom	16	16	0.2663370645641872	0.22028224340187436	0.29837652636210366			
predictor-controls-summary-v1	all_available	90	paired_delta_rmsd_angstrom	16	16	0.2994818961107869	0.08253796494806073	0.6072028159450437	15	1	0
predictor-controls-summary-v1	all_available	90	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.04815865264216297	0.02299223140213058	0.07314135031005244	16	0	0
predictor-controls-summary-v1	all_available	90	paired_delta_local_rms_difference_angstrom	16	16	0.06657296326269979	0.022626518646581918	0.11649058214162694	16	0	0
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	16	16	1.3925558753318903	0.8245008160418608	3.435926694938658			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.42592985103882675	0.3166254037041454	0.5660802270659768			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	16	16	0.6830967308844609	0.5184252138495061	0.9239950871037971			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	16	16	1.9013002383444642	1.4459691726975044	4.172148618040614			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.5821850737150207	0.44970997133339774	0.7631341098472983			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	16	16	1.0042508682137503	0.7498326052375113	1.5524242022643262			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	16	16	1.8850159476924262	1.0987837339404627	2.5479645417428087			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	16	16	0.3187835328748307	0.27664597660953705	0.4597149753080373			
predictor-controls-summary-v1	same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	16	16	0.8281639519307008	0.5578229273248048	1.1685588922497656			
