taxon_id	species_name	study_role	unambiguous_residues	unambiguous_fraction
F2282107	Pyrrhoderma noxium	ingroup	47370	0.9662022966936586
F2283408	Colletotrichum jinshuiense	ingroup	47775	0.9744630509719134
F230603	Saccharomyces uvarum	ingroup	45790	0.9339751565463928
F231932	Phanerochaete carnosa	ingroup	44753	0.9128235462092317
F2340872	Endogone sp. FLAS-F59071	ingroup	33970	0.6928835131662145
F235537	Amanita thiersii	ingroup	48160	0.9823158667672915
F236234	Diplodia corticola	ingroup	48093	0.9809492728496543
F241526	Candida africana	ingroup	25371	0.517490362453342
F245174	Wallemia ichthyophaga	ingroup	47019	0.959042976319171
F2486360	Exophiala viscosa	ingroup	48353	0.9862524731270524
F253628	Verruconis gallopava	ingroup	40205	0.8200583352030514
F2545709	Schizosaccharomyces osmophilus	ingroup	47339	0.9655699920451996
F2562287	Entrophospora sp. SA101	ingroup	42435	0.8655434760438125
F257869	Holtermanniella festucosa	ingroup	47890	0.976808697248455
F2600213	Serendipita sp. 400	ingroup	29648	0.604728007016542
F2600215	Serendipita sp. 405	ingroup	36285	0.7401023925592021
F2600216	Serendipita sp. 411	ingroup	37797	0.7709425418646868
F2601811	Elsinoe batatas	ingroup	46851	0.9556162930630061
F2606893	Magnusiomyces paraingens	ingroup	47332	0.9654272135761927
F2609844	Podospora pseudoanserina	ingroup	47847	0.9759316295102699
F263815	Pneumocystis murina	ingroup	47310	0.9649784812450283
F264124	Botryobasidium botryosum	ingroup	47454	0.9679156383217411
F264483	Phaffia rhodozyma	ingroup	46965	0.9579415424154037
F2650707	Coemansia brasiliensis	ingroup	33575	0.684826728129398
F265104	Trichoglossum hirsutum	ingroup	45616	0.9304260917453648
F2656787	Venustampulla echinocandica	ingroup	48315	0.9854773900095866
F269621	Microbotryum intermedium	ingroup	47267	0.9641014135068432
F2704026	Stictis urceolata	ingroup	47042	0.9595121055744794
F2725673	Gonapodya sp. JEL0774	ingroup	36028	0.7348603830542354
F27291	Saccharomyces paradoxus	ingroup	46453	0.9474983172537581
F27292	Saccharomyces pastorianus	ingroup	6214	0.12674648662981622
F2732470	Bacidia gigantensis	ingroup	45050	0.9188814326799518
F273283	Sarea resinae	ingroup	47989	0.978827992738695
F27342	Schizopora paradoxa	ingroup	48216	0.9834580945193465
F2735257	Borealophlyctis nickersoniae	ingroup	45335	0.924694556060946
F27376	Acaulospora colombiana	ingroup	27112	0.5530014073877659
F2748771	Athelia sp. TMB	ingroup	16480	0.33614130989046853
F2754530	Protomyces lactucae-debilis	ingroup	47251	0.9637750627205417
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	24724	0.5042935525322781
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	45385	0.925714402268138
F2781224	Neodothiora populina	ingroup	45626	0.9306300609868032
F278681	Olpidium bornovanus	ingroup	10629	0.2167989067248659
F279322	Cutaneotrichosporon cavernicola	ingroup	48137	0.9818467375119831
F2796175	Watsoniomyces obsoletus	ingroup	44819	0.914169743202725
F280036	Sporisorium graminicola	ingroup	46278	0.9439288555285863
F2813651	Orbilia oligospora	ingroup	48092	0.9809288759255105
F281847	Rozella allomycis	ingroup	44699	0.9117221123054643
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	46964	0.95792114549126
F2831993	Plicatura crispa	ingroup	47695	0.9728312970404063
F2834505	Sertulicium niveocremeum	ingroup	47066	0.9600016317539315
F28583	Allomyces macrogynus	ingroup	8368	0.17068146123564568
F2871812	Acarospora aff. strigata	ingroup	47139	0.9614906072164318
F2878321	Jaminaea pallidilutea	ingroup	46748	0.9535154098761907
F288795	Microbotryum lychnidis-dioicae	ingroup	45655	0.9312215717869745
F289078	Microbotryum saponariae	ingroup	45737	0.9328941195667694
F291195	Tubulinosema ratisbonensis	ingroup	15071	0.3074020437717992
F2918522	Lignoscripta atroalba	ingroup	47691	0.972749709343831
F293227	Cyphellophora europaea	ingroup	48185	0.9828257898708874
F2939399	Claussenomyces sp. TS43310	ingroup	46583	0.9501499173924572
F2939400	Chrysothrix sp. TS-e1954	ingroup	46782	0.9542089052970812
F2939403	Sclerophora amabilis	ingroup	45207	0.9220837497705346
F2939404	Thelocarpon superellum	ingroup	46749	0.9535358068003346
F2939405	Vezdaea aestivalis	ingroup	47090	0.9604911579333837
F2939406	Bogoriella megaspora	ingroup	46858	0.955759071532013
F2939408	Vezdaea acicularis	ingroup	47216	0.9630611703755074
F2977754	Pyrenula ochraceoflavens	ingroup	44857	0.9149448263201909
F29833	Hanseniaspora uvarum	ingroup	37071	0.7561343749362596
F29883	Laccaria bicolor	ingroup	42155	0.8598323372835377
F29889	Calocera cornea	ingroup	47859	0.9761763925999959
F29898	Rhodotorula graminis	ingroup	46517	0.9488037203989639
F29899	Cystobasidium minutum	ingroup	47618	0.9712607338813307
F29902	Mrakia frigida	ingroup	47715	0.9732392355232831
F29908	Sporothrix schenckii	ingroup	46506	0.9485793542333816
