marker	taxon_set_sha256	split_taxa	split_taxon_count	aa_branch_length	3di_af_branch_length	3di_af_empirical_branch_length	3di_llm_branch_length
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F100910,F112417,F113071,F1230402,F1314805,F1323573,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F183962,F1938712,F2020962,F202698,F208348,F208960,F257869,F2600213,F2600216,F264483,F2778381,F2829486,F2831993,F29899,F29902,F34480,F370292,F378194,F40492,F418498,F41956,F44565,F45228,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F500713,F5414,F574677,F63378,F67723,F68786,F69979,F71933,F76775,F87326,F89922	56	0.2046310559	0.1047440967	0.0878795706	0.0619590225
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F100910,F112417,F113071,F1314805,F1323573,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F183962,F1938712,F2020962,F202698,F208348,F208960,F257869,F2600213,F2600216,F264483,F2778381,F2829486,F2831993,F29899,F29902,F34480,F370292,F378194,F40492,F418498,F41956,F44565,F45228,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F500713,F5414,F574677,F63378,F67723,F68786,F69979,F71933,F76775,F87326,F89922	55	0.0757683002	0.0085185593	2.3688e-06	2.8506e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F112417,F113071,F1314805,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F2020962,F202698,F208960,F257869,F2600213,F2600216,F264483,F2829486,F2831993,F29902,F34480,F370292,F378194,F40492,F41956,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F63378,F67723,F68786,F71933,F76775,F87326,F89922	41	0.018528886	0.0091905279	0.0100124797	0.0069320825
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F112417,F113071,F1314805,F1331295,F135589,F1498855,F150792,F152956,F170446,F1750568,F2020962,F202698,F208960,F2600213,F2600216,F2829486,F2831993,F34480,F370292,F378194,F40492,F41956,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F63378,F67723,F68786,F71933,F76775,F87326	36	0.0165982937	2.013e-06	2.7931e-06	2.013e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F112417,F113071,F1314805,F1331295,F135589,F150792,F152956,F170446,F1750568,F202698,F208960,F2600213,F2600216,F2829486,F2831993,F370292,F378194,F40492,F41956,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F67723,F68786,F71933,F87326	31	0.0556939199	0.0425711439	0.042257692	0.0318493274
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F112417,F113071,F1314805,F1331295,F135589,F150792,F152956,F170446,F202698,F208960,F2600213,F2600216,F2829486,F2831993,F370292,F378194,F40492,F41956,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F67723,F68786,F71933,F87326	30	0.0261528068	0.013167358	0.007364348	0.0097317463
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F112417,F113071,F1314805,F1331295,F135589,F150792,F152956,F202698,F208960,F2829486,F2831993,F370292,F378194,F40492,F41956,F48021,F48563,F48565,F48578,F48586,F48593,F67723,F68786,F71933,F87326	26	0.038690642	0.0080179427	0.006279931	0.0050845723
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F1314805,F1331295,F135589,F152956,F202698,F208960,F2829486,F2831993,F370292,F378194,F40492,F41956,F48021,F48563,F48565,F48578,F48586,F48593,F67723,F71933,F87326	22	0.0545544225	2.3446e-06	0.012939351	2.3617e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F1314805,F1331295,F135589,F152956,F208960,F2829486,F370292,F378194,F40492,F41956,F48021,F67723,F71933,F87326	15	0.0154573377	0.029927946	0.0264710703	0.0216263537
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F1331295,F135589,F208960,F2829486,F370292,F378194,F41956,F67723,F71933,F87326	11	0.023250226	0.0108559737	0.0081314468	0.007468987
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F1331295,F135589,F208960,F2829486,F370292,F41956,F67723,F71933,F87326	10	2.4654e-06	0.0391609304	0.0245627596	0.0262063564
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F41956,F67723,F71933,F87326	5	0.0688395709	0.10146383	0.087873244	0.0718101361
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F67723,F71933,F87326	4	0.0390727675	2.1924e-06	2.1924e-06	2.1924e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F71933,F87326	3	0.0077931789	2.9024e-06	2.9024e-06	2.9024e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475	1	0.0246435027	0.031347724	0.0349319269	0.0201466816
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F1042397,F1116844,F1130053,F1145299,F1145321,F116821,F116982,F121624,F129515,F136370,F1397036,F1453791,F1507873,F1542792,F164576,F169141,F174425,F1810926,F1810928,F199306,F2024903,F209281,F223409,F2486360,F265104,F2704026,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939405,F2939406,F2939408,F2977754,F3058885,F3060298,F315204,F318760,F318763,F318774,F3384825,F364730,F400354,F41759,F443868,F460848,F460854,F48095,F5022,F5570,F669869,F746128,F90408,F91480,F92988	61	0.0423904578	0.029367622	0.0395712515	0.0219388852
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F1042397,F1116844,F1130053,F1145299,F1145321,F116821,F116982,F121624,F129515,F136370,F1397036,F1453791,F1507873,F1542792,F164576,F169141,F174425,F1810926,F1810928,F199306,F2024903,F209281,F223409,F2486360,F265104,F2704026,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939405,F2939406,F2939408,F3058885,F315204,F318760,F318763,F318774,F3384825,F364730,F400354,F41759,F443868,F460848,F460854,F48095,F5022,F5570,F669869,F746128,F90408,F91480,F92988	59	0.0091973808	2.8012e-06	2.1226e-06	2.0072e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F1042397,F1116844,F1130053,F1145299,F1145321,F116821,F116982,F121624,F129515,F136370,F1397036,F1453791,F1507873,F1542792,F164576,F169141,F174425,F2024903,F209281,F223409,F2486360,F265104,F2704026,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939405,F2939406,F2939408,F3058885,F315204,F318760,F318763,F318774,F3384825,F364730,F400354,F443868,F460848,F460854,F48095,F5022,F5570,F669869,F90408,F91480,F92988	54	0.0087207655	0.0070083345	2.9452e-06	2.5077e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F1042397,F1130053,F1145299,F1145321,F116821,F116982,F121624,F129515,F136370,F1397036,F1453791,F1507873,F1542792,F164576,F169141,F174425,F2024903,F209281,F223409,F265104,F2704026,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939405,F2939406,F2939408,F3058885,F315204,F318760,F318763,F3384825,F364730,F400354,F443868,F460848,F460854,F48095,F5022,F5570,F669869,F90408,F91480,F92988	51	0.0277039005	0.0208849571	0.0261815598	0.0140408803
