model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16545957451998558	0.13700643598874596	0.1953130850275459	2000	0	0.15928713703656006	0.16869632133785303	0	649304at2759	0.006172437483425525	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.16877953781254942	-0.2451738490976149	-0.09545361331783948	2000	0	-0.18833511906001368	-0.15465720860816307	0	649304at2759	0.01955558124746426	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	interaction	0.06638374254956701	-0.03540023735345437	0.17625784606633602	2000	0	0.04457791885836192	0.0883095978324294	0	649304at2759	0.021925855282862394	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16654385186136414	0.13811413915248213	0.1960249348548851	2000	0	0.1607295398339688	0.16988188298628548	0	649304at2759	0.005814312027395352	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.12858340688364073	-0.17915728185999527	-0.08080934897056084	2000	0	-0.13582627641056977	-0.12094630142271803	0	539632at2759	0.007637105460922694	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.060469715146377584	0.012675699127620973	0.10857503494781787	2000	0	0.05221254166531112	0.06782381884046927	0	4970387at2759	0.008257173481066464	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.19563485109364842	-0.26875619256156524	-0.12543903242664417	2000	0	-0.21232722203824358	-0.18364352368916026	0	649304at2759	0.016692370944595164	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	interaction	0.07752477194479056	-0.021277759627658595	0.18346508798901737	2000	0	0.05930457126641771	0.09921115895458815	0	649304at2759	0.021686387009797595	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06173596423669532	0.013977888623527192	0.11033354264901614	2000	0	0.05351772652043251	0.06909855780645281	0	4970387at2759	0.00821823771626281	0.6055116717605261	0.2663334771396619
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.14869269683050476	-0.19831783578491094	-0.10243183446024887	2000	0	-0.15733872283388178	-0.1417231882124757	0	5013067at2759	0.008646026003377022	0.6055116717605261	0.2663334771396619
